Database: Sepidar01
================================================================================
Schema.Table                                       | Records    | File
--------------------------------------------------------------------------------
ACC.AccountTopic                                     |        178 | table_exports2\ACC_AccountTopic.csv
ACC.DL                                               |        204 | table_exports2\ACC_DL.csv
ACC.GLVoucher                                        |          0 | table_exports2\ACC_GLVoucher.csv
ACC.GLVoucherItem                                    |          0 | table_exports2\ACC_GLVoucherItem.csv
ACC.OpeningOperation                                 |          1 | table_exports2\ACC_OpeningOperation.csv
ACC.OpeningOperationItem                             |         62 | table_exports2\ACC_OpeningOperationItem.csv
ACC.Topic                                            |         52 | table_exports2\ACC_Topic.csv
ACC.Voucher                                          |        713 | table_exports2\ACC_Voucher.csv
ACC.VoucherItem                                      |      43914 | table_exports2\ACC_VoucherItem.csv
ACC.MergedVoucherReferenceNumber                     |          0 | table_exports2\ACC_MergedVoucherReferenceNumber.csv
ACC.Account                                          |        302 | table_exports2\ACC_Account.csv
CNT.ContractAgreementItem                            |          0 | table_exports2\CNT_ContractAgreementItem.csv
CNT.Status                                           |          0 | table_exports2\CNT_Status.csv
CNT.StatusItem                                       |          0 | table_exports2\CNT_StatusItem.csv
CNT.StatusReceiptItem                                |          0 | table_exports2\CNT_StatusReceiptItem.csv
CNT.Warranty                                         |          6 | table_exports2\CNT_Warranty.csv
CNT.Workshop                                         |          0 | table_exports2\CNT_Workshop.csv
CNT.ContractEmployerMaterialsItem                    |          0 | table_exports2\CNT_ContractEmployerMaterialsItem.csv
CNT.ContractPreReceiptItem                           |          0 | table_exports2\CNT_ContractPreReceiptItem.csv
CNT.ContractSupportingInsurance                      |          0 | table_exports2\CNT_ContractSupportingInsurance.csv
CNT.ContractType                                     |          0 | table_exports2\CNT_ContractType.csv
CNT.ContractWarrantyItem                             |          0 | table_exports2\CNT_ContractWarrantyItem.csv
CNT.ContractWorkshopItem                             |          0 | table_exports2\CNT_ContractWorkshopItem.csv
CNT.Cost                                             |          5 | table_exports2\CNT_Cost.csv
CNT.CostStatement                                    |          0 | table_exports2\CNT_CostStatement.csv
CNT.CostStatementItem                                |          0 | table_exports2\CNT_CostStatementItem.csv
CNT.Project                                          |          0 | table_exports2\CNT_Project.csv
CNT.Settlement                                       |          0 | table_exports2\CNT_Settlement.csv
CNT.SettlementDebtItem                               |          0 | table_exports2\CNT_SettlementDebtItem.csv
CNT.SettlementItem                                   |          0 | table_exports2\CNT_SettlementItem.csv
CNT.GuaranteeRelated                                 |          0 | table_exports2\CNT_GuaranteeRelated.csv
CNT.ChangeItem                                       |          0 | table_exports2\CNT_ChangeItem.csv
CNT.StatusCoefficientItem                            |          0 | table_exports2\CNT_StatusCoefficientItem.csv
CNT.Coefficient                                      |         14 | table_exports2\CNT_Coefficient.csv
CNT.Contract                                         |          0 | table_exports2\CNT_Contract.csv
CNT.StatusOnAccountItem                              |          0 | table_exports2\CNT_StatusOnAccountItem.csv
CNT.ContractCoefficientItem                          |          0 | table_exports2\CNT_ContractCoefficientItem.csv
CNT.Tender                                           |          0 | table_exports2\CNT_Tender.csv
CNT.GuaranteeOperation                               |          0 | table_exports2\CNT_GuaranteeOperation.csv
CNT.Guarantee                                        |          0 | table_exports2\CNT_Guarantee.csv
CNT.ContractRelatedPurchaseInvoice                   |          0 | table_exports2\CNT_ContractRelatedPurchaseInvoice.csv
CNT.ContractPriceList                                |          0 | table_exports2\CNT_ContractPriceList.csv
CNT.ContractCompromiseItem                           |          0 | table_exports2\CNT_ContractCompromiseItem.csv
FMK.User                                             |         11 | table_exports2\FMK_User.csv
FMK.StandardDescription                              |          2 | table_exports2\FMK_StandardDescription.csv
FMK.ResetAdminPasswordHistory                        |          0 | table_exports2\FMK_ResetAdminPasswordHistory.csv
FMK.UserConfiguration                                |         16 | table_exports2\FMK_UserConfiguration.csv
FMK.UserReports                                      |         26 | table_exports2\FMK_UserReports.csv
FMK.UserAccess                                       |       9476 | table_exports2\FMK_UserAccess.csv
FMK.UserReportsInvisible                             |          0 | table_exports2\FMK_UserReportsInvisible.csv
FMK.Version                                          |         32 | table_exports2\FMK_Version.csv
FMK.UserPhone                                        |          3 | table_exports2\FMK_UserPhone.csv
FMK.LookupLocale                                     |       3584 | table_exports2\FMK_LookupLocale.csv
FMK.ApiLog                                           |          0 | table_exports2\FMK_ApiLog.csv
FMK.LightConfiguration                               |          1 | table_exports2\FMK_LightConfiguration.csv
FMK.CheckDataParity                                  |          0 | table_exports2\FMK_CheckDataParity.csv
FMK.CheckDataParityItem                              |          0 | table_exports2\FMK_CheckDataParityItem.csv
FMK.Configuration                                    |        320 | table_exports2\FMK_Configuration.csv
FMK.ExtraColumnDescription                           |         53 | table_exports2\FMK_ExtraColumnDescription.csv
FMK.Keyword                                          |        234 | table_exports2\FMK_Keyword.csv
FMK.NumberedEntity                                   |         89 | table_exports2\FMK_NumberedEntity.csv
FMK.KeywordLocale                                    |        234 | table_exports2\FMK_KeywordLocale.csv
FMK.Note                                             |          0 | table_exports2\FMK_Note.csv
FMK.ImportExportTemplate                             |         21 | table_exports2\FMK_ImportExportTemplate.csv
FMK.Lookup                                           |       1497 | table_exports2\FMK_Lookup.csv
FMK.ExtraData                                        |      11002 | table_exports2\FMK_ExtraData.csv
FMK.FAQ                                              |       2203 | table_exports2\FMK_FAQ.csv
FMK.FiscalYear                                       |          1 | table_exports2\FMK_FiscalYear.csv
FMK.IDGeneration                                     |        175 | table_exports2\FMK_IDGeneration.csv
GNR.VatItem                                          |          0 | table_exports2\GNR_VatItem.csv
GNR.Vat                                              |          0 | table_exports2\GNR_Vat.csv
GNR.DimDate                                          |      25194 | table_exports2\GNR_DimDate.csv
GNR.ShredItem                                        |        165 | table_exports2\GNR_ShredItem.csv
GNR.ShredInfo                                        |          1 | table_exports2\GNR_ShredInfo.csv
GNR.PartyRelated                                     |          3 | table_exports2\GNR_PartyRelated.csv
GNR.Shred                                            |         15 | table_exports2\GNR_Shred.csv
GNR.PartyPhone                                       |          8 | table_exports2\GNR_PartyPhone.csv
GNR.Grouping                                         |         37 | table_exports2\GNR_Grouping.csv
GNR.MarketingDiskettItemCategoryMapper               |          0 | table_exports2\GNR_MarketingDiskettItemCategoryMapper.csv
GNR.MarketingDisketteItem1396                        |          0 | table_exports2\GNR_MarketingDisketteItem1396.csv
GNR.TaxPayerPartyMapping                             |         89 | table_exports2\GNR_TaxPayerPartyMapping.csv
GNR.TaxPayerContractAgreementItemMapper              |          0 | table_exports2\GNR_TaxPayerContractAgreementItemMapper.csv
GNR.ElementSavedValue                                |          0 | table_exports2\GNR_ElementSavedValue.csv
GNR.MarketingDisketteCurrencyMapper                  |          5 | table_exports2\GNR_MarketingDisketteCurrencyMapper.csv
GNR.TaxPayerAssetSaleItemMapper                      |          0 | table_exports2\GNR_TaxPayerAssetSaleItemMapper.csv
GNR.FormulaElement                                   |          4 | table_exports2\GNR_FormulaElement.csv
GNR.TaxPayerUnit                                     |         98 | table_exports2\GNR_TaxPayerUnit.csv
GNR.TaxPayerContractMapper                           |          0 | table_exports2\GNR_TaxPayerContractMapper.csv
GNR.TaxPayerUnitMapper                               |         15 | table_exports2\GNR_TaxPayerUnitMapper.csv
GNR.DeliveryLocation                                 |          1 | table_exports2\GNR_DeliveryLocation.csv
GNR.MarketingDisketteCurrency                        |        142 | table_exports2\GNR_MarketingDisketteCurrency.csv
GNR.MarketingDiskette1396                            |          0 | table_exports2\GNR_MarketingDiskette1396.csv
