AccountTopicId,AccountSLRef,TopicRef,Version,Creator,CreationDate,LastModifier,LastModificationDate
178,645,5,4,1,2024-06-19 11:29:14,1,2024-06-19 12:04:19
179,646,5,3,1,2024-06-19 11:31:57,1,2024-06-19 12:04:23
182,648,5,2,1,2024-06-19 11:35:17,1,2024-06-19 12:04:29
183,647,25,4,1,2024-06-19 11:35:36,10,2026-05-25 16:54:11
184,655,10,1,1,2024-06-19 11:49:19,1,2024-06-19 11:49:19
185,649,10,2,1,2024-06-19 11:49:37,1,2024-06-19 12:04:31
186,650,10,2,1,2024-06-19 11:50:46,1,2024-06-19 12:04:33
187,651,10,1,1,2024-06-19 11:51:09,1,2024-06-19 11:51:09
188,652,15,1,1,2024-06-19 11:52:22,1,2024-06-19 11:52:22
189,653,20,1,1,2024-06-19 11:52:45,1,2024-06-19 11:52:45
190,654,20,1,1,2024-06-19 11:53:00,1,2024-06-19 11:53:00
191,660,30,1,1,2024-06-19 11:54:16,1,2024-06-19 11:54:16
193,657,25,1,1,2024-06-19 12:00:35,1,2024-06-19 12:00:35
194,658,25,1,1,2024-06-19 12:01:08,1,2024-06-19 12:01:08
195,659,25,1,1,2024-06-19 12:03:29,1,2024-06-19 12:03:29
202,661,30,1,1,2024-06-19 12:05:23,1,2024-06-19 12:05:23
203,662,30,1,1,2024-06-19 12:06:37,1,2024-06-19 12:06:37
204,663,30,1,1,2024-06-19 12:09:50,1,2024-06-19 12:09:50
205,664,30,1,1,2024-06-19 12:10:36,1,2024-06-19 12:10:36
206,665,30,1,1,2024-06-19 12:13:16,1,2024-06-19 12:13:16
207,666,30,1,1,2024-06-19 12:13:49,1,2024-06-19 12:13:49
208,667,30,1,1,2024-06-19 12:14:20,1,2024-06-19 12:14:20
209,668,30,1,1,2024-06-19 12:15:00,1,2024-06-19 12:15:00
210,669,30,1,1,2024-06-19 12:15:59,1,2024-06-19 12:15:59
211,670,30,1,1,2024-06-19 12:16:47,1,2024-06-19 12:16:47
212,671,30,1,1,2024-06-19 12:23:06,1,2024-06-19 12:23:06
213,672,30,1,1,2024-06-19 12:24:46,1,2024-06-19 12:24:46
214,673,30,1,1,2024-06-19 12:25:47,1,2024-06-19 12:25:47
215,674,30,1,1,2024-06-19 12:26:18,1,2024-06-19 12:26:18
216,675,30,1,1,2024-06-19 12:27:14,1,2024-06-19 12:27:14
217,676,35,1,1,2024-06-19 12:27:39,1,2024-06-19 12:27:39
218,677,35,1,1,2024-06-19 12:28:03,1,2024-06-19 12:28:03
219,678,35,1,1,2024-06-19 12:28:31,1,2024-06-19 12:28:31
220,679,35,1,1,2024-06-19 12:28:53,1,2024-06-19 12:28:53
221,680,35,1,1,2024-06-19 12:29:58,1,2024-06-19 12:29:58
222,681,35,1,1,2024-06-19 12:30:33,1,2024-06-19 12:30:33
223,682,35,1,1,2024-06-19 12:31:26,1,2024-06-19 12:31:26
224,683,35,1,1,2024-06-19 12:32:05,1,2024-06-19 12:32:05
225,684,35,1,1,2024-06-19 12:33:03,1,2024-06-19 12:33:03
226,685,35,1,1,2024-06-19 12:33:30,1,2024-06-19 12:33:30
227,686,35,1,1,2024-06-19 12:34:28,1,2024-06-19 12:34:28
228,687,45,1,1,2024-06-19 12:35:26,1,2024-06-19 12:35:26
229,688,50,1,1,2024-06-19 12:35:52,1,2024-06-19 12:35:52
230,689,55,1,1,2024-06-19 12:37:06,1,2024-06-19 12:37:06
231,690,55,1,1,2024-06-19 12:38:38,1,2024-06-19 12:38:38
232,691,60,1,1,2024-06-19 12:39:06,1,2024-06-19 12:39:06
233,692,60,1,1,2024-06-19 12:40:23,1,2024-06-19 12:40:23
234,693,60,1,1,2024-06-19 12:41:11,1,2024-06-19 12:41:11
235,694,60,1,1,2024-06-19 12:43:29,1,2024-06-19 12:43:29
236,695,60,1,1,2024-06-19 12:44:22,1,2024-06-19 12:44:22
237,696,60,1,1,2024-06-19 12:44:54,1,2024-06-19 12:44:54
238,697,230,1,1,2024-06-19 12:45:36,1,2024-06-19 12:45:36
239,698,60,1,1,2024-06-19 12:46:47,1,2024-06-19 12:46:47
240,699,60,1,1,2024-06-19 12:47:14,1,2024-06-19 12:47:14
241,700,60,1,1,2024-06-19 12:47:40,1,2024-06-19 12:47:40
242,701,60,1,1,2024-06-19 12:48:49,1,2024-06-19 12:48:49
243,702,65,1,1,2024-06-19 12:49:13,1,2024-06-19 12:49:13
244,703,65,1,1,2024-06-19 12:50:29,1,2024-06-19 12:50:29
245,704,70,1,1,2024-06-19 12:51:39,1,2024-06-19 12:51:39
246,707,85,1,1,2024-06-19 12:53:37,1,2024-06-19 12:53:37
247,708,85,1,1,2024-06-19 14:06:47,1,2024-06-19 14:06:47
248,709,85,1,1,2024-06-19 14:10:24,1,2024-06-19 14:10:24
249,710,90,1,1,2024-06-19 14:10:59,1,2024-06-19 14:10:59
250,711,90,1,1,2024-06-19 14:11:40,1,2024-06-19 14:11:40
251,712,95,1,1,2024-06-19 14:12:11,1,2024-06-19 14:12:11
252,713,100,1,1,2024-06-19 14:12:41,1,2024-06-19 14:12:41
