VoucherId,Number,Date,ReferenceNumber,SecondaryNumber,State,Type,FiscalYearRef,Description,Description_En,Version,Creator,CreationDate,LastModifier,LastModificationDate,DailyNumber,IssuerSystem,IsMerged,MergedIssuerSystem
34,2,2026-03-25 00:00:00,2,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 1 تاريخ 1405/01/05,بابت پرداخت طي اعلاميه پرداخت شماره 1 تاريخ 1405/01/05,1,12,2026-04-13 18:14:37,12,2026-04-13 18:14:37,1,2,False,
38,3,2026-03-22 00:00:00,3,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 2 تاريخ 1405/01/02,بابت پرداخت طي اعلاميه پرداخت شماره 2 تاريخ 1405/01/02,1,12,2026-04-13 18:31:18,12,2026-04-13 18:31:18,1,2,False,
39,4,2026-03-25 00:00:00,4,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 3 تاريخ 1405/01/05,بابت پرداخت طي اعلاميه پرداخت شماره 3 تاريخ 1405/01/05,1,12,2026-04-13 18:47:27,12,2026-04-13 18:47:27,2,2,False,
40,5,2026-03-25 00:00:00,5,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 4 تاريخ 1405/01/05,بابت پرداخت طي اعلاميه پرداخت شماره 4 تاريخ 1405/01/05,1,12,2026-04-13 18:51:59,12,2026-04-13 18:51:59,3,2,False,
41,6,2026-03-28 00:00:00,6,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 5 تاريخ 1405/01/08,بابت پرداخت طي اعلاميه پرداخت شماره 5 تاريخ 1405/01/08,1,12,2026-04-14 13:13:31,12,2026-04-14 13:13:31,1,2,False,
43,8,2026-03-29 00:00:00,8,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 7 تاريخ 1405/01/09,بابت پرداخت طي اعلاميه پرداخت شماره 7 تاريخ 1405/01/09,1,12,2026-04-14 19:37:11,12,2026-04-14 19:37:11,1,2,False,
44,9,2026-03-29 00:00:00,9,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 8 تاريخ 1405/01/09,بابت پرداخت طي اعلاميه پرداخت شماره 8 تاريخ 1405/01/09,1,12,2026-04-14 19:42:46,12,2026-04-14 19:42:46,2,2,False,
45,10,2026-04-05 00:00:00,10,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 9 تاريخ 1405/01/16,بابت پرداخت طي اعلاميه پرداخت شماره 9 تاريخ 1405/01/16,1,12,2026-04-15 12:24:12,12,2026-04-15 12:24:12,1,2,False,
46,11,2026-04-04 00:00:00,11,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 10 تاريخ 1405/01/15,بابت پرداخت طي اعلاميه پرداخت شماره 10 تاريخ 1405/01/15,1,12,2026-04-15 12:38:13,12,2026-04-15 12:38:13,1,2,False,
47,12,2026-04-09 00:00:00,12,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 11 تاريخ 1405/01/20,بابت پرداخت طي اعلاميه پرداخت شماره 11 تاريخ 1405/01/20,1,12,2026-04-15 14:48:01,12,2026-04-15 14:48:01,1,2,False,
49,14,2026-04-11 00:00:00,14,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 13 تاريخ 1405/01/22,بابت پرداخت طي اعلاميه پرداخت شماره 13 تاريخ 1405/01/22,1,12,2026-04-15 18:03:28,12,2026-04-15 18:03:28,1,2,False,
50,15,2026-04-12 00:00:00,15,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 14 تاريخ 1405/01/23,بابت پرداخت طي اعلاميه پرداخت شماره 14 تاريخ 1405/01/23,1,12,2026-04-15 18:34:58,12,2026-04-15 18:34:58,1,2,False,
51,16,2026-04-13 00:00:00,16,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 15 تاريخ 1405/01/24,بابت پرداخت طي اعلاميه پرداخت شماره 15 تاريخ 1405/01/24,1,12,2026-04-15 19:20:03,12,2026-04-15 19:20:03,1,2,False,
52,17,2026-04-13 00:00:00,17,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 16 تاريخ 1405/01/24,بابت پرداخت طي اعلاميه پرداخت شماره 16 تاريخ 1405/01/24,1,12,2026-04-15 19:35:41,12,2026-04-15 19:35:41,2,2,False,
53,18,2026-03-29 00:00:00,18,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 17 تاريخ 1405/01/09,بابت پرداخت طي اعلاميه پرداخت شماره 17 تاريخ 1405/01/09,1,12,2026-04-16 10:41:26,12,2026-04-16 10:41:26,3,2,False,
55,20,2026-03-24 00:00:00,20,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 18 تاريخ 1405/01/04,بابت پرداخت طي اعلاميه پرداخت شماره 18 تاريخ 1405/01/04,1,12,2026-04-16 10:44:20,12,2026-04-16 10:44:20,1,2,False,
56,21,2026-04-11 00:00:00,21,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 19 تاريخ 1405/01/22,بابت پرداخت طي اعلاميه پرداخت شماره 19 تاريخ 1405/01/22,1,12,2026-04-16 12:52:32,12,2026-04-16 12:52:32,2,2,False,
57,22,2026-04-13 00:00:00,22,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 20 تاريخ 1405/01/24,بابت پرداخت طي اعلاميه پرداخت شماره 20 تاريخ 1405/01/24,1,12,2026-04-16 12:57:04,12,2026-04-16 12:57:04,3,2,False,
58,23,2026-04-16 00:00:00,23,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 21 تاريخ 1405/01/27,بابت پرداخت طي اعلاميه پرداخت شماره 21 تاريخ 1405/01/27,1,12,2026-04-18 11:15:42,12,2026-04-18 11:15:42,1,2,False,
59,24,2026-04-17 00:00:00,24,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 22 تاريخ 1405/01/28,بابت پرداخت طي اعلاميه پرداخت شماره 22 تاريخ 1405/01/28,1,12,2026-04-18 11:20:45,12,2026-04-18 11:20:45,1,2,False,
60,25,2026-04-17 00:00:00,25,,1,2,1,بابت پرداخت طي اعلاميه پرداخت شماره 23 تاريخ 1405/01/28,بابت پرداخت طي اعلاميه پرداخت شماره 23 تاريخ 1405/01/28,1,12,2026-04-18 11:26:32,12,2026-04-18 11:26:32,2,2,False,
