AssetGroupID,Code,Title,Title_En,DepreciationRate,UsefulLife,DepreciationMethod,MaxDepreciableBookValue,SalvageValue,AssetClassRef,Version,Creator,CreationDate,LastModifier,LastModificationDate
10,01,زمين بدون روش,زمين بدون روش,0.00,0.00,1,5.0000,0.0000,7,1,1,2024-03-04 10:01:16,1,2024-03-04 10:01:16
11,01,ساختمان روش مستقيم 25 سال,ساختمان روش مستقيم 25 سال,0.00,25.00,2,5.0000,1.0000,8,2,1,2024-03-04 10:02:44,1,2024-03-04 10:03:48
12,02,ساختمان روش خط مستقيم 15 سال,ساختمان روش خط مستقيم 15 سال,0.00,15.00,2,5.0000,1.0000,8,2,1,2024-03-04 10:03:24,1,2024-03-04 10:03:57
13,01, ماشين آلات و تجهيزات روش مستقيم 10 سال, ماشين آلات و تجهيزات روش مستقيم 10 سال,0.00,10.00,2,5.0000,1.0000,9,1,1,2024-03-04 10:05:00,1,2024-03-04 10:05:00
14,02, ماشين آلات و تجهيزات روش نزولي 12 سال, ماشين آلات و تجهيزات روش نزولي 12 سال,12.00,0.00,3,5.0000,1.0000,9,1,1,2024-03-04 10:05:37,1,2024-03-04 10:05:37
15,01,اموال و اثاثيه روش مستقيم 5 سال,اموال و اثاثيه روش مستقيم 5 سال,0.00,5.00,2,5.0000,1.0000,10,1,1,2024-03-04 10:06:42,1,2024-03-04 10:06:42
17,01,وسائط نقليه روش مستقيم 6 سال,وسائط نقليه روش مستقيم 6 سال,0.00,6.00,2,5.0000,1.0000,11,1,1,2024-03-04 10:07:55,1,2024-03-04 10:07:55
18,01,تاسيسات روش نزولي 15 درصد,تاسيسات روش نزولي 15 درصد,15.00,0.00,3,5.0000,1.0000,12,1,1,2024-03-04 10:08:22,1,2024-03-04 10:08:22
19,02,تاسيسات روش مستقيم 35 سال,تاسيسات روش مستقيم 35 سال,0.00,35.00,2,5.0000,1.0000,12,1,1,2024-03-04 10:09:42,1,2024-03-04 10:09:42
20,01,نرم افزار,نرم افزار,0.00,0.00,1,5.0000,0.0000,13,1,1,2024-03-04 10:10:05,1,2024-03-04 10:10:05
