ExtraColumnDescriptionID,EntityTypeName,StringColumn1Description,StringColumn2Description,StringColumn3Description,StringColumn4Description,StringColumn5Description,StringColumn6Description,StringColumn7Description,StringColumn8Description,StringColumn9Description,StringColumn10Description,StringColumn11Description,StringColumn12Description,StringColumn13Description,StringColumn14Description,StringColumn15Description,DateColumn1Description,DateColumn2Description,DateColumn3Description,DateColumn4Description,DateColumn5Description,IntegerColumn1Description,IntegerColumn2Description,IntegerColumn3Description,IntegerColumn4Description,IntegerColumn5Description,DecimalColumn1Description,DecimalColumn2Description,DecimalColumn3Description,DecimalColumn4Description,DecimalColumn5Description,DecimalColumn6Description,DecimalColumn7Description,DecimalColumn8Description,DecimalColumn9Description,DecimalColumn10Description,StringColumn1Order,StringColumn2Order,StringColumn3Order,StringColumn4Order,StringColumn5Order,StringColumn6Order,StringColumn7Order,StringColumn8Order,StringColumn9Order,StringColumn10Order,StringColumn11Order,StringColumn12Order,StringColumn13Order,StringColumn14Order,StringColumn15Order,DateColumn1Order,DateColumn2Order,DateColumn3Order,DateColumn4Order,DateColumn5Order,IntegerColumn1Order,IntegerColumn2Order,IntegerColumn3Order,IntegerColumn4Order,IntegerColumn5Order,DecimalColumn1Order,DecimalColumn2Order,DecimalColumn3Order,DecimalColumn4Order,DecimalColumn5Order,DecimalColumn6Order,DecimalColumn7Order,DecimalColumn8Order,DecimalColumn9Order,DecimalColumn10Order,Version,UrlColumn1Description,UrlColumn2Description,UrlColumn3Description,UrlColumn4Description,UrlColumn5Description,UrlColumn1Order,UrlColumn2Order,UrlColumn3Order,UrlColumn4Order,UrlColumn5Order
1,SG.Framework.FiscalYearManagement.Common.DsFiscalYear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
2,SG.Accounting.AccountManagement.Common.DsAccount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
3,SG.General.PartyManagement.Common.DsParty,نام پدر طرف حساب,,,نام بانك طرف حساب,شماره شبا طرف حساب,,,,,,,,,,,,,,,,شماره كارت طرف حساب,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,تصوير طرف حساب,تصوير قرارداد,,,,100,100,,100,100
4,SG.General.CostCenter.Common.DsCostCenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
5,SG.Payroll.BasicData.Common.DsJob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
6,SG.Payroll.BasicData.Common.DsWorksite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
7,SG.Payroll.BasicData.Common.DsBranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
8,SG.Inventory.UnitManagement.Common.DsUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
9,SG.ReceiptAndPayment.BasicData.Common.DsCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
10,SG.Inventory.StockManagement.Common.DsStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
11,SG.Inventory.ItemManagement.Common.DsItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
