KeywordRef,LocaleName,Value
4181,fa,فهرست حسابها، ليست
4182,fa,كل، معين، گروه
4183,fa,دو ستوني، چهار ستوني، شش ستوني، هشت ستوني، گزارش بد و بس، كل، معين، تفصيل
4184,fa,دفتر كل، معين، تفصيل
4185,fa,تجميع، صدور سند روزانه، تجميعي، ادغام، دفتر نويسي، نوشتن دفاتر قانوني، تحرير
4186,fa,فهرست اسناد كل، صادر شده، تجميع، روزانه
4187,fa,استقرار، سند افتتاحيه سال اول
4188,fa,دائم كردن، قطعي كردن، موقت كردن ، قفل كردن
4189,fa,جابجايي، انتقال مانده، تغيير حساب معين
4190,fa,موقت، محاسبه سود و زيان دوره، صفر كردن هزينه ها، درآمدها، عملكرد
4191,fa,بستن حسابهاي دائم، عمليات پايان سال حسابداري، ترازنامه اي، انتقال مانده
4192,fa,نوسانات، تغييرات نرخ
4193,fa,فهرست اسناد، ليست
4194,fa,ثبت، روكش سند، voucher، شابلون، اسناد مالي
4195,fa,مرتب سازي، Sort، تغيير شماره سند
4196,fa,گزارش، گزارشات مالي، گردش معين، حسابها، تفصيل، بد و بس، مانده در خط
4197,fa,تعيين معين سندحسابداري، دراپ باكس، ارزش افزوده، ارزپايه سيستم، تقويم ، زبان، شركت، شماره ثبت، شناسه ملي، نشان تجاري، لوگو
4198,fa,فهرست ضرايب قرارداد، ليست
4199,fa,قرارداد، حسن انجام كار، ارزش افزوده، ضرايب افزاينده، ضرايب كاهنده
4200,fa,فهرست قرارداد، پيمانها، ليست
4201,fa,دست دو، پيمانكارجزء، پيش دريافت، علي الحساب، مصالح دريافتي، توافقات، تعديل، الحاقيه، دستوركار، صورتجلسه، متمم، هزينه
4202,fa,فهرست انواع هزينه پيمانها، پروژه ها، ليست
4203,fa,پروژه، پيمان، پيمانكار جزء، حقوق پرسنل، سربار، استهلاك انباشته، مواد و مصالح مصرفي
4204,fa,فهرست هزينه هاي قرارداد، پيمان، ليست
4205,fa,هزينه، پيمان، قرارداد، صورت هزينه، نقدي، اعتباري، كارگاهي، دفتر مركزي، تنخواه گردان كارگاه
4206,fa,فهرست ضمانت نامه هاي دريافتي، پرداختي، ليست
4207,fa,مناقصه، حسن انجام كار، تعهدات قرارداد، پيمانكار دست دو، پيمانكار جزء، چك تضميني، سفته
4208,fa,فهرست پروژه، ليست
4209,fa,فهرست تسويه جساب، ليست
4210,fa,تسويه صورت وضعيت، تسويه صورت هزينه اعتباري
4211,fa,فهرست صورت وضعيت، ليست
4212,fa,تاييد صورت وضعيت، قطعي، ماقبل قطعي، تعديل افزايشي، تعديل كاهشي
4213,fa,فهرست مناقصه هاي ثبت شده، ليست
4214,fa,شركت در مناقصه، هزينه، ضمانتنامه شركت
4215,fa,فهرست كارگاه، ليست
4216,fa,دريافت از اكسل
4217,fa,گزارش، ريزهزينه، درآمد، مناقصه برنده شده، ضمانتنامه آزادنشده، صورت وضعيت ارسال، تاييد، مانده حساب
4218,fa,گزارش، مانده حساب، صورت وضعيت، صورت وضعيت هاي تاييد شده، ضمانتنامه هاي دريافتي
4219,fa,فهرست خط فروش كالا، ليست
4220,fa,لاين فروش، لاين بندي
4221,fa,فهرست سقف سفارش كالا، ليست
4222,fa,سقف فروش، محدوديت فروش كالا، محدوديت فروش ويزيتور
4223,fa,فهرست محدوديت خط فروش، ليست
