Type,Code,Title,Title_En,DisplayOrder,Extra,System,LookupID
MajorLanguage                                     ,1,فارسي,Persian,1,,FMK,264
MajorLanguage                                     ,2,انگليسي,English,2,,FMK,265
ReportColumnType                                  ,2,گزارش تراز دو ستوني,,1,,ACC,40125
ReportColumnType                                  ,4,گزارش تراز چهار ستوني,,2,,ACC,40126
ReportColumnType                                  ,6,گزارش تراز شش ستوني,,3,,ACC,40127
ReportColumnType                                  ,8,گزارش تراز هشت ستوني,,4,,ACC,40128
AccountType                                       ,0,   ,,0,,ACC,40129
AccountType                                       ,1,گروه,,1,,ACC,40130
AccountType                                       ,2,كل,,2,,ACC,40131
AccountType                                       ,3,معين,,3,,ACC,40132
BalanceType                                       ,1,بدهكار,,1,,ACC,40133
BalanceType                                       ,2,بستانكار,,2,,ACC,40134
BalanceType                                       ,3,مهم نيست,,3,,ACC,40135
CashFlowCategory                                  ,0,ندارد,,0,,ACC,40136
CashFlowCategory                                  ,1,عملياتي,,1,,ACC,40137
CashFlowCategory                                  ,2,سرمايه گذاري,,2,,ACC,40138
CashFlowCategory                                  ,3,تامين مالي,,3,,ACC,40139
DLType                                            ,0,,,1,,ACC,40140
DLType                                            ,1,ساير,,1,,ACC,40141
DLType                                            ,2,طرف مقابل,,2,,ACC,40142
DLType                                            ,3,مركز هزينه,,3,,ACC,40143
DLType                                            ,4,حساب بانكي,,4,,ACC,40144
DLType                                            ,5,صندوق,,5,,ACC,40145
DLType                                            ,6,دستگاه كارت خوان,,6,,ACC,40146
DLType                                            ,7,قرارداد,,7,,ACC,40147
DLType                                            ,8,سفارش خريد,,8,,ACC,40148
TopicCategory                                     ,1,داراييهاي غير جاري,,1,,ACC,40149
TopicCategory                                     ,2,داراييهاي جاري,,2,,ACC,40150
TopicCategory                                     ,3,حقوق صاحبان سهام,,3,,ACC,40151
TopicCategory                                     ,4,بدهي هاي غير جاري,,4,,ACC,40152
TopicCategory                                     ,5,بدهي هاي جاري,,5,,ACC,40153
TopicCategory                                     ,6,سود و زياني - فروش خالص,,6,,ACC,40154
TopicCategory                                     ,7,سود و زياني - بهاي تمام شده,,7,,ACC,40155
TopicCategory                                     ,8,سود و زياني - سود حاصل از سرمايه گذاري هاي عملياتي,,8,,ACC,40156
TopicCategory                                     ,9,سود و زياني - ساير درامد ها و هزينه هاي عملياتي ، فروش ، اداري عمومي,,9,,ACC,40157
TopicCategory                                     ,10,سود و زياني - ساير درامد ها و هزينه هاي غير عملياتي و مالي,,10,,ACC,40158
TopicCategory                                     ,11,سود و زياني - مالياتي,,11,,ACC,40159
TopicCategory                                     ,12,سود و زياني - عمليات متوقف شده,,12,,ACC,40160
TopicType                                         ,1,ترازنامه اي,,1,,ACC,40161
TopicType                                         ,2,سود و زياني,,2,,ACC,40162
FormOptions                                       ,1,بر مبناي اسناد حسابداري,,1,,ACC,40163
FormOptions                                       ,2,بر مبناي اسناد كل,,2,,ACC,40164
AdditionType                                      ,1,درصدي,,1,,SLS,40165
AdditionType                                      ,2,مبلغي,,2,,SLS,40166
AdditionType                                      ,3,هر واحد,,3,,SLS,40167
AdditionFactorBasis                               ,1,كالا و خدمات,,1,,SLS,40168
AdditionFactorBasis                               ,3,سرجمع,,3,,SLS,40169
AssetState                                        ,1,جاري,,1,,AST,40170
AssetState                                        ,2,بلا استفاده,,2,,AST,40171
AssetState                                        ,3,فروش رفته,,3,,AST,40172
AssetState                                        ,4,اسقاط شده,,4,,AST,40173
AssetState                                        ,5,حذف شده,,5,,AST,40174
CostPartType                                      ,1,تحصيل,,1,,AST,40175
CostPartType                                      ,2,گسترش و الحاق,,2,,AST,40176
CostPartType                                      ,3,تعميرات اساسي,,3,,AST,40177
CostPartDepreciationState                         ,1,مستهلك شده,,1,,AST,40178
CostPartDepreciationState                         ,2,مستهلك نشده,,2,,AST,40179
AcquisitionReceiptType                            ,1,خريد داخلي,,1,,AST,40180
AcquisitionReceiptType                            ,2,ساخت,,2,,AST,40181
AcquisitionReceiptType                            ,3,ساير,,3,,AST,40182
AcquisitionReceiptType                            ,4,استقرار,,4,,AST,40183
AcquisitionReceiptType                            ,5,خريد وارداتي,,5,,AST,40184
PurchaseType                                      ,1,خريد داخلي,,1,,AST,40185
PurchaseType                                      ,2,خريد وارداتي,,2,,AST,40186
AssetTransactionType                              ,1,تحصيل دارايي,,1,,AST,40187
AssetTransactionType                              ,2,استقرار,,2,,AST,40188
AssetTransactionType                              ,3,نقل و انتقال,,3,,AST,40189
AssetTransactionType                              ,4,حذف,,4,,AST,40190
AssetTransactionType                              ,5,فروش,,5,,AST,40191
