BackupID,Label,Date,Path,RestoreDate,Version,Creator,CreationDate,LastModifier,LastModificationDate,Filename,ServerName,IsOk,IsPasswordProtected,Password,IsAutomatic,IsCompressed
1,نسخه پشتيبان تاريخ 96/12/14 ساعت 02:25 ب.ظ,2018-03-05 14:25:22.263000,D:\Sepidar bakcup,,1,1,2018-03-05 14:25:22,1,2018-03-05 14:25:22,Backup_Sepidar01_961214_1425.bak,.,True,False,,,False
3,نسخه پشتيبان تاريخ 96/12/14 ساعت 02:39 ب.ظ,2018-03-05 14:39:37.713000,D:\Sepidar bakcup,,1,1,2018-03-05 14:39:37,1,2018-03-05 14:39:37,Backup_Sepidar01_961214_1439.bak,.,True,False,,,False
4,نسخه پشتيبان تاريخ 96/12/14 ساعت 02:43 ب.ظ,2018-03-05 14:43:48.643000,D:\Sepidar bakcup,,1,1,2018-03-05 14:43:48,1,2018-03-05 14:43:48,Backup_Sepidar01_961214_1443.bak,.,True,False,,,False
5,نسخه پشتيبان تاريخ 96/12/14 ساعت 03:02 ب.ظ,2018-03-05 15:02:28.017000,D:\Sepidar bakcup,,1,1,2018-03-05 15:02:28,1,2018-03-05 15:02:28,Backup_Sepidar01_961214_1502.bak,.,True,False,,,False
6,نسخه پشتيبان تاريخ 96/12/22 ساعت 11:11 ق.ظ,2018-03-13 11:11:23.833000,D:\Sepidar bakcup saba tack,,1,1,2018-03-13 11:11:23,1,2018-03-13 11:11:23,Backup_Sepidar02_961222_1111.bak,.,True,False,,,False
7,نسخه پشتيبان تاريخ 96/12/22 ساعت 11:19 ق.ظ,2018-03-13 11:19:59.870000,D:\Sepidar bakcup saba tack,,1,1,2018-03-13 11:19:59,1,2018-03-13 11:19:59,Backup_Sepidar02_961222_1119.bak,.,True,False,,,False
8,نسخه پشتيبان تاريخ 97/01/11 ساعت 09:26 ق.ظ,2018-03-31 09:26:44.317000,D:\ACC\Backup start\Backup start tolidi,,3,1,2018-03-31 09:26:15,1,2018-03-31 09:26:44,Backup_Sepidar05_970101_5.0.6.bak,.,False,False,,,False
9,نسخه پشتيبان تاريخ 97/02/18 ساعت 03:09 ب.ظ,2018-05-08 15:09:41.283000,D:\ACC\Backup start\Backup start tolidi,,1,1,2018-05-08 15:09:41,1,2018-05-08 15:09:41,Backup_TOLIDI_970218_1509.bak,.,True,False,,,False
10,نسخه پشتيبان تاريخ 97/05/15 ساعت 01:36 ق.ظ,2018-08-06 01:36:29.850000,D:\Sepidar Backup,,3,1,2018-08-06 01:36:16,1,2018-08-06 01:36:29,Backup_Sepidar02_970515_0136.bak,.,False,False,,,False
11,نسخه پشتيبان خودکار تاريخ 97/08/28 ساعت 01:34 ب.ظ,2018-11-19 13:34:31.307000,D:\ACC\Backup start\Backup start tolidi,,1,1,2018-11-19 13:34:31,1,2018-11-19 13:34:31,AutomaticBackup_Sepidar04_Ver5.1.4_13970828_1334.bak,.,True,False,,,False
13,نسخه پشتيبان خودکار تاريخ 07/09/1397 ساعت 07:16 ق.ظ,2018-11-28 07:16:46.577000,D:\ACC\Backup start\Backup start tolidi,,1,1,2018-11-28 07:16:46,1,2018-11-28 07:16:46,AutomaticBackup_Sepidar04_Ver5.1.4_13970907_0716.bak,.,True,False,,,False
14,نسخه پشتيبان خودکار تاريخ 07/09/1397 ساعت 07:56 ق.ظ,2018-11-28 07:56:46.140000,D:\ACC\Backup start\Backup start tolidi,,1,1,2018-11-28 07:56:46,1,2018-11-28 07:56:46,AutomaticBackup_Sepidar04_Ver5.1.4_13970907_0756.bak,.,True,False,,,False
15,نسخه پشتيبان خودکار تاريخ 25/09/1397 ساعت 10:12 ب.ظ,2018-12-16 22:12:17.340000,D:\ACC\Backup start\Backup start tolidi,,1,1,2018-12-16 22:12:17,1,2018-12-16 22:12:17,AutomaticBackup_Sepidar04_Ver5.1.4_13970925_2212.bak,.,True,False,,,False
16,نسخه پشتيبان تاريخ 97/10/15 ساعت 10:25 ب.ظ,2019-01-05 22:25:10.400000,D:\ACC\Backup start\Backup start tolidi,,1,1,2019-01-05 22:25:10,1,2019-01-05 22:25:10,Backup_Sepidar04_Ver5.1.4_971015_2225.bak,.,True,False,,,False
17,نسخه پشتيبان خودکار تاريخ 19/10/1397 ساعت 12:53 ب.ظ,2019-01-09 12:53:45.883000,D:\ACC\Backup start\Backup start tolidi,,1,1,2019-01-09 12:53:45,1,2019-01-09 12:53:45,AutomaticBackup_Sepidar04_Ver5.1.4_13971019_1253.bak,.,True,False,,,False
18,نسخه پشتيبان تاريخ 97/10/19 ساعت 01:44 ب.ظ,2019-01-09 13:45:01.070000,D:\ACC\Backup start\Backup start tolidi,,1,1,2019-01-09 13:45:01,1,2019-01-09 13:45:01,Backup_Sepidar04_Ver5.1.4_971019_NEW.bak,.,True,False,,,False
19,نسخه پشتيبان تاريخ 97/11/03 ساعت 04:21 ق.ظ,2019-01-23 04:21:55.057000,D:\ACC\Backup start\Backup start tolidi,,1,1,2019-01-23 04:21:55,1,2019-01-23 04:21:55,Backup_Sepidar04_Ver5.1.4_971103_0421.bak,.,True,False,,,False
20,نسخه پشتيبان خودکار تاريخ 03/11/1397 ساعت 04:24 ق.ظ,2019-01-23 04:24:38.280000,D:\ACC\Backup start\Backup start tolidi,,1,1,2019-01-23 04:24:38,1,2019-01-23 04:24:38,AutomaticBackup_Sepidar04_Ver5.1.4_13971103_0424.bak,.,True,False,,,False
21,نسخه پشتيبان تاريخ 97/11/03 ساعت 04:28 ق.ظ,2019-01-23 04:28:56.697000,D:\ACC\Backup start\Backup start tolidi,,1,1,2019-01-23 04:28:56,1,2019-01-23 04:28:56,Backup_Sepidar04_Ver5.1.4_971103_0428.bak,.,True,False,,,False
22,نسخه پشتيبان تاريخ 97/11/27 ساعت 11:05 ب.ظ,2019-02-16 23:05:05.273000,D:\ACC\Backup start\Backup start tolidi,,1,1,2019-02-16 23:05:05,1,2019-02-16 23:05:05,Backup_Sepidar04_Ver5.1.7_971127_2305.bak,.,True,False,,,False
23,نسخه پشتيبان خودکار تاريخ 28/11/1397 ساعت 02:46 ق.ظ,2019-02-17 02:46:06.347000,D:\ACC\Backup start\Backup start tolidi,,1,1,2019-02-17 02:46:06,1,2019-02-17 02:46:06,AutomaticBackup_Sepidar04_Ver5.1.7_13971128_0246.bak,.,True,False,,,False
24,نسخه پشتيبان خودکار تاريخ 28/11/1397 ساعت 03:56 ق.ظ,2019-02-17 03:56:05.867000,D:\ACC\Backup start\Backup start tolidi,,1,1,2019-02-17 03:56:05,1,2019-02-17 03:56:05,AutomaticBackup_Sepidar04_Ver5.1.7_13971128_0356.bak,.,True,False,,,False
25,نسخه پشتيبان تاريخ 97/12/04 ساعت 10:35 ب.ظ,2019-02-23 22:36:43.083000,D:\ACC\Backup start\Backup start tolidi,,1,1,2019-02-23 22:36:43,1,2019-02-23 22:36:43,Backup_Sepidar04_Ver5.1.7_971204_NEW.bak,.,True,False,,,False
26,نسخه پشتيبان خودکار تاريخ 21/12/1397 ساعت 09:45 ق.ظ,2019-03-12 09:45:32.913000,D:\ACC\Backup start\Backup start tolidi,,1,1,2019-03-12 09:45:32,1,2019-03-12 09:45:32,AutomaticBackup_Sepidar03_Ver5.1.7_13971221_0945.bak,.,True,False,,,False
