LocationId,Title,Title_En,Code,Parent,Type,Version,Creator,CreationDate,LastModifier,LastModificationDate,MinistryofFinanceCode,TaxFileCode
1,محل هاي جغرافيايي,محل هاي جغرافيايي,,,0         ,0,,2018-03-05 13:34:00,,2018-03-05 13:34:00,,
2,ايران,ايران,0098,1,1         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,,103
4,آذربايجان شرقي,آذربايجان شرقي,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,13,
5,آذربايجان غربي,آذربايجان غربي,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,14,
6,اردبيل,اردبيل,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,61,
7,اصفهان,اصفهان,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,20,
8,ايلام,ايلام,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,27,
9,بوشهر,بوشهر,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,88,
10,تهران,تهران,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,10,
11,چهارمحال و بختياري,چهارمحال و بختياري,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,25,
12,خوزستان,خوزستان,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,16,
13,خراسان رضوي,خراسان رضوي,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,19,
14,خراسان شمالي ,خراسان شمالي ,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,21,
15,خراسان جنوبي,خراسان جنوبي,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,31,
16,زنجان,زنجان,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,29,
17,سمنان,سمنان,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,99,
18,سيستان و بلوچستان,سيستان و بلوچستان,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,66,
19,فارس,فارس,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,17,
20,قم,قم,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,62,
21,قزوين,قزوين,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,63,
22,كهكيلويه و بويراحمد,كهكيلويه و بويراحمد,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,28,
23,كرمان,كرمان,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,18,
24,كرمانشاه,كرمانشاه,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,15,
25,كردستان,كردستان,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,22,
26,گلستان,گلستان,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,64,
27,گيلان,گيلان,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,55,
28,لرستان,لرستان,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,26,
29,مازندران,مازندران,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,12,
30,مركزي,مركزي,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,44,
31,همدان,همدان,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,24,
32,هرمزگان,هرمزگان,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,23,
33,يزد,يزد,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,77,
34,البرز,البرز,,2,2         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,49,
42,قره اغاج,قره اغاج,,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1308201,
43,كليبر,كليبر,,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1313000,
44,كندوان,كندوان,,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1307400,
45,ملكان,ملكان,,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1310000,
46,ميانه,ميانه,0423222,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1307000,
47,مرند,مرند,0491,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1305000,
48,مراغه,مراغه,0421,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1304000,
49,هاديشهر,هاديشهر,,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1306102,
50,هريس,هريس,,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1314000,
51,هشترود,هشترود,0424622,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1308000,
52,ورزقان,ورزقان,,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1302300,
53,اذرشهر,اذرشهر,0412422,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1301200,
54,اهر,اهر,0426222,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1302000,
55,اسكو,اسكو,,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1301300,
56,بناب,بناب,,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1309000,
57,شرفخانه,شرفخانه,,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1312107,
58,بستان اباد,بستان اباد,0432412,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1311000,
59,تبريز,تبريز,0411,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1301000,
60,تسوج,تسوج,,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1312201,
61,جلفا,جلفا,0492302,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1306000,
62,سراب,سراب,0431,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1303000,
63,شبستر,شبستر,0471,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1312000,
64,عجب شير,عجب شير,,4,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1304300,
65,مهاباد,مهاباد,0442222,5,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1409000,
