MarketingDisketteCurrencyID,Code,Ttile,Version,Creator,CreationDate,LastModifier,LastModificationDate
1,8,لك الباني-ALL,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
2,12,دينار الجزاير-DZD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
3,32,پزو آرژانتين-ARS,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
4,36,دلار استراليا-AUD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
5,44,دلار باهاماس-BSD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
6,48,دينار بحرين-BHD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
7,50,تاكا بنگلادش-BDT,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
8,51,دام ارمنستان-AMD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
9,52,دلار باربادوس-BBD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
10,60,دلار برمودا-BMD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
11,64,انگلتروم بوتان-BTN,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
12,68,بوليويانو بوليوي-BOB,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
13,72,پولا بوتساوانا-BWP,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
14,84,دلار بليز-BZD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
15,90,دلار جزاير سليمان-SBD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
16,96,دلار برونئي-BND,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
17,104,كيات ميانمار-MMK,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
18,108,فرانك بوروندي-BIF,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
19,116,ريل كامبوج-KHR,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
20,124,دلار كانادا-CAD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
