PartyOpeningBalanceID,Type,OpeningBalance,PartyRef,FiscalYearRef,OpeningBalanceType,FeedFromClosingOperation
7,1,0.0000,12,1,2,False
8,0,71914.0000,12,1,2,False
9,2,0.0000,12,1,1,False
10,1,0.0000,67,1,2,False
11,0,5432325298.0000,67,1,1,False
12,2,0.0000,67,1,1,False
13,1,0.0000,68,1,2,False
14,0,0.0000,68,1,1,False
15,2,0.0000,68,1,1,False
43,1,0.0000,134,1,2,False
44,0,0.0000,134,1,1,False
45,2,0.0000,134,1,1,False
46,1,0.0000,135,1,2,False
47,0,0.0000,135,1,1,False
48,2,0.0000,135,1,1,False
49,1,0.0000,136,1,2,False
50,0,0.0000,136,1,1,False
51,2,0.0000,136,1,1,False
52,1,0.0000,137,1,2,False
53,0,0.0000,137,1,1,False
54,2,0.0000,137,1,1,False
55,1,0.0000,138,1,2,False
56,0,0.0000,138,1,1,False
57,2,0.0000,138,1,1,False
58,1,0.0000,139,1,2,False
59,0,0.0000,139,1,1,False
60,2,0.0000,139,1,1,False
61,1,0.0000,140,1,2,False
62,0,0.0000,140,1,1,False
63,2,0.0000,140,1,1,False
64,1,0.0000,141,1,2,False
65,0,0.0000,141,1,1,False
66,2,0.0000,141,1,1,False
67,1,0.0000,142,1,2,False
68,0,0.0000,142,1,1,False
69,2,0.0000,142,1,1,False
70,1,0.0000,143,1,2,False
71,0,0.0000,143,1,1,False
72,2,0.0000,143,1,1,False
73,1,0.0000,144,1,2,False
74,0,0.0000,144,1,1,False
75,2,0.0000,144,1,1,False
76,1,0.0000,145,1,2,False
77,0,0.0000,145,1,1,False
78,2,0.0000,145,1,1,False
82,1,0.0000,147,1,2,False
83,0,0.0000,147,1,1,False
84,2,0.0000,147,1,1,False
94,1,10194509330.0000,151,1,2,False
95,0,0.0000,151,1,1,False
96,2,0.0000,151,1,1,False
97,1,2495521576.0000,152,1,1,False
98,0,0.0000,152,1,1,False
99,2,0.0000,152,1,1,False
100,1,9000000.0000,153,1,2,False
101,0,0.0000,153,1,1,False
102,2,0.0000,153,1,1,False
103,1,409184502.0000,105,1,2,False
104,1,0.0000,21,1,1,False
105,1,0.0000,22,1,1,False
106,1,85650000.0000,107,1,2,False
107,1,361215002.0000,108,1,1,False
108,1,7000000000.0000,110,1,2,False
109,1,2255095000.0000,111,1,2,False
110,1,0.0000,113,1,2,False
111,1,97953461.0000,114,1,2,False
113,1,1856900000.0000,116,1,2,False
114,1,403443000.0000,117,1,2,False
115,1,0.0000,118,1,2,False
117,1,1802555002.0000,120,1,1,False
118,1,0.0000,121,1,2,False
119,1,0.0000,124,1,2,False
120,1,36860000.0000,123,1,2,False
121,1,0.0000,23,1,2,False
122,1,15353535000.0000,96,1,1,False
123,1,0.0000,97,1,2,False
124,1,740811000.0000,102,1,2,False
125,1,223770952.0000,103,1,1,False
126,1,0.0000,24,1,1,False
127,1,2016530348.0000,90,1,2,False
128,1,8480560886.0000,154,1,2,False
129,0,0.0000,154,1,1,False
130,2,0.0000,154,1,1,False
131,1,26367600.0000,92,1,2,False
135,1,60886984583.0000,26,1,1,False
139,1,188550000.0000,157,1,2,False
140,0,0.0000,157,1,1,False
141,2,0.0000,157,1,1,False
142,1,13660000.0000,158,1,1,False
143,0,0.0000,158,1,1,False
144,2,0.0000,158,1,1,False
151,1,83580000.0000,161,1,2,False
152,0,0.0000,161,1,1,False
153,2,0.0000,161,1,1,False
154,1,504900000.0000,162,1,2,False
155,0,0.0000,162,1,1,False
156,2,0.0000,162,1,1,False
157,0,251206897.0000,36,1,1,False
158,0,150000001.0000,37,1,1,False
159,0,1500000000.0000,38,1,1,False
160,0,204031622.0000,20,1,1,False
161,0,447000000.0000,33,1,1,False
163,0,151759687.0000,32,1,1,False
164,0,379509178.0000,30,1,1,False
165,0,107800000.0000,49,1,1,False
166,1,0.0000,163,1,2,False
167,0,6990929.0000,163,1,2,False
168,2,0.0000,163,1,1,False
178,0,221600000.0000,15,1,1,False
179,0,8434000.0000,18,1,1,False
183,1,0.0000,168,1,2,False
184,0,1300000000.0000,168,1,2,False
185,2,0.0000,168,1,1,False
186,1,0.0000,169,1,2,False
187,0,0.0000,169,1,1,False
188,2,0.0000,169,1,1,False
189,1,0.0000,170,1,2,False
190,0,0.0000,170,1,1,False
191,2,0.0000,170,1,1,False
192,1,0.0000,171,1,2,False
193,0,0.0000,171,1,1,False
194,2,0.0000,171,1,1,False
195,1,0.0000,172,1,2,False
196,0,0.0000,172,1,1,False
197,2,0.0000,172,1,1,False
198,1,0.0000,173,1,2,False
199,0,0.0000,173,1,1,False
200,2,0.0000,173,1,1,False
201,1,0.0000,174,1,2,False
202,0,0.0000,174,1,1,False
203,2,0.0000,174,1,1,False
204,1,0.0000,175,1,2,False
205,0,0.0000,175,1,1,False
206,2,0.0000,175,1,1,False
207,1,0.0000,176,1,2,False
208,0,0.0000,176,1,1,False
209,2,0.0000,176,1,1,False
210,1,0.0000,177,1,2,False
211,0,0.0000,177,1,1,False
212,2,0.0000,177,1,1,False
213,1,0.0000,178,1,2,False
214,0,0.0000,178,1,1,False
215,2,0.0000,178,1,1,False
225,1,0.0000,182,1,2,False
226,0,0.0000,182,1,1,False
227,2,0.0000,182,1,1,False
231,1,0.0000,184,1,2,False
232,0,0.0000,184,1,1,False
233,2,0.0000,184,1,1,False
237,1,0.0000,186,1,2,False
238,0,0.0000,186,1,1,False
239,2,0.0000,186,1,1,False
240,1,0.0000,187,1,2,False
241,0,0.0000,187,1,1,False
242,2,0.0000,187,1,1,False
279,1,1473000000.0000,88,1,1,False
280,1,0.0000,200,1,2,False
281,0,0.0000,200,1,1,False
282,2,0.0000,200,1,1,False
283,1,0.0000,201,1,2,False
284,0,0.0000,201,1,1,False
285,2,0.0000,201,1,1,False
286,1,0.0000,202,1,2,False
287,0,0.0000,202,1,1,False
288,2,0.0000,202,1,1,False
289,1,0.0000,203,1,2,False
290,0,0.0000,203,1,1,False
291,2,0.0000,203,1,1,False
292,1,0.0000,204,1,2,False
293,0,0.0000,204,1,1,False
294,2,0.0000,204,1,1,False
295,1,0.0000,205,1,2,False
296,0,0.0000,205,1,1,False
297,2,0.0000,205,1,1,False
298,1,0.0000,206,1,2,False
299,0,0.0000,206,1,1,False
300,2,0.0000,206,1,1,False
301,1,0.0000,207,1,2,False
302,0,0.0000,207,1,1,False
303,2,0.0000,207,1,1,False
304,1,0.0000,208,1,2,False
305,0,0.0000,208,1,1,False
306,2,0.0000,208,1,1,False
307,1,0.0000,209,1,2,False
308,0,0.0000,209,1,1,False
309,2,0.0000,209,1,1,False
316,1,0.0000,212,1,2,False
317,0,0.0000,212,1,1,False
318,2,0.0000,212,1,1,False
322,1,0.0000,214,1,2,False
323,0,0.0000,214,1,1,False
324,2,0.0000,214,1,1,False
328,1,0.0000,216,1,2,False
329,0,0.0000,216,1,1,False
330,2,0.0000,216,1,1,False
331,1,0.0000,217,1,2,False
332,0,0.0000,217,1,1,False
333,2,0.0000,217,1,1,False
334,1,0.0000,218,1,2,False
335,0,0.0000,218,1,1,False
336,2,0.0000,218,1,1,False
337,1,0.0000,219,1,2,False
338,0,0.0000,219,1,1,False
339,2,0.0000,219,1,1,False
340,1,0.0000,220,1,2,False
341,0,0.0000,220,1,1,False
342,2,0.0000,220,1,1,False
346,1,0.0000,222,1,2,False
347,0,0.0000,222,1,1,False
348,2,0.0000,222,1,1,False
349,1,0.0000,223,1,2,False
350,0,0.0000,223,1,1,False
351,2,0.0000,223,1,1,False
355,1,0.0000,225,1,2,False
356,0,0.0000,225,1,1,False
357,2,0.0000,225,1,1,False
358,1,0.0000,226,1,2,False
359,0,0.0000,226,1,1,False
360,2,0.0000,226,1,1,False
361,1,0.0000,227,1,2,False
362,0,0.0000,227,1,1,False
363,2,0.0000,227,1,1,False
364,1,0.0000,228,1,2,False
365,0,0.0000,228,1,1,False
366,2,0.0000,228,1,1,False
367,1,0.0000,229,1,2,False
368,0,0.0000,229,1,1,False
369,2,0.0000,229,1,1,False
373,1,0.0000,231,1,2,False
374,0,0.0000,231,1,1,False
375,2,0.0000,231,1,1,False
