ShredItemID,ShredRef,RowNumber,UsanceDate,Amount,InterestAmount,PenaltyAmount,PenaltyRate,Status,PaymentRef,ReceiptRef,PaymentDate,IsPaid,PaidDate,PaidDesc,PartySettlementRef
25,3,1,2026-04-03 00:00:00,2500000000.0000,322428000.0000,0.0000,,1,410,,,False,2026-04-03 00:00:00,,
26,3,2,2026-05-04 00:00:00,2500000000.0000,322428000.0000,0.0000,,1,900,,,False,2026-05-04 00:00:00,,
27,3,3,2026-06-04 00:00:00,2500000000.0000,322428000.0000,0.0000,,1,1599,,,False,2026-06-04 00:00:00,,
28,3,4,2026-07-05 00:00:00,2500000000.0000,322428000.0000,0.0000,,2,,,,False,,,
29,3,5,2026-08-05 00:00:00,2500000000.0000,322428000.0000,0.0000,,2,,,,False,,,
30,3,6,2026-09-05 00:00:00,2500000000.0000,322428000.0000,0.0000,,2,,,,False,,,
31,3,7,2026-10-06 00:00:00,2500000000.0000,322428000.0000,0.0000,,2,,,,False,,,
32,3,8,2026-11-05 00:00:00,2500000000.0000,322428000.0000,0.0000,,2,,,,False,,,
33,3,9,2026-12-05 00:00:00,2500000000.0000,322428000.0000,0.0000,,2,,,,False,,,
34,3,10,2027-01-04 00:00:00,2500000000.0000,322428000.0000,0.0000,,2,,,,False,,,
35,3,11,2027-02-03 00:00:00,2500000000.0000,322432357.0000,0.0000,,2,,,,False,,,
36,5,1,2026-04-03 00:00:00,2166668000.0000,146727000.0000,0.0000,,1,411,,,False,2026-04-03 00:00:00,,
37,5,2,2026-05-04 00:00:00,2166668000.0000,146727000.0000,0.0000,,1,902,,,False,2026-05-04 00:00:00,,
38,5,3,2026-06-04 00:00:00,2166668000.0000,146727000.0000,0.0000,,1,1502,,,False,2026-06-04 00:00:00,,
39,5,4,2026-07-05 00:00:00,2166668000.0000,146727000.0000,0.0000,,2,,,,False,,,
40,5,5,2026-08-05 00:00:00,2166660000.0000,146729947.0000,0.0000,,2,,,,False,,,
42,6,1,2026-03-25 00:00:00,76025427.0000,0.0000,0.0000,,1,473,,,False,2026-04-10 00:00:00,,
43,6,2,2026-04-25 00:00:00,515417361.0000,39916000.0000,0.0000,,1,1261,,,False,2026-04-29 00:00:00,,
44,6,3,2026-05-26 00:00:00,317909703.0000,39916000.0000,0.0000,,1,1358,,,False,2026-06-08 00:00:00,,
45,6,4,2026-06-26 00:00:00,515417361.0000,39916000.0000,0.0000,,2,,,,False,,,
46,6,5,2026-07-27 00:00:00,515417361.0000,39916000.0000,0.0000,,2,,,,False,,,
47,6,6,2026-08-27 00:00:00,515417361.0000,39916000.0000,0.0000,,2,,,,False,,,
48,6,7,2026-09-27 00:00:00,515417361.0000,39916000.0000,0.0000,,2,,,,False,,,
49,6,8,2026-10-27 00:00:00,515409029.0000,39923844.0000,0.0000,,2,,,,False,,,
50,6,9,2026-03-25 00:00:00,429806965.0000,39916000.0000,0.0000,,1,512,,,False,2026-04-21 00:00:00,,
51,9,1,2026-04-01 00:00:00,219270000.0000,0.0000,0.0000,,1,501,,,False,2026-04-01 00:00:00,,
52,9,2,2026-05-02 00:00:00,219300000.0000,0.0000,0.0000,,1,1312,,,False,2026-05-02 00:00:00,,
53,6,10,2026-03-25 00:00:00,9584969.0000,0.0000,0.0000,,1,,,,True,2026-04-21 00:00:00,تسويه از محل ملي شخصي مارال مبلغ 9.080.996 ريال حساب 5003 و مبلغ 503.973 ريال از حساب 2004,
54,10,1,2026-02-02 00:00:00,174573070.0000,47109200.0000,0.0000,,1,,,,True,2026-04-02 00:00:00,پرداخت از طريق بانك شهر مارال حلبيان فر,
55,10,2,2026-03-04 00:00:00,166010377.0000,47109200.0000,0.0000,,2,,,,False,,,
56,10,3,2026-04-02 00:00:00,183330800.0000,47109200.0000,0.0000,,2,,,,False,,,
57,10,4,2026-05-03 00:00:00,183330800.0000,47109200.0000,0.0000,,1,1234,,,False,2026-06-03 00:00:00,,
58,10,5,2026-06-03 00:00:00,183330800.0000,47109200.0000,0.0000,,2,,,,False,,,
59,10,6,2026-07-04 00:00:00,183330800.0000,47109200.0000,0.0000,,2,,,,False,,,
60,10,7,2026-08-04 00:00:00,183330800.0000,47109200.0000,0.0000,,2,,,,False,,,
61,10,8,2026-09-04 00:00:00,183330800.0000,47109200.0000,0.0000,,2,,,,False,,,
62,10,9,2026-10-05 00:00:00,183330800.0000,47109200.0000,0.0000,,2,,,,False,,,
63,10,10,2026-11-04 00:00:00,183391928.0000,47109200.0000,0.0000,,2,,,,False,,,
64,10,11,2026-03-04 00:00:00,17320423.0000,0.0000,0.0000,,1,,,,True,2026-04-02 00:00:00,پرداخت از طريق بانك شهر مارال حلبيان فر,
66,14,1,2026-06-24 00:00:00,5077064110.0000,625095890.0000,0.0000,,2,,,,False,,,
67,14,2,2026-07-25 00:00:00,5176240732.0000,525919268.0000,0.0000,,2,,,,False,,,
68,14,3,2026-08-25 00:00:00,5277354694.0000,424805306.0000,0.0000,,2,,,,False,,,
69,14,4,2026-09-25 00:00:00,5380443843.0000,321716157.0000,0.0000,,2,,,,False,,,
70,14,5,2026-10-25 00:00:00,5492534283.0000,209625717.0000,0.0000,,2,,,,False,,,
71,14,6,2026-11-24 00:00:00,5596362338.0000,105794247.0000,0.0000,,2,,,,False,,,
72,17,1,2026-05-19 00:00:00,2500000000.0000,217634353.0000,0.0000,,1,1030,,,False,2026-05-25 00:00:00,,
73,18,1,2026-04-07 00:00:00,1833333822.0000,236346000.0000,0.0000,,2,,,,False,,,
74,18,2,2026-05-08 00:00:00,1833333822.0000,236346000.0000,0.0000,,2,,,,False,,,
75,18,3,2026-06-08 00:00:00,1833333822.0000,236346000.0000,0.0000,,2,,,,False,,,
76,18,4,2026-07-09 00:00:00,1833333822.0000,236346000.0000,0.0000,,2,,,,False,,,
