TaxPayerMapperUnitID,UnitRef,TaxPayerUnitRef,Version,Creator,CreationDate,LastModifier,LastModificationDate
16,1,4,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
17,2,24,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
18,3,,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
19,4,,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
20,5,,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
21,6,,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
22,7,,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
23,8,,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
24,9,,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
25,10,,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
26,11,,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
27,12,,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
28,13,,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
29,14,,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
30,15,,1,10,2026-05-21 11:58:47,10,2026-05-21 11:58:47
