ItemID,Type,Code,Title,Title_En,BarCode,UnitRef,SecondaryUnitRef,SaleUnitRef,IsUnitRatioConstant,UnitsRatio,MinimumAmount,MaximumAmount,CanHaveTracing,TracingCategoryRef,IsPricingBasedOnTracing,TaxExempt,TaxExemptPurchase,Sellable,DefaultStockRef,PurchaseGroupRef,SaleGroupRef,CompoundBarcodeRef,ItemCategoryRef,Creator,CreationDate,LastModifier,LastModificationDate,Version,IsActive,AccountSLRef,IranCode,TaxRate,DutyRate,CodingGroupRef,SerialTracking,Weight,Volume,ConsumerFee
1859,1,2100001,سس تك نفره كچاب,سس تك نفره كچاب,,2,,2,True,,,,False,,False,False,False,True,,,,,,1,2025-09-23 11:58:17,12,2026-06-01 12:45:20,7,True,,,10.0000,0.0000,69,False,,,
1860,1,2100002,سس مايونز دبه,سس مايونز دبه,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:18,1,2025-09-23 11:58:18,0,True,,,10.0000,0.0000,69,False,,,
1861,1,2100003,سس خردل دبه,سس خردل دبه,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:19,12,2026-04-28 11:20:30,1,True,,,10.0000,0.0000,69,False,,,
1862,1,2100004,رب گوجه,رب گوجه,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:19,12,2026-04-28 11:21:41,1,True,,,10.0000,0.0000,69,False,,,
1863,1,2100005,روغن سرخ كردني,روغن سرخ كردني,,5,,5,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:19,12,2026-04-22 13:33:16,2,True,,,0.0000,0.0000,69,False,,,
1864,1,2100006,روغن مايع,روغن مايع,,5,,5,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:20,10,2026-03-02 17:34:30,1,True,,,0.0000,0.0000,69,False,,,
1865,1,2100007,سس سويا كيكومن,سس سويا كيكومن,,5,,5,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:20,1,2025-09-23 11:58:20,0,True,,,10.0000,0.0000,69,False,,,
1866,1,2100008,سس خردل ديژون,سس خردل ديژون,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:20,1,2025-09-23 11:58:20,0,True,,,10.0000,0.0000,69,False,,,
1867,1,2100009,روغن زيتون,روغن زيتون,,5,14,5,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:21,10,2026-05-07 11:42:05,1,True,,,10.0000,0.0000,69,False,,,
1868,1,2100010,سس فلفل اصالت,سس فلفل اصالت,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:21,1,2025-09-23 11:58:21,0,True,,,10.0000,0.0000,69,False,,,
1869,1,2100011,برنج,برنج,,1,,1,True,,,,False,,False,False,False,False,10,,,,,1,2025-09-23 11:58:21,12,2026-05-16 17:23:21,3,True,,,10.0000,0.0000,69,False,,,
1870,1,2100012,رب انار,رب انار,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:21,10,2026-05-02 14:06:50,2,True,,,10.0000,0.0000,69,False,,,
1871,1,2100013,سس چيلي ,سس چيلي ,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:22,1,2025-09-23 11:58:22,0,True,,,10.0000,0.0000,69,False,,,
1872,1,2100014,سس باربيكيو,سس باربيكيو,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:22,1,2025-09-23 11:58:22,0,True,,,10.0000,0.0000,69,False,,,
1873,1,2100015,كچاب كيلويي,كچاب كيلويي,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:22,1,2025-09-23 11:58:22,0,True,,,10.0000,0.0000,69,False,,,
1875,1,2100017,سس خردل فرنچ,سس خردل فرنچ,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:23,1,2025-09-23 11:58:23,0,True,,,10.0000,0.0000,69,False,,,
1876,1,2200001,زيره سبز,زيره سبز,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:23,12,2026-04-28 10:56:47,2,True,,,0.0000,0.0000,70,False,,,
1877,1,2200002,دارچين,دارچين,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:24,12,2026-04-28 10:57:34,2,True,,,0.0000,0.0000,70,False,,,
1878,1,2200003,فلفل قرمز,فلفل قرمز,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:24,12,2026-04-28 11:00:18,2,True,,,0.0000,0.0000,70,False,,,
1879,1,2200004,پودر زنجبيل,پودر زنجبيل,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:24,12,2026-04-28 11:01:09,2,True,,,0.0000,0.0000,70,False,,,
1880,1,2200005,مرينت استريپس,مرينت استريپس,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:24,12,2026-04-13 14:47:14,1,True,,,0.0000,0.0000,70,False,,,
1881,1,2200006,زردچوبه,زردچوبه,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:25,12,2026-04-13 14:53:15,1,True,,,0.0000,0.0000,70,False,,,
1882,1,2200007,آويشن,آويشن,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:25,1,2025-09-23 11:58:25,0,True,,,10.0000,0.0000,70,False,,,
1883,1,2200008,پودرسير,پودرسير,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:25,12,2026-04-28 11:04:39,1,True,,,10.0000,0.0000,70,False,,,
1884,1,2200009,آرد سوخاري,آرد سوخاري,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:26,12,2026-05-02 16:24:00,1,True,,,10.0000,0.0000,70,False,,,
1885,1,2200010,تخم گشنيز,تخم گشنيز,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:26,12,2026-04-28 11:05:15,1,True,,,0.0000,0.0000,70,False,,,
1886,1,2200011,فلفل سياه,فلفل سياه,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:26,12,2026-04-28 11:05:54,1,True,,,0.0000,0.0000,70,False,,,
1887,1,2200012,پاپريكا معمولي,پاپريكا معمولي,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:27,12,2026-04-28 11:06:21,1,True,,,0.0000,0.0000,70,False,,,
1888,1,2200013,پودر پياز,پودر پياز,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:27,1,2025-09-23 11:58:27,0,True,,,10.0000,0.0000,70,False,,,
1889,1,2200014,رزماري سبز,رزماري سبز,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:27,12,2026-04-28 11:06:50,1,True,,,0.0000,0.0000,70,False,,,
1890,1,2200015,پودر گوجه,پودر گوجه,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:28,1,2025-09-23 11:58:28,0,True,,,10.0000,0.0000,70,False,,,
1891,1,2200016,نشاسته,نشاسته,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:28,1,2025-09-23 11:58:28,0,True,,,10.0000,0.0000,70,False,,,
1892,1,2200017,شكر,شكر,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:28,12,2026-04-28 11:07:32,1,True,,,0.0000,0.0000,70,False,,,
1893,1,2200018,نمك,نمك,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:29,13,2026-04-23 13:18:15,1,True,,,10.0000,0.0000,70,False,,,
1894,1,2200019,زعتر,زعتر,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:29,1,2025-09-23 11:58:29,0,True,,,10.0000,0.0000,70,False,,,
1895,1,2200020,اورگانو,اورگانو,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:29,12,2026-04-28 11:08:07,1,True,,,0.0000,0.0000,70,False,,,
1896,1,2200021,ادويه سيب,ادويه سيب,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:30,12,2026-04-22 13:26:14,1,True,,,10.0000,0.0000,70,False,,,
1897,1,2200022,پودر آب پنير,پودر آب پنير,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:30,12,2026-04-18 14:13:28,1,True,,,10.0000,0.0000,70,False,,,
1898,1,2200023,گوجه خشك,گوجه خشك,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:30,12,2026-04-22 13:43:17,2,True,,,10.0000,0.0000,70,False,,,
1899,1,2200024,زعفران,زعفران,,14,,14,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:31,12,2026-04-18 14:13:30,1,True,,,10.0000,0.0000,70,False,,,
1900,1,2200025,برگ بو,برگ بو,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:31,12,2026-04-28 11:09:13,2,True,,,0.0000,0.0000,70,False,,,
1901,1,2200026,فلفل تركي,فلفل تركي,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:31,12,2026-04-28 11:09:44,1,True,,,0.0000,0.0000,70,False,,,
1902,1,2200027,پودر لبو,پودر لبو,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:32,12,2026-04-28 11:10:12,1,True,,,0.0000,0.0000,70,False,,,
1903,1,2200028,فلفل سفيد,فلفل سفيد,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:32,12,2026-04-28 11:10:37,1,True,,,0.0000,0.0000,70,False,,,
1905,1,2200030,پودر پانكو,پودر پانكو,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:33,1,2025-09-23 11:58:33,0,True,,,10.0000,0.0000,70,False,,,
1906,1,2200031,پاپريكا دودي,پاپريكا دودي,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:33,12,2026-04-28 11:11:06,1,True,,,0.0000,0.0000,70,False,,,
1907,1,2200032,آرد اسپايسي(پودر روكش سوخاري),آرد اسپايسي(پودر روكش سوخاري),,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:33,12,2026-04-21 12:46:15,1,True,,,10.0000,0.0000,70,False,,,
1908,1,2200033,پودر سوخاري پفكي,پودر سوخاري پفكي,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:34,1,2025-09-23 11:58:34,0,True,,,10.0000,0.0000,70,False,,,
1909,1,2200034,نمك تك نفره,نمك تك نفره,,2,,2,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:34,12,2026-04-22 13:35:41,1,True,,,10.0000,0.0000,70,False,,,
1910,1,2200035,فلفل قرمز تك نفره,فلفل قرمز تك نفره,,2,,2,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:34,12,2026-04-22 13:48:29,1,True,,,0.0000,0.0000,70,False,,,
1911,1,2200036,آويشن تك نفره,آويشن تك نفره,,2,,2,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:34,12,2026-04-22 14:23:42,1,True,,,0.0000,0.0000,70,False,,,
1912,1,2200037,پودر شويد,پودر شويد,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:35,1,2025-09-23 11:58:35,0,True,,,10.0000,0.0000,70,False,,,
1914,1,2200039,بادام زميني,بادام زميني,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:35,1,2025-09-23 11:58:35,0,True,,,10.0000,0.0000,70,False,,,
1915,1,2200040,كنجد سفيد,كنجد سفيد,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:36,12,2026-04-22 13:44:02,1,True,,,10.0000,0.0000,70,False,,,
1916,1,2200041,ميوه جوز هندي,ميوه جوز هندي,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:36,12,2026-04-28 11:11:44,1,True,,,0.0000,0.0000,70,False,,,
1917,1,2200042,شكر قهوه اي,شكر قهوه اي,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:36,12,2026-04-28 11:12:12,1,True,,,0.0000,0.0000,70,False,,,
1918,1,2200043,پودر ريشه جوز,پودر ريشه جوز,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:37,1,2025-09-23 11:58:37,0,True,,,10.0000,0.0000,70,False,,,
1919,1,2300001,كالباس پپروني,كالباس پپروني,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:37,10,2026-05-12 17:11:01,2,True,,,10.0000,0.0000,72,False,,,
1920,1,2300002,تخم مرغ,تخم مرغ,,1,14,1,True,0.001,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:37,12,2026-04-28 11:17:29,2,True,,,0.0000,0.0000,72,False,,,
1921,1,2300003,سوسيس هات داگ,سوسيس هات داگ,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:38,12,2026-04-22 13:51:28,1,True,,,10.0000,0.0000,72,False,,,
1922,1,2300004,ژامبون مرغ,ژامبون مرغ,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:38,12,2026-04-22 13:57:06,1,True,,,10.0000,0.0000,72,False,,,
1923,1,2300005,سينه بوقلمون,سينه بوقلمون,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:38,12,2026-04-22 13:49:39,2,True,,,10.0000,0.0000,72,False,,,
1924,1,2300006,بيكن گوشت,بيكن گوشت,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:39,12,2026-04-22 14:17:45,1,True,,,10.0000,0.0000,72,False,,,
1925,1,2300007,ژامبون گوشت,ژامبون گوشت,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:39,12,2026-04-22 13:57:40,2,True,,,10.0000,0.0000,72,False,,,
1926,1,2300008,ژامبون مخلوط پنيري,ژامبون مخلوط پنيري,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:39,12,2026-04-22 13:57:20,1,True,,,10.0000,0.0000,72,False,,,
1927,1,2300009,فيله گوساله,فيله گوساله,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:39,10,2026-03-02 17:36:31,1,True,,,0.0000,0.0000,72,False,,,
1928,1,2300010,قلوگاه گوساله,قلوگاه گوساله,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:40,12,2026-06-01 18:23:53,2,True,,,0.0000,0.0000,72,False,,,
1929,1,2300011,مغز راستا گوساله,مغز راستا گوساله,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:40,10,2026-03-02 17:36:50,1,True,,,0.0000,0.0000,72,False,,,
1930,1,2300012,شاه پسند گوساله,شاه پسند گوساله,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:40,10,2026-03-02 17:36:59,1,True,,,0.0000,0.0000,72,False,,,
1931,1,2300013,زبان گوساله,زبان گوساله,,1,,1,True,,,,False,,False,False,False,True,10,,,,,1,2025-09-23 11:58:41,10,2026-03-02 17:37:20,2,True,,,0.0000,0.0000,72,False,,,
