ItemStockSummaryID,StockRef,ItemRef,TracingRef,Order,UnitRef,InputQuantity,OutputQuantity,Quantity,SaleQuantity,FiscalYearRef,SaleWithReserveQuantity,FeedFromClosingOperation
106,10,2105,,1,2,85322.0000,70806.0000,14516.0000,0.0000,1,0.0000,False
107,10,2106,,1,2,4525.0000,4199.0000,326.0000,0.0000,1,0.0000,False
108,10,2107,,1,2,14900.0000,13861.0000,1039.0000,0.0000,1,0.0000,False
109,10,2108,,1,2,10480.0000,9976.0000,504.0000,0.0000,1,0.0000,False
110,10,2109,,1,2,12358.0000,11649.0000,709.0000,0.0000,1,0.0000,False
111,10,2064,,1,1,135.9010,130.0666,5.8344,0.0000,1,0.0000,False
112,10,1953,,1,1,2088.9500,1948.5840,140.3660,0.0000,1,0.0000,False
113,10,1982,,1,1,7.0150,6.9700,0.0450,0.0000,1,0.0000,False
114,10,1954,,1,1,4999.1000,4759.6368,239.4632,0.0000,1,0.0000,False
115,10,1957,,1,1,230.2000,213.8968,16.3032,0.0000,1,0.0000,False
116,10,1960,,1,1,5112.4500,5018.3017,94.1483,0.0000,1,0.0000,False
117,10,1976,,1,1,664.1000,619.4733,44.6267,0.0000,1,0.0000,False
118,10,2063,,1,1,163.6600,142.2528,21.4072,0.0000,1,0.0000,False
119,10,1958,,1,1,5954.6000,5724.7500,229.8500,0.0000,1,0.0000,False
120,10,1955,,1,1,4531.4000,3941.2500,590.1500,0.0000,1,0.0000,False
121,10,1956,,1,1,540.8000,518.5400,22.2600,0.0000,1,0.0000,False
122,10,1966,,1,1,92.2500,48.0500,44.2000,0.0000,1,0.0000,False
123,10,1961,,1,1,88.3082,78.4164,9.8918,0.0000,1,0.0000,False
124,10,1990,,1,2,106.0000,38.0000,68.0000,0.0000,1,0.0000,False
125,10,1987,,1,2,12.0000,18.0000,-6.0000,0.0000,1,0.0000,False
126,10,1967,,1,1,37.1200,27.4576,9.6624,0.0000,1,0.0000,False
127,10,2039,,1,1,142.7000,138.2235,4.4765,0.0000,1,0.0000,False
131,10,1971,,1,1,1569.0000,1444.0000,125.0000,0.0000,1,0.0000,False
132,10,2207,,1,1,8644.0000,7956.0000,688.0000,0.0000,1,0.0000,False
133,10,1963,,1,1,49.5600,45.7100,3.8500,0.0000,1,0.0000,False
134,10,1868,,1,1,67.2700,62.1095,5.1605,0.0000,1,0.0000,False
135,10,1999,,1,2,104000.0000,104000.0000,0.0000,0.0000,1,0.0000,False
136,10,1996,,1,2,22500.0000,28500.0000,-6000.0000,0.0000,1,0.0000,False
138,10,2011,,1,2,14400.0000,12700.0000,1700.0000,0.0000,1,0.0000,False
139,10,2239,,1,2,50.0000,0.0000,50.0000,0.0000,1,0.0000,False
140,10,2010,,1,2,12950.0000,9850.0000,3100.0000,0.0000,1,0.0000,False
141,10,2006,,1,2,90015.0000,114000.0000,-23985.0000,0.0000,1,0.0000,False
142,10,2240,,1,1,1015.9000,995.0000,20.9000,0.0000,1,0.0000,False
143,10,1969,,1,1,1135.8980,1126.8980,9.0000,0.0000,1,0.0000,False
144,10,2038,,1,1,23.3250,23.3250,0.0000,0.0000,1,0.0000,False
145,10,1920,,1,1,975.5010,972.2510,3.2500,0.0000,1,0.0000,False
146,10,1924,,1,1,749.3500,677.1900,72.1600,0.0000,1,0.0000,False
147,10,2054,,1,1,23.6500,21.8000,1.8500,0.0000,1,0.0000,False
148,10,1923,,1,1,202.8000,162.8200,39.9800,0.0000,1,0.0000,False
149,10,1925,,1,1,428.1500,385.9200,42.2300,0.0000,1,0.0000,False
150,10,1922,,1,1,636.0600,560.1000,75.9600,0.0000,1,0.0000,False
