StockID,Code,Title,Title_En,StockClerk,Phone,Address,Address_En,AccountSLRef,Creator,CreationDate,LastModifier,LastModificationDate,Version,IsActive
1,10,انبار دارايي ها,انبار دارايي ها,,,,,681,1,2018-03-05 14:02:25,10,2026-06-14 12:47:15,11,True
10,1,مواد اوليه,مواد اوليه,,,,,656,1,2025-09-21 15:05:26,1,2026-03-16 10:33:44,2,True
11,5,محصولات,محصولات,,,,,658,1,2025-09-21 15:05:43,10,2026-06-07 14:25:46,12,True
12,2,در جريان ساخت,در جريان ساخت,,,,,825,1,2026-02-23 12:41:12,1,2026-03-16 10:34:24,2,True
13,3,انبار خاقاني,انبار خاقاني,,,,,825,1,2026-02-23 14:48:44,1,2026-03-16 10:34:40,1,True
14,4,انبار احمد اباد,انبار احمد اباد,,,,,825,1,2026-02-23 14:49:06,1,2026-03-16 10:34:57,2,True
16,6,انبار اماني,انبار اماني,,,,,659,10,2026-05-25 16:48:19,10,2026-05-25 16:56:03,2,True
17,11,مواد اوليه فانتزي,مواد اوليه فانتزي,,,,,926,10,2026-05-26 18:02:14,10,2026-05-26 18:02:14,0,True
18,12,درجريان ستخت فانتزي,درجريان ستخت فانتزي,,,,,927,10,2026-05-26 18:02:46,10,2026-05-26 18:02:46,0,True
19,13,محصول فانتزي,محصول فانتزي,,,,,928,10,2026-05-26 18:03:17,10,2026-05-26 18:03:17,0,True
20,7,مواد اوليه در جريان ساخت,مواد اوليه در جريان ساخت,,,,,825,10,2026-06-27 18:23:42,10,2026-06-28 10:24:42,1,True
