ObjectName,StartDate,EndDate,GatheringID,BaseFactTableName,Hash
MRP.vwShredItemVersion,2026-03-21,2026-03-31,1,MRP.ReceivableCommitmentsFact,b'\xe1S\x07\xf4*\xbc\x94DN!$\xads`ly\x8e]\xd0\x86\xa5\xb3\xc9\x97`\x1c\x06h\x0c\xdf\xa8\x9d\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.vwShredItemVersion,2026-04-01,2026-04-30,1,MRP.ReceivableCommitmentsFact,b'\x1e\x82\t\x9d\xd4\x02\xaetj\xc3\xca\xdb\\\x81\x19\x13y\x93\x06c\x1c\x9a\xe4\xc6Gg\x96\xd9\xf1\x97\x9e\xc2\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.vwShredItemVersion,2026-05-01,2026-05-31,1,MRP.ReceivableCommitmentsFact,"b'\xcf\xba\xf8~x\xf9CZ\xcb*l\xa7\xf2\xd7=tPS\x90\x08wL\xeb,X\x95|w30\x85\xb8\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'"
MRP.vwShredItemVersion,2026-06-01,2026-06-30,1,MRP.ReceivableCommitmentsFact,b'@\x06O\xf8\x82\xd8w\xd1j\x89\xf4\xfecW&\xec=Kk\xc3]E-\xce\xe3\xe1\xe5\xca\x9d\xf9\xef|\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.vwDebitCreditNoteVersion,2026-03-21,2026-03-31,1,MRP.ReceivableCommitmentsFact,b'A\x8f\xc8@N~N@\xb5z\xb3\xf9\x0cd\xf2\x8f0^K\xc3\xd2\xb8s7\xae\x86\xf8\xd8\xd7\x0c\x9a\xd1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.vwDebitCreditNoteVersion,2026-04-01,2026-04-30,1,MRP.ReceivableCommitmentsFact,"b'\x81\xebE\x04\x1b\n\xf0]\xa5IGf\xd9\x17\xc8\x15\x7f\x1e\xbd\xe0\xe2M\x97\x08<e,\x98o\xf1\xbb\xac\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'"
MRP.vwDebitCreditNoteVersion,2026-05-01,2026-05-31,1,MRP.ReceivableCommitmentsFact,"b'\x18\x1c\x8a\xebWu\xf4W\xbf\x91\x87\xa6\t\r\x9f\xb46\xe3i\x8f\x14\xfd\xc3\xa5\x13\xe5\xf6z""\x0c\x94\xdd\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'"
MRP.vwDebitCreditNoteVersion,2026-06-01,2026-06-30,1,MRP.ReceivableCommitmentsFact,b'\x17+C\xfd#\xf6+\xa0\x13\x84\xbe\x0e_\xc8\xe6\xdak\x0b#I\xd9\xbfP\xb6\xef\x14\x03\xc5\xe1V\xeel\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.vwPartyOpeningBalanceVersion,2026-03-21,2026-03-31,1,MRP.ReceivableCommitmentsFact,b'\x18\x96\xfa;\x85\xbd\xb5\x1fDcc\t\xc0\xfec\xb9\xa4\xeb\xb9\xc1\x8e\x9f#\xb7~-n1\x80*\x8dN\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.vwRefundChequeVersion,2026-03-21,2026-03-31,1,MRP.ReceivableCommitmentsFact,b'\xe3n\xe7\xc4$\x94\x07\xa9\\\xa4\xaf\x8f\x9eV\x99T\xbebO\x89\\7+\xe7F7a\xb9\xcc\xb6\xfa)\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.vwRefundChequeVersion,2026-06-01,2026-06-30,1,MRP.ReceivableCommitmentsFact,b'\xa0\xb8\xf7\x93\xbf\x0f\x02Y\\\xb0!\xfd\xa5*\x90\xca\xc6et\xc1\xbeg\xd3F\xbb\x91Rg\xa7&H\xaa\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.vwReceiptHeaderVersion,2026-03-21,2026-03-31,1,MRP.ReceivableCommitmentsFact,"b""'\xf2>\xed\xb7\x00\xc6\xdd\x87\xfe\x98(\xd5O\xb2i\x0e\xb2\x93WT)\xf3\xec\x11\xa6\xfd\x17\xae\xa1\xddP\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"""
MRP.vwReceiptHeaderVersion,2026-04-01,2026-04-30,1,MRP.ReceivableCommitmentsFact,b'\xba\x96\xd8\x0f\x974\x9e\xe2\xf7\xaei\x9f\xbeA=\x85\xc93\xc53\xe7\xe6\x87\xa3.\x00\x1e\xae\xa8\x16\x1f\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.vwReceiptHeaderVersion,2026-05-01,2026-05-31,1,MRP.ReceivableCommitmentsFact,b'\x11\xdaa)\xfb\xb9\x1a\xbf\xfd=\xbb\xe8\xa4\xa5\xc0\x82\x0f{\xc8\xe9\xdfZ\x99\xc9s\x00\xd9\xa5\x82Ub\xc5\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.vwReceiptHeaderVersion,2026-06-01,2026-06-30,1,MRP.ReceivableCommitmentsFact,b'H\x0ew\xc5n\x8e{1_\xd8\x7f\xacp\xaa\x05\x0e\x9e\x94ff.\x85\xf7\xfa\xb3\xe04U\x03\x9d\x92+\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.vwSaleInvoiceVersion,2026-03-21,2026-03-31,1,MRP.ReceivableCommitmentsFact,b'\xe7R\xa7\xef\x94\xbc{\xa5\x0fn\xa2\xf6\xcf\xdb\x9a\xdb\x0c1\xb4OL\x16\xab\x99\x8e\xb5\n\x9a\xeeC\xe9\xa6\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.vwSaleInvoiceVersion,2026-04-01,2026-04-30,1,MRP.ReceivableCommitmentsFact,b'\xf9+\xe9\xe8\xe2\x1d\xf7\xe6iv\xfe\x03\xee\x10By\x0c\x08\x02\x1f\x17\xee\xa9?a\x9f\x07\x9a\xa2\xa6\x11\xdb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.vwSaleInvoiceVersion,2026-05-01,2026-05-31,1,MRP.ReceivableCommitmentsFact,b'Lb)\xeaC\x17\x8b\x0f\xbdvDj^\xafA\xd3H\xda-\xda\x9a\x96\xab\xea/\\\xb3\xc9z\xcac.\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.vwSaleInvoiceVersion,2026-06-01,2026-06-30,1,MRP.ReceivableCommitmentsFact,b'Y\xbdT+\xab\x86\xcd\xa9\x08\n.\xf8l\x05\xb3\xdf.\x18\x9b[\xde\x8a\xaf\x00>\x83`\xa1\x9f\x8e\x7f\xf1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.ReceivableCommitmentsFact,2026-03-21,2026-03-31,1,,b'\x98\x7f\x81\xe2p\xf5\xce\xf8!\x13\xa0\xc8\xf0\xdeq\x94frJ[\x89yH\xbd@\x07u\xb0\xe9\xe2\x11\x12\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.ReceivableCommitmentsFact,2026-04-01,2026-04-30,1,,"b'\x0c\xd8q\xfeJ\xf8\x0f\xcd\x8em5>""\xa3%?\x9b\x9d\xe6\xd9$I\xdb^K\x98\xf2\x9b\x03\x81\x91\x15\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'"
MRP.ReceivableCommitmentsFact,2026-05-01,2026-05-31,1,,b'\xfa\xe39\x8b\x18dp\x86seO\x87\xe7m\xcf\x17\x02\xe0]\xef\xc12\\z7\xdbvk\x87\xa9\xe3@\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
MRP.ReceivableCommitmentsFact,2026-06-01,2026-06-30,1,,"b'qD,\xd3\xf0+\xc7\xdf\xda\xed\xcaGR5\x1f0\x06\xc5\xd9`t\xdd<\xc4\xb9\x9d\t\x81J~\xfa\xf0\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'"
