Date,Loan,ContractRef,ContractingStatus,BankAccountRef,SubmitedToBankCheque,CashRef,InCashCheque,ProtestedCheque,PartyRef,CustomerRemaining,IsCustomerOpening
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,62500000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,45600000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,6850000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,4400000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,100000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,15200000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,11800000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,5400000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,700000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,135,2100000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,42600000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,20,2700000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,9430000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,1700000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,67,13700000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,67,7650000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,5650000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,19900000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,3500000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,650000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,20700000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,7350000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,7150000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,12290000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,9300000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,3400000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,12650000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,9050000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,10050000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,6800000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,5700000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,2700000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,25200000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,2700000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,5700000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,8150000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,12150000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,67,8950000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,3600000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,67,6500000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,5200000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,8250000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,6200000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,67,17900000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,100000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,5700000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,19,8100000.0000,0
2026-03-21,0.0000,,0.0000,,0.0000,,0.0000,0.0000,67,9300000.0000,0
