JobId,Title_En,HardCode,Title,Code,Version,Creator,CreationDate,LastModifier,LastModificationDate,GuildType
1,حسابدار,,حسابدار,1,1,1,2018-03-05 13:58:31,1,2018-03-05 13:58:31,1
2,كارگر ساده,,كارگر ساده,2,1,1,2018-03-05 13:58:41,1,2018-03-05 13:58:41,11
3,نگهبان,,نگهبان,3,1,1,2018-03-05 13:58:49,1,2018-03-05 13:58:49,10
4,راننده,,راننده,4,1,1,2018-03-05 13:59:01,1,2018-03-05 13:59:01,12
5,كارمند فروش,,كارمند فروش,5,1,1,2018-03-05 13:59:11,1,2018-03-05 13:59:11,9
6,انباردار,,انباردار,6,1,1,2018-03-05 13:59:22,1,2018-03-05 13:59:22,16
7,كنترل كيفي,,كنترل كيفي,7,1,1,2018-03-05 13:59:30,1,2018-03-05 13:59:30,14
8,مديرعامل,,مديرعامل,8,1,1,2021-06-07 16:04:22,1,2021-06-07 16:04:22,1
9,ايمني و بهداشت,,ايمني و بهداشت,9,1,1,2021-06-07 16:05:35,1,2021-06-07 16:05:35,5
10,منشي,,منشي,10,1,1,2021-06-07 16:05:41,1,2021-06-07 16:05:41,1
11,روابط عمومي,,روابط عمومي,11,1,1,2021-06-07 16:06:00,1,2021-06-07 16:06:00,3
12,كارشناس IT,,كارشناس IT,12,1,1,2021-06-07 16:06:19,1,2021-06-07 16:06:19,4
13,سرپرست توليد,,سرپرست توليد,13,1,1,2021-06-07 16:07:17,1,2021-06-07 16:07:17,13
