PersonnelTaxFileInfoChangeLogId,PersonnelRef,ChangeInfoDate
6,13,2026-02-18 15:06:57.410000
8,18,2026-03-03 12:07:38.733000
9,19,2026-03-03 12:07:50.507000
10,20,2026-03-03 12:08:09.600000
11,21,2026-03-03 12:08:32.683000
13,23,2026-03-03 12:09:24.480000
14,24,2026-03-03 12:09:36.980000
15,25,2026-03-03 12:09:47.080000
16,26,2026-03-03 12:09:57.820000
17,27,2026-03-03 12:10:09.397000
18,28,2026-03-03 12:10:19.870000
19,29,2026-03-03 12:12:17.280000
20,30,2026-03-03 12:12:27.630000
21,31,2026-03-03 12:12:38.267000
22,32,2026-04-13 13:30:40.133000
23,33,2026-03-03 12:13:03.530000
24,34,2026-03-03 12:13:17.260000
25,35,2026-03-03 12:13:31.933000
27,37,2026-03-03 12:19:47.117000
28,39,2026-03-03 12:22:06.357000
29,40,2026-03-03 12:22:15.253000
30,41,2026-03-03 12:22:27.353000
31,42,2026-03-03 12:22:42.620000
32,43,2026-03-03 12:25:23.273000
33,45,2026-03-18 14:54:15.583000
34,46,2026-03-18 15:00:31.727000
35,47,2026-03-18 15:01:17.633000
36,48,2026-03-18 15:01:38.300000
37,49,2026-03-18 15:02:06.623000
38,50,2026-03-18 15:02:24.530000
39,51,2026-03-18 15:02:51.667000
40,52,2026-03-18 15:03:14.640000
41,53,2026-03-18 15:03:41.327000
42,54,2026-03-18 15:03:55.373000
43,55,2026-03-18 15:04:19.507000
44,56,2026-03-18 15:04:36.647000
46,60,2026-03-18 15:22:42.087000
47,61,2026-03-18 15:22:25.190000
49,67,2026-04-20 16:39:26.290000
50,69,2026-04-26 18:44:02.503000
51,71,2026-06-16 09:37:48.350000
53,74,2026-05-10 14:25:30.020000
54,75,2026-05-10 14:26:23.963000
55,76,2026-05-10 14:26:55.617000
56,77,2026-05-10 14:27:20.920000
57,78,2026-05-13 18:19:50.277000
58,79,2026-05-13 18:20:35.020000
59,80,2026-05-13 18:22:04.440000
60,81,2026-06-06 15:30:32.350000
61,82,2026-05-13 18:23:01.990000
62,84,2026-05-21 12:58:55.107000
63,86,2026-07-01 16:55:21.133000
