TaxTableId,Title,Title_En,TaxGroupRef,Date,Version,Creator,CreationDate,LastModifier,LastModificationDate,TaxType
1,جدول ماليات سال 88,Taxable (100%) Year 88,1,2009-03-21 05:00:00,1,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
2,جدول ماليات سال 89,Taxable (100%) Year 89,1,2010-03-21 00:00:00,3,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
3,جدول ماليات سال 90,Taxable (100%) Year 90,1,2011-03-21 00:00:00,1,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
4,جدول ماليات سال 91,Taxable (100%) Year 91,1,2012-03-20 00:00:00,1,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
5,جدول ماليات سال 88 مناطق محروم,Leakage Area (50%) Year 88,2,2009-03-21 05:00:00,1,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
6,جدول ماليات 50 درصدي سال 1389,Leakage Area (50%) Year 89,2,2010-03-21 00:00:00,1,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
7,جدول ماليات 50 درصدي سال 1390,Leakage Area (50%) Year 90,2,2011-03-21 00:00:00,1,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
8,جدول ماليات 50 درصدي سال 1391,Leakage Area (50%) Year 91,2,2012-03-20 00:00:00,1,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
9,جدول ماليات سال 88 معاف,NonTaxable (0%) Year 88,3,2009-03-21 05:00:00,1,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
10,جدول ماليات سال 89 معاف,NonTaxable (0%) Year 89,3,2010-03-21 05:00:00,1,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
11,جدول ماليات سال 90 معاف,NonTaxable (0%) Year 90,3,2011-03-21 05:00:00,1,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
12,جدول ماليات سال 91 معاف,NonTaxable (0%) Year 91,3,2012-03-20 00:00:00,1,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
13,جدول ماليات سال 92,Taxable (100%) Year 92,1,2013-03-21 00:00:00,1,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
14,جدول ماليات 50 درصدي سال 1392,Leakage Area (50%) Year 92,2,2013-03-21 00:00:00,1,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
15,جدول ماليات سال 92 معاف,NonTaxable (0%) Year 92,3,2013-03-21 00:00:00,1,1,2018-03-05 13:34:00,1,2018-03-05 13:34:00,1
16,جدول ماليات سال 93,Taxable (100%) Year 93,1,2014-03-21 00:00:00,1,1,2018-03-05 13:38:00,1,2018-03-05 13:38:00,1
17,جدول ماليات 50 درصدي سال 1393,Leakage Area (50%) Year 93,2,2014-03-21 00:00:00,1,1,2018-03-05 13:38:00,1,2018-03-05 13:38:00,1
18,جدول ماليات سال 93 معاف,NonTaxable (0%) Year 93,3,2014-03-21 00:00:00,1,1,2018-03-05 13:38:00,1,2018-03-05 13:38:00,1
19,جدول ماليات سال 94,Taxable (100%) Year 94,1,2015-03-21 00:00:00,1,1,2018-03-05 13:38:00,1,2018-03-05 13:38:00,1
20,جدول ماليات 50 درصدي سال 1394,Leakage Area (50%) Year 94,2,2015-03-21 00:00:00,1,1,2018-03-05 13:38:00,1,2018-03-05 13:38:00,1
21,جدول ماليات سال 94 معاف,NonTaxable (0%) Year 94,3,2015-03-21 00:00:00,1,1,2018-03-05 13:38:00,1,2018-03-05 13:38:00,1
22,جدول ماليات سال 1395,Taxable (100%) Year 95,1,2016-03-20 00:00:00,1,1,2018-03-05 13:38:00,1,2018-03-05 13:38:00,1
23,جدول ماليات 50 درصدي سال 1395,Leakage Area (50%) Year 95,2,2016-03-20 00:00:00,1,1,2018-03-05 13:38:00,1,2018-03-05 13:38:00,1
24,جدول ماليات سال 1395 معاف,NonTaxable (0%) Year 95,3,2016-03-20 00:00:00,1,1,2018-03-05 13:38:00,1,2018-03-05 13:38:00,1
25,جدول ماليات سال 1396,Taxable (100%) Year 96,1,2017-03-21 00:00:00,1,1,2018-03-05 13:38:00,1,2018-03-05 13:38:00,1
26,جدول ماليات 50 درصدي سال 1396,Leakage Area (50%) Year 96,2,2017-03-21 00:00:00,1,1,2018-03-05 13:38:00,1,2018-03-05 13:38:00,1
27,جدول ماليات سال 1396 معاف,NonTaxable (0%) Year 96,3,2017-03-21 00:00:00,1,1,2018-03-05 13:38:00,1,2018-03-05 13:38:00,1
28,جدول ماليات سال 1397,Taxable (100%) Year 97,1,2018-03-21 00:00:00,1,1,2018-08-06 00:54:00,1,2018-08-06 00:54:00,1
29,جدول ماليات 50 درصدي سال 1397,Leakage Area (50%) Year 97,2,2018-03-21 00:00:00,1,1,2018-08-06 00:54:00,1,2018-08-06 00:54:00,1
30,جدول ماليات سال 1397 معاف,NonTaxable (0%) Year 97,3,2018-03-21 00:00:00,1,1,2018-08-06 00:54:00,1,2018-08-06 00:54:00,1
31,جدول ماليات سال 1398,Taxable (100%) Year 98,1,2019-03-21 00:00:00,1,1,2019-04-30 03:15:00,1,2019-04-30 03:15:00,1
32,جدول ماليات 50 درصدي سال 1398,Leakage Area (50%) Year 98,2,2019-03-21 00:00:00,1,1,2019-04-30 03:15:00,1,2019-04-30 03:15:00,1
33,جدول ماليات سال 1398 معاف,NonTaxable (0%) Year 98,3,2019-03-21 00:00:00,1,1,2019-04-30 03:15:00,1,2019-04-30 03:15:00,1
34,جدول ماليات سال 1399,Taxable (100%) Year 99,1,2020-03-20 00:00:00,1,1,2020-05-31 01:58:00,1,2020-05-31 01:58:00,1
35,جدول ماليات 50 درصدي سال 1399,Leakage Area (50%) Year 99,2,2020-03-20 00:00:00,1,1,2020-05-31 01:58:00,1,2020-05-31 01:58:00,1
36,جدول ماليات سال 1399 معاف,NonTaxable (0%) Year 99,3,2020-03-20 00:00:00,1,1,2020-05-31 01:58:00,1,2020-05-31 01:58:00,1
37,جدول ماليات سال 1400,Taxable (100%) Year 1400,1,2021-03-21 00:00:00,1,1,2021-06-07 15:50:00,1,2021-06-07 15:50:00,1
38,جدول ماليات 50 درصدي سال 1400,Leakage Area (50%) Year 1400,2,2021-03-21 00:00:00,1,1,2021-06-07 15:50:00,1,2021-06-07 15:50:00,1
39,جدول ماليات سال 1400 معاف,NonTaxable (0%) Year 1400,3,2021-03-21 00:00:00,1,1,2021-06-07 15:50:00,1,2021-06-07 15:50:00,1
40,جدول ماليات سال 1401,Taxable (100%) Year 1401,1,2022-03-21 00:00:00,1,1,2023-04-02 12:03:00,1,2023-04-02 12:03:00,1
41,جدول ماليات 50 درصدي سال 1401,Leakage Area (50%) Year 1401,2,2022-03-21 00:00:00,1,1,2023-04-02 12:03:00,1,2023-04-02 12:03:00,1
42,جدول ماليات سال 1401 معاف,NonTaxable (0%) Year 1401,3,2022-03-21 00:00:00,1,1,2023-04-02 12:03:00,1,2023-04-02 12:03:00,1
