TaxTableItemId,FromAmount,ToAmount,Rate,TaxTableRef,InLineAmount,PartialAmount
1,1.0000,4166667.0000,0.00,1,0.0000,0E-10
2,4166668.0000,7666667.0000,10.00,1,350000.0000,350000.0000000000
3,7666668.0000,12500000.0000,20.00,1,1316666.0000,966666.0000000000
4,12500001.0000,25000000.0000,25.00,1,4441666.0000,3125000.0000000000
5,25000001.0000,87500000.0000,30.00,1,23191666.0000,18750000.0000000000
6,87500001.0000,99999999999.0000,35.00,1,34992566665.0000,34969374999.0000000000
7,1.0000,4375000.0000,0.00,2,0.0000,0E-10
8,4375001.0000,7875000.0000,10.00,2,350000.0000,350000.0000000000
9,7875001.0000,12708333.0000,20.00,2,1316666.0000,966666.0000000000
10,12708334.0000,25208333.0000,25.00,2,4441666.0000,3125000.0000000000
11,25208334.0000,87708333.0000,30.00,2,23191666.0000,18750000.0000000000
12,87708334.0000,999999999.0000,35.00,2,342493748.0000,319302083.0000000000
13,1.0000,4850000.0000,0.00,3,0.0000,0E-10
14,4850001.0000,8350000.0000,10.00,3,350000.0000,350000.0000000000
15,8350001.0000,13183333.0000,20.00,3,1316666.0000,966666.0000000000
16,13183334.0000,25683333.0000,25.00,3,4441666.0000,3125000.0000000000
17,25683334.0000,88183333.0000,30.00,3,23191666.0000,18750000.0000000000
18,88183334.0000,999999999.0000,35.00,3,342327499.0000,319135833.0000000000
19,1.0000,5500000.0000,0.00,4,0.0000,0E-10
20,5500001.0000,9000000.0000,10.00,4,350000.0000,350000.0000000000
21,9000001.0000,13833333.0000,20.00,4,1316666.0000,966666.0000000000
22,13833334.0000,26333333.0000,25.00,4,4441666.0000,3125000.0000000000
23,26333334.0000,88833333.0000,30.00,4,23191666.0000,18750000.0000000000
24,88833334.0000,999999999.0000,35.00,4,318908333.0000,318908333.0000000000
25,1.0000,4166667.0000,0.00,5,0.0000,0E-10
26,4166668.0000,7666667.0000,5.00,5,175000.0000,175000.0000000000
