BankId,Title,Title_En,Version,Creator,CreationDate,LastModifier,LastModificationDate,TaxFileCode
1,ملي,ملي,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,15
2,ملت,ملت,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,14
3,مسكن,مسكن,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,13
4,كشاورزي,كشاورزي,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,12
5,اقتصاد نوين,اقتصاد نوين,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,7
6,تجارت,تجارت,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,26
7,سپه,سپه,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,23
8,صادرات,صادرات,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,20
9,رفاه كارگران,رفاه كارگران,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,19
10,پست بانك,پست بانك,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,18
11,پارسيان,پارسيان,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,16
12,پاسارگاد,پاسارگاد,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,17
13,صنعت و معدن,صنعت و معدن,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,10
14,سامان,سامان,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,21
15,كارآفرين,كارآفرين,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,11
16,توسعه صادرات,توسعه صادرات,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,6
17,سرمايه,سرمايه,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,22
18,موسسه مالي و اعتباري مهر,موسسه مالي و اعتباري مهر,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,8
19,صندوق تعاون كشور,صندوق تعاون كشور,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,
20,توسعه اسلامي,توسعه اسلامي,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,
21,موسسه اعتباري توسعه,موسسه اعتباري توسعه,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,2
22,بانك شهر,بانك شهر,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,4
23,سينا,سينا,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,24
24,موسسه مالي و اعتباري قوامين,موسسه مالي و اعتباري قوامين,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,
25,موسسه مالي و اعتباري انصار,موسسه مالي و اعتباري انصار,1,1,2018-03-05 13:34:02.703000,1,2018-03-05 13:34:02.703000,1
26,بانك مركزي ايران,بانك مركزي ايران,1,,2018-03-05 13:41:28.157000,,2018-03-05 13:41:28.157000,3
27,بانك دي,بانك دي,1,,2018-03-05 13:41:28.157000,,2018-03-05 13:41:28.157000,5
28,بانك حكمت ايرانيان,بانك حكمت ايرانيان,1,,2018-03-05 13:41:28.157000,,2018-03-05 13:41:28.157000,9
29,بانك تات,بانك تات,1,,2018-03-05 13:41:28.157000,,2018-03-05 13:41:28.157000,25
30,بانك گردشگري,بانك گردشگري,1,,2018-03-05 13:41:28.157000,,2018-03-05 13:41:28.157000,27
31,بانك رسالت,بانك رسالت,1,,2018-03-05 13:41:28.157000,,2018-03-05 13:41:28.157000,28
32,بانك توسعه تعاون,بانك توسعه تعاون,1,,2018-03-05 13:41:28.157000,,2018-03-05 13:41:28.157000,29
113,بانك مهر,بانك مهر,1,,,,,
