PaymentChequeBankingId,Date,BankAccountRef,Number,Creator,CreationDate,LastModifier,LastModificationDate,Version,State,FiscalYearRef,VoucherRef
1,2026-04-11 00:00:00,9,1,11,2026-04-23 13:48:23,11,2026-04-23 13:48:27,2,2,1,100
4,2026-04-15 00:00:00,9,2,11,2026-04-26 12:39:00,11,2026-04-26 12:39:00,2,2,1,105
5,2026-04-05 00:00:00,11,5,11,2026-04-26 14:08:58,11,2026-04-26 14:08:58,2,2,1,111
6,2026-03-28 00:00:00,11,3,11,2026-04-26 13:58:52,11,2026-04-26 13:58:54,2,2,1,109
7,2026-03-30 00:00:00,11,4,11,2026-04-26 14:01:53,11,2026-04-26 14:01:54,2,2,1,110
9,2026-04-11 00:00:00,11,6,11,2026-04-26 14:14:29,11,2026-04-26 14:14:29,2,2,1,112
10,2026-04-11 00:00:00,11,7,11,2026-04-26 14:17:30,11,2026-04-26 14:17:30,2,2,1,113
13,2026-04-18 00:00:00,11,9,11,2026-04-26 15:31:34,11,2026-04-26 15:31:34,2,2,1,115
14,2026-04-18 00:00:00,11,10,11,2026-04-26 15:33:35,11,2026-04-26 15:33:36,2,2,1,116
15,2026-04-15 00:00:00,23,11,11,2026-04-26 18:25:08,11,2026-04-26 18:25:11,2,2,1,119
20,2026-04-28 00:00:00,11,16,11,2026-05-16 14:44:37,11,2026-05-16 14:44:42,2,2,1,439
21,2026-05-09 00:00:00,11,17,11,2026-05-16 14:49:25,11,2026-05-16 15:06:58,3,2,1,440
22,2026-04-15 00:00:00,11,18,11,2026-05-16 15:02:02,11,2026-05-16 15:14:52,3,2,1,441
23,2026-04-28 00:00:00,11,19,11,2026-05-16 15:07:30,11,2026-05-16 15:07:31,2,2,1,442
24,2026-05-12 00:00:00,11,20,11,2026-05-16 15:15:23,11,2026-05-16 15:15:24,2,2,1,443
25,2026-05-05 00:00:00,11,21,11,2026-05-16 15:15:41,11,2026-05-16 15:15:42,2,2,1,444
26,2026-05-11 00:00:00,11,22,11,2026-05-16 16:11:25,11,2026-05-16 16:11:26,2,2,1,447
27,2026-05-19 00:00:00,9,23,11,2026-05-30 14:40:40,11,2026-05-30 14:40:42,2,2,1,769
28,2026-05-16 00:00:00,11,24,11,2026-05-30 17:02:54,11,2026-05-30 17:02:55,2,2,1,790
29,2026-05-16 00:00:00,11,25,11,2026-05-30 17:03:16,11,2026-05-30 17:03:17,2,2,1,791
30,2026-05-26 00:00:00,9,26,11,2026-06-21 14:55:49,11,2026-06-21 14:55:51,2,2,1,1025
31,2026-06-06 00:00:00,11,27,11,2026-06-29 15:39:39,11,2026-06-29 15:39:41,2,2,1,1116
