PaymentChequeBankingItemId,PaymentChequeBankingRef,PaymentChequeRef,HeaderDate,HeaderNumber,BankAccountRef
2,1,6,2026-04-11 00:00:00,1,9
5,4,10,2026-04-15 00:00:00,2,9
6,6,11,2026-03-28 00:00:00,3,11
7,7,12,2026-03-30 00:00:00,4,11
8,5,13,2026-04-05 00:00:00,5,11
10,9,14,2026-04-11 00:00:00,6,11
11,10,15,2026-04-11 00:00:00,7,11
14,13,17,2026-04-18 00:00:00,9,11
16,14,18,2026-04-18 00:00:00,10,11
18,15,19,2026-04-15 00:00:00,11,23
24,20,27,2026-04-28 00:00:00,16,11
25,21,31,2026-05-09 00:00:00,17,11
26,22,44,2026-04-15 00:00:00,18,11
27,23,47,2026-04-28 00:00:00,19,11
29,24,51,2026-05-12 00:00:00,20,11
30,25,50,2026-05-05 00:00:00,21,11
31,26,55,2026-05-11 00:00:00,22,11
32,27,29,2026-05-19 00:00:00,23,9
33,28,39,2026-05-16 00:00:00,24,11
34,29,28,2026-05-16 00:00:00,25,11
35,30,54,2026-05-26 00:00:00,26,9
36,31,32,2026-06-06 00:00:00,27,11
