PaymentChequeHistoryId,State,Type,Date,DurationType,PaymentChequeHistoryRef,PaymentChequeRef,PaymentChequeBankingItemRef,RefundChequeItemRef
2,1,21,2026-03-21 00:00:00,1,,6,,
3,1,41,2026-04-11 00:00:00,2,2,6,2,
4,1,21,2026-03-21 00:00:00,1,,10,,
6,1,41,2026-04-15 00:00:00,2,4,10,5,
7,1,21,2026-03-21 00:00:00,1,,11,,
8,1,41,2026-03-28 00:00:00,2,7,11,6,
9,1,21,2026-03-21 00:00:00,1,,12,,
10,1,41,2026-03-30 00:00:00,2,9,12,7,
11,1,21,2026-03-21 00:00:00,1,,13,,
12,1,41,2026-04-05 00:00:00,2,11,13,8,
13,1,21,2026-03-21 00:00:00,1,,14,,
14,1,41,2026-04-11 00:00:00,2,13,14,10,
15,1,21,2026-03-21 00:00:00,1,,15,,
16,1,41,2026-04-11 00:00:00,2,15,15,11,
19,1,21,2026-03-21 00:00:00,1,,17,,
20,1,41,2026-04-18 00:00:00,2,19,17,14,
21,1,21,2026-03-21 00:00:00,1,,18,,
22,1,41,2026-04-18 00:00:00,2,21,18,16,
23,1,21,2026-03-21 00:00:00,1,,19,,
24,1,41,2026-04-15 00:00:00,2,23,19,18,
25,1,21,2026-03-21 00:00:00,1,,21,,
26,2,52,2026-03-21 00:00:01,1,25,21,,1
27,1,21,2026-03-21 00:00:00,1,,27,,
29,1,21,2026-03-21 00:00:00,1,,28,,
30,1,21,2026-03-21 00:00:00,1,,29,,
31,1,21,2026-03-21 00:00:00,1,,30,,
32,1,21,2026-03-21 00:00:00,1,,31,,
34,1,21,2026-03-21 00:00:00,1,,32,,
35,1,21,2026-03-21 00:00:00,1,,33,,
36,1,21,2026-03-21 00:00:00,1,,39,,
37,1,21,2026-03-21 00:00:00,1,,40,,
38,1,21,2026-03-21 00:00:00,1,,41,,
39,1,21,2026-03-21 00:00:00,1,,42,,
40,1,21,2026-03-21 00:00:00,1,,43,,
41,1,21,2026-03-21 00:00:00,1,,44,,
43,1,21,2026-03-21 00:00:00,1,,45,,
44,1,21,2026-03-21 00:00:00,1,,46,,
45,1,21,2026-04-04 00:00:00,1,,47,,
47,1,41,2026-04-28 00:00:00,2,27,27,24,
48,1,41,2026-05-09 00:00:00,2,32,31,25,
49,1,41,2026-04-15 00:00:00,2,41,44,26,
50,1,41,2026-04-28 00:00:00,2,45,47,27,
51,1,21,2026-04-13 00:00:00,1,,49,,
52,1,21,2026-04-18 00:00:00,1,,50,,
53,1,21,2026-04-18 00:00:00,1,,51,,
54,1,41,2026-05-12 00:00:00,2,53,51,29,
55,1,41,2026-05-05 00:00:00,2,52,50,30,
56,1,21,2026-05-02 00:00:00,1,,52,,
57,1,21,2026-05-02 00:00:00,1,,54,,
58,1,21,2026-05-05 00:00:00,1,,55,,
59,1,21,2026-05-05 00:00:00,1,,56,,
60,1,21,2026-05-05 00:00:00,1,,57,,
62,1,21,2026-05-06 00:00:00,1,,59,,
64,1,41,2026-05-11 00:00:00,2,58,55,31,
65,1,21,2026-05-18 00:00:00,1,,60,,
66,1,21,2026-05-25 00:00:00,1,,61,,
69,1,41,2026-05-19 00:00:00,2,30,29,32,
70,1,41,2026-05-16 00:00:00,2,36,39,33,
71,1,41,2026-05-16 00:00:00,2,29,28,34,
72,2,52,2026-06-10 00:00:00,1,65,60,,2
73,2,52,2026-06-10 00:00:00,1,44,46,,3
74,2,52,2026-06-10 00:00:00,1,43,45,,4
75,1,21,2026-06-07 00:00:00,1,,63,,
76,2,52,2026-03-21 00:00:01,1,35,33,,5
77,2,52,2026-06-10 00:00:00,1,56,52,,6
78,1,21,2026-06-10 00:00:00,1,,64,,
79,1,21,2026-06-07 00:00:00,1,,65,,
80,1,41,2026-05-26 00:00:00,2,57,54,35,
81,2,52,2026-06-21 00:00:00,1,37,40,,7
82,1,41,2026-06-06 00:00:00,2,34,32,36,
83,1,21,2026-06-21 00:00:00,1,,73,,
84,1,21,2026-06-21 00:00:00,1,,74,,
85,1,21,2026-06-21 00:00:00,1,,75,,
86,1,21,2026-06-21 00:00:00,1,,76,,
87,1,21,2026-06-21 00:00:00,1,,77,,
88,1,21,2026-06-21 00:00:00,1,,78,,
89,1,21,2026-06-21 00:00:00,1,,79,,
90,1,21,2026-06-21 00:00:00,1,,80,,
91,1,21,2026-06-29 00:00:00,1,,81,,
92,1,21,2026-06-29 00:00:00,1,,82,,
93,1,21,2026-06-29 00:00:00,1,,83,,
