ReceiptHeaderId,Type,AccountSlRef,DlRef,Number,Date,CurrencyRef,Description,Description_En,Discount,TotalAmount,ItemType,State,CreatorForm,Creator,CreationDate,LastModifier,LastModificationDate,Version,Rate,CashRef,Amount,AmountInBaseCurrency,FiscalYearRef,VoucherRef,DiscountRate,DiscountInBaseCurrency,TotalAmountInBaseCurrency,Guid,ReceiptAmount
1889,1,799,82,1,2026-03-21 00:00:00,1,موقت,موقت,0.0000,434297500196.0000,8,1,0,12,2026-04-13 18:02:46,11,2026-06-29 17:15:28,76,1.0000000000000000,1,0.0000,0.0000,1,,1.0000000000000000,0.0000,434297500196.0000,,434297500196.0000
1902,2,697,43,2,2026-03-27 00:00:00,1,بابت استرداد بخشي از قرض مبلغ 70 ميليون تومان,بابت استرداد بخشي از قرض مبلغ 70 ميليون تومان,0.0000,250000000.0000,8,2,0,11,2026-04-19 12:58:33,11,2026-04-19 12:58:35,2,1.0000000000000000,1,0.0000,0.0000,1,74,1.0000000000000000,0.0000,250000000.0000,,250000000.0000
1919,1,799,26,3,2026-03-22 00:00:00,1,بابت فروش 1405/01/01,بابت فروش 1405/01/01,0.0000,2868740000.0000,8,2,0,11,2026-04-21 17:02:36,11,2026-05-11 16:29:34,7,1.0000000000000000,1,0.0000,0.0000,1,345,1.0000000000000000,0.0000,2868740000.0000,,2868740000.0000
1921,1,799,26,4,2026-03-23 00:00:00,1,بابت فروش 1405/01/02,بابت فروش 1405/01/02,0.0000,3487230000.0000,8,2,0,11,2026-04-21 17:08:45,11,2026-05-12 12:41:25,4,1.0000000000000000,1,0.0000,0.0000,1,349,1.0000000000000000,0.0000,3487230000.0000,,3487230000.0000
1923,1,799,26,5,2026-03-24 00:00:00,1,بابت فروش 1405/01/03,بابت فروش 1405/01/03,0.0000,3054160000.0000,8,2,0,11,2026-04-21 17:09:43,11,2026-05-12 16:30:12,4,1.0000000000000000,1,0.0000,0.0000,1,365,1.0000000000000000,0.0000,3054160000.0000,,3054160000.0000
1927,1,799,26,6,2026-03-25 00:00:00,1,بابت فروش 1405/01/04,بابت فروش 1405/01/04,0.0000,3108570000.0000,8,2,0,11,2026-04-21 17:22:52,11,2026-05-12 18:02:23,3,1.0000000000000000,1,0.0000,0.0000,1,371,1.0000000000000000,0.0000,3108570000.0000,,3108570000.0000
1936,1,799,26,7,2026-03-26 00:00:00,1,بابت فروش 1405/01/05,بابت فروش 1405/01/05,0.0000,3290920000.0000,8,2,0,11,2026-04-21 17:50:08,11,2026-05-13 10:50:52,6,1.0000000000000000,1,0.0000,0.0000,1,377,1.0000000000000000,0.0000,3290920000.0000,,3290920000.0000
1938,1,799,26,8,2026-03-27 00:00:00,1,بابت فروش 1405/01/06,بابت فروش 1405/01/06,0.0000,3207250000.0000,8,2,0,11,2026-04-21 17:55:17,11,2026-05-13 13:42:11,4,1.0000000000000000,1,0.0000,0.0000,1,379,1.0000000000000000,0.0000,3207250000.0000,,3207250000.0000
1939,1,799,26,9,2026-03-28 00:00:00,1,بابت فروش 1405/01/07,بابت فروش 1405/01/07,0.0000,2898240000.0000,8,2,0,11,2026-04-21 17:55:18,11,2026-05-13 15:33:42,4,1.0000000000000000,1,0.0000,0.0000,1,386,1.0000000000000000,0.0000,2898240000.0000,,2898240000.0000
1940,1,799,26,10,2026-03-29 00:00:00,1,بابت فروش 1405/01/08,بابت فروش 1405/01/08,0.0000,2573920000.0000,8,2,0,11,2026-04-21 17:55:21,11,2026-05-13 18:21:34,3,1.0000000000000000,1,0.0000,0.0000,1,399,1.0000000000000000,0.0000,2573920000.0000,,2573920000.0000
