BrokerID,InvoiceRef,PartyRef,Commission,Rate,CommissionInBaseCurrency
503,5226,147,720000.0000,1.0000000000000000,720000.0000
504,5236,80,765000.0000,1.0000000000000000,765000.0000
508,5293,82,720000.0000,1.0000000000000000,720000.0000
509,5300,87,675000.0000,1.0000000000000000,675000.0000
510,5302,81,810000.0000,1.0000000000000000,810000.0000
511,5305,147,720000.0000,1.0000000000000000,720000.0000
512,5306,82,765000.0000,1.0000000000000000,765000.0000
513,5318,147,990000.0000,1.0000000000000000,990000.0000
514,5320,87,810000.0000,1.0000000000000000,810000.0000
515,5332,81,630000.0000,1.0000000000000000,630000.0000
516,5338,82,1260000.0000,1.0000000000000000,1260000.0000
517,5351,147,900000.0000,1.0000000000000000,900000.0000
518,5356,81,630000.0000,1.0000000000000000,630000.0000
519,5360,86,720000.0000,1.0000000000000000,720000.0000
520,5367,81,720000.0000,1.0000000000000000,720000.0000
521,5375,87,765000.0000,1.0000000000000000,765000.0000
522,5377,86,630000.0000,1.0000000000000000,630000.0000
523,5405,81,720000.0000,1.0000000000000000,720000.0000
524,5407,147,900000.0000,1.0000000000000000,900000.0000
525,5408,82,900000.0000,1.0000000000000000,900000.0000
526,5409,87,675000.0000,1.0000000000000000,675000.0000
527,5421,86,675000.0000,1.0000000000000000,675000.0000
528,5434,81,1170000.0000,1.0000000000000000,1170000.0000
529,5446,147,765000.0000,1.0000000000000000,765000.0000
530,5451,87,900000.0000,1.0000000000000000,900000.0000
531,5452,87,765000.0000,1.0000000000000000,765000.0000
532,5461,82,675000.0000,1.0000000000000000,675000.0000
533,5464,147,990000.0000,1.0000000000000000,990000.0000
534,5473,82,1350000.0000,1.0000000000000000,1350000.0000
535,5475,86,765000.0000,1.0000000000000000,765000.0000
536,5485,86,765000.0000,1.0000000000000000,765000.0000
537,5489,81,630000.0000,1.0000000000000000,630000.0000
538,5492,86,720000.0000,1.0000000000000000,720000.0000
539,5498,87,765000.0000,1.0000000000000000,765000.0000
540,5500,87,720000.0000,1.0000000000000000,720000.0000
541,5523,81,675000.0000,1.0000000000000000,675000.0000
542,5553,147,720000.0000,1.0000000000000000,720000.0000
543,5562,147,765000.0000,1.0000000000000000,765000.0000
544,5583,81,765000.0000,1.0000000000000000,765000.0000
545,5592,86,630000.0000,1.0000000000000000,630000.0000
546,5594,87,990000.0000,1.0000000000000000,990000.0000
547,5603,87,1350000.0000,1.0000000000000000,1350000.0000
548,5613,82,675000.0000,1.0000000000000000,675000.0000
549,5616,81,630000.0000,1.0000000000000000,630000.0000
550,5623,82,810000.0000,1.0000000000000000,810000.0000
551,5642,147,900000.0000,1.0000000000000000,900000.0000
552,5659,81,630000.0000,1.0000000000000000,630000.0000
553,5680,147,900000.0000,1.0000000000000000,900000.0000
554,5684,82,675000.0000,1.0000000000000000,675000.0000
555,5695,81,675000.0000,1.0000000000000000,675000.0000
556,5702,82,720000.0000,1.0000000000000000,720000.0000
557,5718,147,720000.0000,1.0000000000000000,720000.0000
558,5721,87,630000.0000,1.0000000000000000,630000.0000
559,5722,87,900000.0000,1.0000000000000000,900000.0000
560,5738,81,765000.0000,1.0000000000000000,765000.0000
561,5744,147,810000.0000,1.0000000000000000,810000.0000
562,5749,82,900000.0000,1.0000000000000000,900000.0000
563,5757,81,720000.0000,1.0000000000000000,720000.0000
564,5769,81,720000.0000,1.0000000000000000,720000.0000
565,5775,81,720000.0000,1.0000000000000000,720000.0000
566,5777,82,720000.0000,1.0000000000000000,720000.0000
567,5824,86,1600000.0000,1.0000000000000000,1600000.0000
568,5828,147,630000.0000,1.0000000000000000,630000.0000
569,5829,81,720000.0000,1.0000000000000000,720000.0000
570,5834,86,1500000.0000,1.0000000000000000,1500000.0000
571,5842,87,540000.0000,1.0000000000000000,540000.0000
572,5846,87,1260000.0000,1.0000000000000000,1260000.0000
573,5850,82,1170000.0000,1.0000000000000000,1170000.0000
574,5853,82,720000.0000,1.0000000000000000,720000.0000
575,5857,147,540000.0000,1.0000000000000000,540000.0000
576,5870,81,810000.0000,1.0000000000000000,810000.0000
577,5871,82,810000.0000,1.0000000000000000,810000.0000
578,5883,87,720000.0000,1.0000000000000000,720000.0000
579,5886,81,810000.0000,1.0000000000000000,810000.0000
580,5893,86,700000.0000,1.0000000000000000,700000.0000
581,5896,87,720000.0000,1.0000000000000000,720000.0000
582,5897,147,720000.0000,1.0000000000000000,720000.0000
583,5900,86,1500000.0000,1.0000000000000000,1500000.0000
584,5905,82,720000.0000,1.0000000000000000,720000.0000
585,5912,81,765000.0000,1.0000000000000000,765000.0000
586,5915,81,720000.0000,1.0000000000000000,720000.0000
587,5921,147,720000.0000,1.0000000000000000,720000.0000
588,5924,81,720000.0000,1.0000000000000000,720000.0000
589,5926,82,630000.0000,1.0000000000000000,630000.0000
590,5954,147,720000.0000,1.0000000000000000,720000.0000
591,5958,81,630000.0000,1.0000000000000000,630000.0000
592,5959,147,720000.0000,1.0000000000000000,720000.0000
593,5974,86,800000.0000,1.0000000000000000,800000.0000
594,5978,87,540000.0000,1.0000000000000000,540000.0000
595,5979,86,700000.0000,1.0000000000000000,700000.0000
596,5983,147,810000.0000,1.0000000000000000,810000.0000
597,5987,82,720000.0000,1.0000000000000000,720000.0000
598,5989,81,630000.0000,1.0000000000000000,630000.0000
599,5991,147,765000.0000,1.0000000000000000,765000.0000
600,5995,82,765000.0000,1.0000000000000000,765000.0000
601,6015,86,800000.0000,1.0000000000000000,800000.0000
602,6017,86,700000.0000,1.0000000000000000,700000.0000
603,6036,82,720000.0000,1.0000000000000000,720000.0000
604,6047,87,720000.0000,1.0000000000000000,720000.0000
605,6052,87,540000.0000,1.0000000000000000,540000.0000
606,6056,86,700000.0000,1.0000000000000000,700000.0000
607,6063,81,720000.0000,1.0000000000000000,720000.0000
608,6074,82,810000.0000,1.0000000000000000,810000.0000
609,6076,82,540000.0000,1.0000000000000000,540000.0000
610,6079,86,800000.0000,1.0000000000000000,800000.0000
611,6082,147,630000.0000,1.0000000000000000,630000.0000
612,6086,81,720000.0000,1.0000000000000000,720000.0000
613,6098,87,720000.0000,1.0000000000000000,720000.0000
614,6121,82,900000.0000,1.0000000000000000,900000.0000
615,6124,82,720000.0000,1.0000000000000000,720000.0000
616,6147,81,720000.0000,1.0000000000000000,720000.0000
617,6148,87,675000.0000,1.0000000000000000,675000.0000
618,6151,87,720000.0000,1.0000000000000000,720000.0000
619,6156,87,765000.0000,1.0000000000000000,765000.0000
620,6165,81,540000.0000,1.0000000000000000,540000.0000
621,6174,82,540000.0000,1.0000000000000000,540000.0000
622,6176,147,720000.0000,1.0000000000000000,720000.0000
623,6180,86,800000.0000,1.0000000000000000,800000.0000
624,6184,87,810000.0000,1.0000000000000000,810000.0000
625,6193,147,720000.0000,1.0000000000000000,720000.0000
626,6214,82,540000.0000,1.0000000000000000,540000.0000
627,6215,81,720000.0000,1.0000000000000000,720000.0000
628,6217,147,720000.0000,1.0000000000000000,720000.0000
629,6224,87,720000.0000,1.0000000000000000,720000.0000
630,6235,87,765000.0000,1.0000000000000000,765000.0000
631,6237,86,600000.0000,1.0000000000000000,600000.0000
632,6239,147,720000.0000,1.0000000000000000,720000.0000
633,6255,86,850000.0000,1.0000000000000000,850000.0000
634,6260,86,600000.0000,1.0000000000000000,600000.0000
635,6264,81,810000.0000,1.0000000000000000,810000.0000
636,6268,81,540000.0000,1.0000000000000000,540000.0000
637,6278,147,1350000.0000,1.0000000000000000,1350000.0000
638,6288,81,540000.0000,1.0000000000000000,540000.0000
639,6318,87,720000.0000,1.0000000000000000,720000.0000
640,6337,87,720000.0000,1.0000000000000000,720000.0000
641,6340,87,720000.0000,1.0000000000000000,720000.0000
642,6345,147,765000.0000,1.0000000000000000,765000.0000
643,6346,81,720000.0000,1.0000000000000000,720000.0000
644,6347,81,720000.0000,1.0000000000000000,720000.0000
645,6358,80,900000.0000,1.0000000000000000,900000.0000
646,6364,80,720000.0000,1.0000000000000000,720000.0000
647,6370,81,720000.0000,1.0000000000000000,720000.0000
648,6371,147,765000.0000,1.0000000000000000,765000.0000
649,6376,87,765000.0000,1.0000000000000000,765000.0000
650,6382,147,810000.0000,1.0000000000000000,810000.0000
651,6383,81,765000.0000,1.0000000000000000,765000.0000
652,6387,80,765000.0000,1.0000000000000000,765000.0000
653,6394,87,765000.0000,1.0000000000000000,765000.0000
654,6396,80,900000.0000,1.0000000000000000,900000.0000
655,6397,80,1440000.0000,1.0000000000000000,1440000.0000
656,6413,86,900000.0000,1.0000000000000000,900000.0000
657,6422,87,630000.0000,1.0000000000000000,630000.0000
658,6433,87,855000.0000,1.0000000000000000,855000.0000
659,6437,147,765000.0000,1.0000000000000000,765000.0000
660,6439,86,850000.0000,1.0000000000000000,850000.0000
661,6442,147,765000.0000,1.0000000000000000,765000.0000
662,6444,81,810000.0000,1.0000000000000000,810000.0000
663,6447,87,765000.0000,1.0000000000000000,765000.0000
664,6455,81,630000.0000,1.0000000000000000,630000.0000
665,6459,147,810000.0000,1.0000000000000000,810000.0000
666,6474,80,810000.0000,1.0000000000000000,810000.0000
667,6484,80,675000.0000,1.0000000000000000,675000.0000
668,6492,81,765000.0000,1.0000000000000000,765000.0000
669,6497,147,1620000.0000,1.0000000000000000,1620000.0000
670,6500,87,810000.0000,1.0000000000000000,810000.0000
671,6506,147,720000.0000,1.0000000000000000,720000.0000
