TopicId,Type,Topic,Topic_En,Category,Priority,IsSystemTopic,Version,Creator,CreationDate,LastModifier,LastModificationDate
5,1,موجودي نقد,موجودي نقد,2,7,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
10,1,سرمايه گذاري هاي كوتاه مدت,سرمايه گذاري هاي كوتاه مدت,2,5,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
15,1,حسابها و اسناد دريافتني تجاري,حسابها و اسناد دريافتني تجاري,2,8,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
20,1,ساير حسابها و اسناد دريافتني,ساير حسابها و اسناد دريافتني,2,10,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
25,1,موجودي مواد و كالا,موجودي مواد و كالا,2,3,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
30,1,سفارشات و پيش پرداختها,سفارشات و پيش پرداختها,2,12,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
35,1,داراييهاي ثابت مشهود,داراييهاي ثابت مشهود,1,1,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
40,1,داراييهاي نامشهود,داراييهاي نامشهود,1,2,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
45,1,سرمايه گذاري هاي بلندمدت,سرمايه گذاري هاي بلندمدت,1,7,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
50,1,ساير داراييها,ساير داراييها,1,4,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
55,1,حسابها و اسناد پرداختني تجاري,حسابها و اسناد پرداختني تجاري,5,5,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
60,1,ساير حسابها و اسناد پرداختني,ساير حسابها و اسناد پرداختني,5,6,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
65,1,پيش دريافتها,پيش دريافتها,5,4,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
70,1,ذخيره ماليات,ذخيره ماليات,5,8,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
75,1,سود سهام پيش نهادي و پرداختني,سود سهام پيش نهادي و پرداختني,5,9,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
80,1,تسهيلات مالي دريافتي,تسهيلات مالي دريافتي,5,10,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
85,1,حسابها و اسناد پرداختني بلندمدت,حسابها و اسناد پرداختني بلندمدت,4,4,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
90,1,تسهيلات مالي دريافتي بلندمدت,تسهيلات مالي دريافتي بلندمدت,4,5,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
95,1,ذخيره مزاياي پايان خدمت كاركنان,ذخيره مزاياي پايان خدمت كاركنان,4,3,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
100,1,سرمايه,سرمايه,3,1,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
105,1,اندوخته قانوني,اندوخته قانوني,3,2,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
110,1,ساير اندوخته ها,ساير اندوخته ها,3,3,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
115,1,مازاد تجديد ارزيابي دارايي ها,مازاد تجديد ارزيابي دارايي ها,3,8,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
120,1,سود انباشته,سود انباشته,3,4,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
125,2,فروش خالص,فروش خالص,6,2,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
130,2,بهاي تمام شده كالا و خدمت فروش رفته,بهاي تمام شده كالا و خدمت فروش رفته,7,2,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
135,2,سود سرمايه گذاري عملياتي,سود سرمايه گذاري عملياتي,8,1,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
140,2,هزينه هاي فروش,هزينه هاي فروش,9,3,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
145,2,هزينه هاي  اداري,هزينه هاي  اداري,9,4,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
150,2,هزينه هاي عمومي,هزينه هاي عمومي,9,5,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
155,2,ساير درآمدهاي عملياتي,ساير درآمدهاي عملياتي,9,6,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
160,2,ساير هزينه هاي عملياتي,ساير هزينه هاي عملياتي,9,7,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
165,2,هزينه هاي مالي,هزينه هاي مالي,10,1,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
170,2,ساير درآمدهاي غيرعملياتي,ساير درآمدهاي غيرعملياتي,10,3,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
175,2,ساير هزينه هاي غيرعملياتي,ساير هزينه هاي غيرعملياتي,10,4,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
180,2,ماليات,ماليات,11,2,True,0,1,2023-04-02 12:02:40.377000,1,2023-04-02 12:02:40.380000
200,1,موجودي نقد و بانك,Bank and cash balance,2,6,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
205,1,سفارشات و اقلام در راه,Orders and goods in transit,2,2,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
210,1,پيش پرداخت ها,Down payment,2,1,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
215,1,دريافتني هاي تجاري و ساير دريافتني ها,Trade receivables and other receivables,2,4,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
220,1,دريافتني هاي بلند مدت,Long-term receivables,1,3,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
225,1,ماليات پرداختني,Taxes payable,5,2,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
230,1,پرداختني هاي تجاري و ساير پرداختني ها,Trade payables and other payables,5,1,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
235,1,ذخاير,Reserves,5,3,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
240,1,تسهيلات مالي بلند مدت,Long-term financial facilities,4,2,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
245,1,پرداختني هاي بلندمدت,Long-term payables,4,1,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
250,2,ساير درآمد ها و هزينه هاي غيرعملياتي,Other revenues and non-operating costs,10,2,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
255,2,درآمد هاي عملياتي,Operating revenues,6,1,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
260,2,ساير درآمد ها,Other revenues,9,1,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
265,2,بهاي تمام شده درآمد هاي عملياتي,Cost of operating revenues,7,1,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
270,2,هزينه هاي فروش ، اداري عمومي,"Sales, administrative, and general costs",9,2,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
275,2,هزينه ماليات بر درامد,Income tax cost,11,1,True,0,1,2023-04-02 12:05:00,1,2023-04-02 12:05:00
