DepreciationRuleID,GroupNo,GroupTitle,DepreciationRate,UsefulLife,DepreciationMethod,Description,Version,Creator,CreationDate,LastModifier,LastModificationDate
1,1,گروه صنايع مواد غذايي و آشاميدني و خدمات وابسته,,,1,انواع سنگ آسياب در سال اول استفاده در حساب هزينه پذيرفته مي شود,1,1,2018-04-18 14:24:37.430000,1,2018-04-18 14:24:37.430000
2,1,گروه صنايع مواد غذايي و آشاميدني و خدمات وابسته,,10.00,2,سرد خانه، سالن هاي سرد كننده و نگهداري مواد غذايي و سبزيجات و مواد خوراكي,1,1,2018-04-18 14:24:37.430000,1,2018-04-18 14:24:37.430000
3,1,گروه صنايع مواد غذايي و آشاميدني و خدمات وابسته,,10.00,2,ماشين آلات توليد قند ، شكر ، تصفيه شكر، آپارات ها و مخازن شربت,1,1,2018-04-18 14:24:37.430000,1,2018-04-18 14:24:37.430000
4,1,گروه صنايع مواد غذايي و آشاميدني و خدمات وابسته,,10.00,2,ماشين آلات صـنايع تهيـه وتوليـد انـواع نـان، خميرمايـه نـان و صـنايع تخميـر، آرد و بيكينـگ پـودر،ماكاروني و رشته، نشاسته وگلوكز، كيك، بيسكوئيت، كلوچه، تنقلات و اجناس خوراكي و مـواد غـذايي)آماده و غيرآماده(، شيريني جات، شكلات، سوهان، حلوا، گز و پشمك، قطـاب، بـاقلوا، صـنايع تبـديلي)كمپوت، كنسرو، رب و سس، ترشي، شور، سركه، مربا و...(، محصولات و فرآورده هاي لبني، پروتئينـيو گياهي، انواع روغن نباتي و حيواني، انواع بستني و فرآورده هاي يخـي خـوراكي، انـواع نوشـيدني هـايگازدار و بدون گاز، آب معدني، چاي و قهوه، كاكائو، نسكافه، عرقيات و شيره هاي گياهي، شير خشـكوغذاي آماده كودك، خشكبار و ميوه خشك، نمك، صنايع بسته بندي مواد غـذايي، تجهيـزات وابسـته ونظاير آنها,1,1,2018-04-18 14:24:37.430000,1,2018-04-18 14:24:37.430000
5,2,گروه صنايع نساجي، چرم، پوشاك و خدمات وابسته,,8.00,2,ماشين آلات صنايع نساجي شامل ريسندگي، بافنـدگي، رنگـرزي و چـاپ و تكميـل، انـواع نـخ و طنـاب،الياف، پارچه، البسه و پوشاك، كيـف و كفـش، سـاك و چمـدان، كمربنـد، محصـولات خـانگي نسـجينظير پتو، تشك، فرش، گليم و موكت، سايه بان، چتر، خيمه، چادر، پشه بند، كيسه خـواب، صـنايع چـرم،يراق آلات و ساير محصولات نسجي و چرمي طبيعي و مصنوعي و ماشين آلات بسته بندي مربوط,1,1,2018-04-18 14:24:37.430000,1,2018-04-18 14:24:37.430000
6,3,گروه صنايع سلولزي، كاغذي، چوبي و خدمات وابسته,,10.00,2,ماشين آلات صنايع تهيه و توليد انواع چوب، چوب بري، الوار، فيبر، نئوپان، تـراورس، چـوب فشـرده،ام دي اف، فرميكـا، مـواد اوليـه محصـولات چـوبي، كبريـت سـازي، سـاير مصـنوعات چـوبي صـنعتي،ساختماني، خانگي، اداري، تزئيني و نظاير آنها,1,1,2018-04-18 14:24:37.430000,1,2018-04-18 14:24:37.430000
7,3,گروه صنايع سلولزي، كاغذي، چوبي و خدمات وابسته,,10.00,2,ماشين آلات صنايع تهيه و توليد انواع كاغذ، خمير كاغـذ، كـارتن، مقـوا، دسـتمال كاغـذي، ظـروف،جعبه، محصولات كاغذي تزئيني، بهداشتي و صنعتي و نظاير آنها,1,1,2018-04-18 14:24:37.430000,1,2018-04-18 14:24:37.430000
8,4,گروه صنايع لوازم  و تجهيزات خانگي،آشپزخانه  و انواع لوازم مشابه با مصارف غير خانگي و خدمات وابسته به آنها ,,6.00,2,انواع لوازم خانگي و لوازم و تجهيزات آشپزخانه و صنايع وابسته، آبسردكن، يـخ سـاز، آبگـرمكن، كـولر و نظـاير آنهاتذكر: انواع يخچال و فريزرهاي صنعتي و فروشگاهي با عمر مفيد 10 مستهلك مي شود ,1,1,2018-04-18 14:24:37.430000,1,2018-04-18 14:24:37.430000
9,4,گروه صنايع لوازم  و تجهيزات خانگي،آشپزخانه  و انواع لوازم مشابه با مصارف غير خانگي و خدمات وابسته به آنها ,,10.00,2,ماشين آلات صنايع توليد انواع لوازم خانگي و لوازم و تجهيزات آشپزخانه، آبسردكن، يخ ساز، آبگرمكن، كولر و نظاير آنها و نيز يخچال و فريزرهاي صنعتي و فروشگاهي  ,1,1,2018-04-18 14:24:37.430000,1,2018-04-18 14:24:37.430000
10,5,گروه ماشين هاي اداري، چاپ، تكثير و خدمات وابسته,,15.00,2,انواع ماشين هاي چاپ، مركب سازي، برش، حروف سازي، كليشه و گراور و تجهيزات وابسته,1,1,2018-04-18 14:24:37.430000,1,2018-04-18 14:24:37.430000
