CoefficientID,Code,Title,Title_En,Percent,Type,Version,Creator,CreationDate,LastModifier,LastModificationDate,SLRef,Nature
-1501,15,ساير ضرايب كاهنده_ كارفرمايي,OtherDecrease Coefficient,1.0,2,1,1,2019-05-08 04:20:16.680000,1,2019-05-08 04:20:16.680000,,2
-1500,14,ساير ضرايب افزاينده_ كارفرمايي,OtherIncrease Coefficient,1.0,1,1,1,2019-05-08 04:20:16.680000,1,2019-05-08 04:20:16.680000,,2
-1001,8,ساير ضرايب كاهنده,ساير ضرايب كاهنده,1.0,2,1,1,2019-04-30 03:17:14.813000,1,2019-04-30 03:17:14.813000,,1
-1000,7,ساير ضرايب افزاينده,ساير ضرايب افزاينده,1.0,1,1,1,2019-04-30 03:17:14.813000,1,2019-04-30 03:17:14.813000,,1
-505,13,عوارض بر ارزش افزوده_ كارفرمايي,Duty,3.0,1,1,1,2019-05-08 04:20:16.680000,1,2019-05-08 04:20:16.680000,,2
-504,12,ماليات بر ارزش افزوده_ كارفرمايي,VAT,6.0,1,1,1,2019-05-08 04:20:16.680000,1,2019-05-08 04:20:16.680000,,2
-503,11,بيمه تأمين اجتماعي_ كارفرمايي,Socail Insurance,5.0,2,1,1,2019-05-08 04:20:16.680000,1,2019-05-08 04:20:16.680000,,2
-502,10,ماليات_ كارفرمايي,Tax,6.0,2,1,1,2019-05-08 04:20:16.680000,1,2019-05-08 04:20:16.680000,,2
-501,9,حسن انجام كار_ كارفرمايي,Performance Bond,10.0,2,1,1,2019-05-08 04:20:16.680000,1,2019-05-08 04:20:16.680000,,2
-6,6,عوارض بر ارزش افزوده,عوارض بر ارزش افزوده,3.0,1,1,1,2019-04-30 03:17:14.813000,1,2019-04-30 03:17:14.813000,,1
-5,5,ماليات بر ارزش افزوده,VAT,5.0,1,1,1,2018-03-05 13:33:52.850000,1,2018-03-05 13:33:52.850000,,1
-4,4,بيمه تأمين اجتماعي,Socail Insurance,5.0,2,1,1,2018-03-05 13:33:52.850000,1,2018-03-05 13:33:52.850000,,1
-2,2,ماليات,Tax,5.0,2,1,1,2018-03-05 13:33:52.850000,1,2018-03-05 13:33:52.850000,,1
-1,1,حسن انجام كار,Performance Bond,10.0,2,1,1,2018-03-05 13:33:52.850000,1,2018-03-05 13:33:52.850000,,1
