ConfigurationID,Key,Value,Version
1,InventoryInstallFiscalYear                        ,1,1
2,ReceiptAndPaymentInstallFiscalYear                ,1,1
3,SalesInstallFiscalYear                            ,1,1
4,CompanyName                                       ,مجموعه غذايي سكه طلا ,13
5,CompanyName_En                                    ,مجموعه غذايي سكه طلا ,7
6,MajorLanguage                                     ,1,1
7,SecondLanguage                                    ,1,5
8,ReceiptAndPaymentInstallDate                      ,2018/03/27,1
9,InventoryInstallDate                              ,2025/03/21,9
10,SalesInstallDate                                  ,2025/03/21 12:00:00 AM,11
11,DefaultEstablishingYear                           ,1,1
12,PrepaymentTaxSL                                   ,780,2
13,PrepaymentDutySL                                  ,,1
14,DutyPayableSL                                     ,,1
15,TaxPayableSL                                      ,783,2
16,InventoryPayableSL                                ,784,2
17,InventoryPurchaseCashDiscountSL                   ,838,2
18,InventoryInprogressWorkSL                         ,786,2
19,InventoryTransportBrokerSL                        ,784,3
20,InventoryOtherReceivableAccountsSL                ,659,3
21,BankAmountAccount                                 ,789,2
22,BankAmountCurrencyAccount                         ,790,2
23,CashAmountAccount                                 ,791,2
24,CashAmountCurrencyAccount                         ,792,2
25,PosAmountAccount                                  ,793,2
26,PosAmountCurrencyAccount                          ,794,2
27,CashDocAccount                                    ,795,2
28,SubmitChequeAccount                               ,796,2
29,DurationChequeAccount                             ,797,2
30,GuaranteeAccount                                  ,798,2
31,SalesReceivableSL                                 ,799,2
32,SalesCashSalesDiscountSL                          ,839,2
33,SalesPartFinalCostSL                              ,719,2
34,SalesPartSalesSL                                  ,802,2
35,SalesPartSalesSLExport                            ,803,2
36,SalesServiceSalesSL                               ,804,4
37,SalesPartSalesReturnSL                            ,805,2
38,SalesPartSalesReturnSLExport                      ,806,2
39,SalesServiceSalesReturnSL                         ,807,2
40,SalesPartSalesDiscountSL                          ,808,2
41,SalesPartSalesDiscountSLExport                    ,809,2
42,SalesServiceSalesDiscountSL                       ,810,4
43,SalesAdditionSLExport                             ,811,2
44,SalesAdditionSL                                   ,811,2
45,ProtestDocAccount                                 ,812,2
46,SalesCommiosionPayableSL                          ,908,3
47,SalesCommisionCostSL                              ,811,5
