LookupRef,LocaleName,Title
40125,ar,تقرير توازن عمودين
40125,en,BalanceSheet Report Two Columnar
40125,ku,راپۆرتي ترازي دوو ئەستووني
40126,ar,تقرير ميزان أربعة أعمدة
40126,en,BalanceSheet Report Four Columnar
40126,ku,راپۆرتي ترازي چوار ئەستووني
40127,ar,تقرير توازن ستة أعمدة
40127,en,BalanceSheet Report Six Columnar
40127,ku,راپۆرتي ترازي شەش ئەستووني
40128,ar,تقرير توازن ثمانية أعمدة
40128,en,BalanceSheet Report Eight Columnar
40128,ku,راپۆرتي ترازي هەشت ئەستووني
40129,en,   
40130,ar,مجموعة
40130,en,CL
40130,ku,گرووپ
40131,ar,المجموع
40131,en,GL
40131,ku,سەرجەم
40132,ar,المحدّد
40132,en,SL
40132,ku,ياريدەر
40133,ar,المدين
40133,en,Debit Balance
40133,ku,قەرزدار
40134,ar,الدائن
40134,en,Credit Balance
40134,ku,خاوەن قەرز
40135,ar,ليس الهام
40135,en,Don't Care
40135,ku,گرنگ نييە
40136,ar,لا
40136,en,None
40136,ku,نييەتي
40137,ar,العملية
40137,en,Operational
40137,ku,كردەيي
40138,ar,استثمار
40138,en,Investment
40138,ku,سەرمايە دانان
40139,ar,التمويل و تزويد مالي
40139,en,Financing
40139,ku,دابينكاريي ماڵيي
40140,en,
40141,ar,الآخر
40141,en,Other
40141,ku,ديكە
40142,ar,الطرف الآخر
40142,en,Party
40142,ku,لايه‌ن مامه‌ڵه‌
40143,ar,مركز التكلفة
40143,en,Cost Center
40143,ku,ناوەندي خەرج
40144,ar,الحساب المصرفي
40144,en,Bank Account
40144,ku,ژمێرەي بانكي
40145,ar,صندوق
40145,en,Cash
40145,ku,بوخچە
40146,ar,جهاز قارئ بطاقة
40146,en,POS
40146,ku,ئامێري كارت‌ناس
40147,ar,العقد
40147,en,Contract
40147,ku,گرێبەست
40148,en,Purchase Order
40149,ar,ممتلكات غير المتداولة
40149,en,Non-current assets
40149,ku,سامانه‌ نه‌گه‌ڕه‌كان
40150,ar,الممتلكات المتداولة
40150,en,Current assets
40150,ku,سامانه‌ له‌گه‌ڕه‌كان
40151,ar,أجور و أرباح المساهمين
40151,en,Equity
40151,ku,خاوەن سەرمايە
40152,ar,ديون غير المتداولة
40152,en,Non-current debts
40152,ku,قه‌رزه‌ نه‌گه‌ڕه‌كان
40153,ar,ديون المتداولة
40153,en,Current debts
40153,ku,قه‌رزه‌ له‌ گه‌ڕه‌كان
40154,ar,الربح والخسارة - صافي المبيعات
40154,en,Profit (loss) - net sales
