NumberedEntityID,EntityFullName,Method,StartValue,FinishValue,ApplyProperty1,ApplyProperty2,ApplyProperty3,ApplyPorperty4,Creator,CreationDate,LastModifier,LastModificationDate,Version
1,SG.General.ShredManagement.Common.ShredRow,2,1,,False,False,False,False,1,2018-03-05 13:34:01.980000,1,2018-03-05 13:34:01.980000,1
2,SG.General.VatManagement.Common.VatRow,1,1,,False,True,False,False,1,2018-03-05 13:34:02.437000,1,2018-03-05 15:01:11,2
3,SG.Accounting.VoucherManagement.Common.VoucherRow,1,1,,True,False,False,False,1,2018-03-05 13:34:02.470000,1,2018-03-05 15:00:22,2
4,SG.Payroll.BasicData.Common.WorksiteRow,2,1,,False,False,False,False,1,2018-03-05 13:34:02.487000,1,2018-03-05 13:34:02.487000,1
5,SG.Accounting.AccountManagement.Common.OtherDLRow,2,80001,99999,False,False,False,False,1,2018-03-05 13:34:02.590000,1,2018-03-05 13:34:02.590000,1
6,SG.ReceiptAndPayment.BankReconciliation.Common.BankBillRow,2,1,,False,True,False,False,1,2018-03-05 13:34:02.597000,1,2018-03-05 13:34:02.597000,1
7,SG.ReceiptAndPayment.BasicData.Common.BankAccountRow,2,1,500,False,False,False,False,1,2018-03-05 13:34:02.710000,1,2018-03-05 13:34:02.710000,1
8,SG.General.BillManagement.Common.BillRow,2,1,,False,True,False,False,1,2018-03-05 13:34:02.713000,1,2018-03-05 13:34:02.713000,1
9,SG.ReceiptAndPayment.BasicData.Common.CashRow,2,501,1000,False,False,False,False,1,2018-03-05 13:34:02.720000,1,2018-03-05 13:34:02.720000,1
10,SG.Contract.ContractOperation.Common.Contract.ContractRow,2,2001,5000,True,False,False,False,1,2018-03-05 13:34:02.733000,1,2018-03-05 13:34:02.733000,1
12,SG.Contract.ContractOperation.Common.Settlement.SettlementRow,2,1,,True,False,False,False,1,2018-03-05 13:34:02.737000,1,2018-03-05 13:34:02.737000,1
13,SG.Contract.ContractOperation.Common.CostStatement.CostStatementRow,2,1,,True,False,False,False,1,2018-03-05 13:34:02.737000,1,2018-03-05 13:34:02.737000,1
14,SG.Contract.ContractOperation.Common.Workshop.WorkshopRow,2,1,,True,False,False,False,1,2018-03-05 13:34:02.737000,1,2018-03-05 13:34:02.737000,1
15,SG.Contract.ContractOperation.Common.Cost.CostRow,2,1,,True,False,False,False,1,2018-03-05 13:34:02.737000,1,2018-03-05 13:34:02.737000,1
16,SG.Contract.ContractOperation.Common.Coefficient.CoefficientRow,2,1,,True,False,False,False,1,2018-03-05 13:34:02.737000,1,2018-03-05 13:34:02.737000,1
17,SG.Contract.ContractOperation.Common.ProjectRow,2,1,,True,False,False,False,1,2018-03-05 13:34:02.737000,1,2018-03-05 13:34:02.737000,1
18,SG.Inventory.ItemManagement.Common.CompoundBarcodeRow,2,1,,False,False,False,False,1,2018-03-05 13:34:02.750000,1,2018-03-05 13:34:02.750000,1
19,SG.Payroll.ContractManagement.Common.ContractRow,1,1,,False,False,False,False,1,2018-03-05 13:34:02.753000,1,2018-03-05 13:34:02.753000,1
20,SG.General.CostCenter.Common.CostCenterRow,2,1001,1500,False,False,False,False,1,2018-03-05 13:34:02.757000,1,2018-03-05 13:34:02.757000,1
21,SG.General.DebitCreditNoteManagement.Common.DebitCreditNoteRow,1,1,,True,False,False,False,1,2018-03-05 13:34:02.777000,1,2018-03-05 15:01:34,2
22,SG.Accounting.VoucherManagement.Common.GLVoucherRow,1,1,,True,False,False,False,1,2018-03-05 13:34:02.977000,1,2018-03-05 13:34:02.977000,1
23,SG.Inventory.InventoryOperations.Common.InventoryBalancingRow,1,1,,True,True,False,False,1,2018-03-05 13:34:03.300000,1,2018-03-05 15:01:44,2
24,SG.Inventory.InventoryOperations.Common.InventoryDeliveryRow,1,1,,True,True,True,False,1,2018-03-05 13:34:03.303000,1,2018-03-05 15:02:13,2
25,SG.Inventory.InventoryOperations.Common.InventoryDeliveryReturnRow,1,1,,True,True,False,False,1,2018-03-05 13:34:03.310000,1,2018-03-05 15:00:28,2
26,SG.Inventory.InventoryOperations.Common.InventoryPurchaseInvoiceRow,1,1,,True,False,False,False,1,2018-03-05 13:34:03.313000,1,2018-03-05 15:01:02,2
27,SG.Inventory.InventoryCommon.Common.ServiceInventoryPurchaseInvoiceRow,1,1,,True,False,False,False,1,2018-03-05 13:34:03.313000,1,2018-03-05 15:01:06,2
28,SG.Inventory.InventoryOperations.Common.InventoryReceiptReturnRow,1,1,,True,True,False,False,1,2018-03-05 13:34:03.317000,1,2018-03-05 15:01:41,2
29,SG.Inventory.InventoryOperations.Common.InventoryReceiptRow,1,1,,True,True,False,False,1,2018-03-05 13:34:03.327000,1,2018-03-05 15:02:16,2
30,SG.Sales.InvoiceManagement.Common.InvoiceRow,1,1,,True,True,False,False,1,2018-03-05 13:34:03.330000,1,2019-02-23 22:36:25,3
31,SG.Payroll.BasicData.Common.JobRow,2,1,,False,False,False,False,1,2018-03-05 13:34:03.780000,1,2018-03-05 13:34:03.780000,1
32,SG.General.PartyManagement.Common.PartyRow,2,10000,80000,False,False,False,False,1,2018-03-05 13:34:03.783000,1,2018-03-05 13:34:03.783000,1
33,SG.ReceiptAndPayment.PaymentManagement.Common.PaymentChequeBankingRow,1,1,,True,False,False,False,1,2018-03-05 13:34:03.787000,1,2018-03-05 15:01:21,2
34,SG.ReceiptAndPayment.PaymentManagement.Common.PaymentHeaderRow,1,1,,True,True,False,False,1,2018-03-05 13:34:03.790000,1,2018-03-05 15:01:36,2
35,SG.ReceiptAndPayment.ReceiptManagement.Common.PosSettlementRow,2,1,,True,False,False,False,1,2018-03-05 13:34:03.793000,1,2018-03-05 13:34:03.793000,1
36,SG.ReceiptAndPayment.BasicData.Common.PosRow,2,1501,2000,False,False,False,False,1,2018-03-05 13:34:03.797000,1,2018-03-05 13:34:03.797000,1
37,SG.PointOfSale.InvoiceManagement.Common.InvoiceRow,2,1,,True,False,False,False,1,2018-03-05 13:34:03.800000,1,2018-03-05 13:34:03.800000,1
38,SG.PointOfSale.InvoiceManagement.Common.ReturnedInvoiceRow,2,1,,True,False,False,False,1,2018-03-05 13:34:03.807000,1,2018-03-05 13:34:03.807000,1
39,SG.PointOfSale.InvoiceManagement.Common.SettlementRow,2,1,,True,False,False,False,1,2018-03-05 13:34:03.810000,1,2018-03-05 13:34:03.810000,1
40,SG.Sales.InvoiceManagement.Common.QuotationRow,1,1,,True,False,False,False,1,2018-03-05 13:34:03.813000,1,2018-03-05 15:01:50,2
41,SG.ReceiptAndPayment.ReceiptManagement.Common.ReceiptChequeBankingRow,1,1,,True,False,False,False,1,2018-03-05 13:34:03.827000,1,2018-03-05 15:00:47,2
42,SG.ReceiptAndPayment.ReceiptManagement.Common.ReceiptHeaderRow,1,1,,True,True,True,False,1,2018-03-05 13:34:03.830000,1,2018-03-05 15:02:20,2
