UserAccessID,UserRef,LogicalResource,HasAccess
1,2,General.DebitCreditNoteManagement.DebitCreditNote.New,True
2,2,General.DebitCreditNoteManagement.DebitCreditNote.Edit,True
3,2,General.DebitCreditNoteManagement.DebitCreditNote.View,True
4,2,General.DebitCreditNoteManagement.DebitCreditNote.Delete,True
5,2,General.DebitCreditNoteManagement.DebitCreditNote.IssueAccVoucher,True
6,2,General.DebitCreditNoteManagement.DebitCreditNote.ShowAccVoucher,True
7,2,General.DebitCreditNoteManagement.DebitCreditNote.ShowReadOnlyAccVoucher,True
8,2,General.DebitCreditNoteManagement.DebitCreditNote.DeleteAccVoucher,True
9,2,General.DebitCreditNoteManagement.DebitCreditNote.List,True
10,2,Sales.SalePriceManagement.PriceNote.Edit,True
11,2,Sales.SalePriceManagement.PriceNote.List,True
12,2,Sales.SalePriceManagement.ProductPack.New,True
13,2,Sales.SalePriceManagement.ProductPack.Edit,True
14,2,Sales.SalePriceManagement.ProductPack.Delete,True
15,2,Sales.SalePriceManagement.ProductPack.List,True
16,2,Sales.InvoiceManagement.Quotation.New,True
17,2,Sales.InvoiceManagement.Quotation.Edit,True
18,2,Sales.InvoiceManagement.Quotation.View,True
19,2,Sales.InvoiceManagement.Quotation.Delete,True
20,2,Sales.InvoiceManagement.Quotation.List,True
21,2,Sales.SalePriceManagement.Discount.New,True
22,2,Sales.SalePriceManagement.Discount.Edit,True
23,2,Sales.SalePriceManagement.Discount.Delete,True
24,2,Sales.SalePriceManagement.Discount.List,True
25,2,General.BillManagement.PartyBill.New,True
26,2,General.BillManagement.PartyBill.Edit,True
27,2,General.BillManagement.PartyBill.Delete,True
28,2,General.BillManagement.PartyBill.List,True
29,2,Sales.InvoiceManagement.ClosingOperation.ClosingCustomers,True
30,2,Sales.InvoiceManagement.ClosingOperation.OpeningCustomers,True
31,2,Sales.InvoiceManagement.ReturnedInvoice.New,True
32,2,Sales.InvoiceManagement.ReturnedInvoice.Edit,True
33,2,Sales.InvoiceManagement.ReturnedInvoice.View,True
34,2,Sales.InvoiceManagement.ReturnedInvoice.Delete,True
35,2,Sales.InvoiceManagement.ReturnedInvoice.IssueReturnedInvoiceVoucher,True
36,2,Sales.InvoiceManagement.ReturnedInvoice.DeleteReturnedInvoiceVoucher,True
37,2,Sales.InvoiceManagement.ReturnedInvoice.ShowReturnedInvoiceVoucher,True
38,2,Sales.InvoiceManagement.ReturnedInvoice.ShowReturnedInvoiceReadOnlyVoucher,True
39,2,Sales.InvoiceManagement.ReturnedInvoice.InvoiceInventoryDeliveryReturn,True
40,2,Sales.InvoiceManagement.ReturnedInvoice.DeleteInvoiceInventoryDeliveryReturn,True
41,2,Sales.InvoiceManagement.ReturnedInvoice.List,True
42,2,Sales.InvoiceManagement.ReturnedInvoice.IssuePayment,True
43,2,Sales.InvoiceManagement.ReturnedInvoice.DeletePayment,True
44,2,Sales.InvoiceManagement.Invoice.New,True
45,2,Sales.InvoiceManagement.Invoice.Edit,True
46,2,Sales.InvoiceManagement.Invoice.View,True
47,2,Sales.InvoiceManagement.Invoice.Delete,True
48,2,Sales.InvoiceManagement.Invoice.Revoke,True
49,2,Sales.InvoiceManagement.Invoice.IssueInvoiceVoucher,True
50,2,Sales.InvoiceManagement.Invoice.DeleteInvoiceVoucher,True
51,2,Sales.InvoiceManagement.Invoice.ShowInvoiceVoucher,True
52,2,Sales.InvoiceManagement.Invoice.IssueReceipt,True
53,2,Sales.InvoiceManagement.Invoice.DeleteReceipt,True
54,2,Sales.InvoiceManagement.Invoice.InvoiceInventoryDelivery,True
55,2,Sales.InvoiceManagement.Invoice.DeleteInvoiceInventoryDelivery,True
56,2,Sales.InvoiceManagement.Invoice.ShowInvoiceReadOnlyVoucher,True
57,2,Sales.InvoiceManagement.Invoice.ViewItemPriceSummary,True
58,2,Sales.InvoiceManagement.Invoice.List,True
