VersionID,Major,Minor,Build,Revision,CreationDate,LastModificationDate,Version
1,4,3,3,0,2018-03-05 13:34:04.163000,2018-03-05 13:34:04.163000,0
2,5,0,6,0,2018-03-05 13:37:48.603000,2018-03-05 13:37:48.603000,0
3,5,1,0,0,2018-08-06 00:53:47.857000,2018-08-06 00:53:47.857000,0
4,5,1,2,0,2018-10-27 05:17:45.273000,2018-10-27 05:17:45.273000,0
5,5,1,4,0,2018-11-19 12:44:56.920000,2018-11-19 12:44:56.920000,0
6,5,1,7,0,2019-02-16 22:55:02.960000,2019-02-16 22:55:02.960000,0
7,5,2,1,0,2019-04-30 03:15:20.797000,2019-04-30 03:15:20.797000,0
8,5,2,4,0,2019-05-21 02:11:28.980000,2019-05-21 02:11:28.980000,0
9,5,2,5,0,2019-07-20 05:24:39.660000,2019-07-20 05:24:39.660000,0
10,5,3,1,0,2019-10-26 06:44:13.730000,2019-10-26 06:44:13.730000,0
11,5,3,2,0,2019-12-26 21:06:33.563000,2019-12-26 21:06:33.563000,0
12,5,3,5,0,2020-03-15 16:18:07.840000,2020-03-15 16:18:07.840000,0
13,5,3,7,0,2020-05-31 01:58:26.670000,2020-05-31 01:58:26.670000,0
14,5,4,1,0,2020-06-23 13:44:39.540000,2020-06-23 13:44:39.540000,0
15,5,4,3,0,2020-09-20 17:51:05.600000,2020-09-20 17:51:05.600000,0
16,5,4,6,0,2020-12-16 15:35:20.583000,2020-12-16 15:35:20.583000,0
17,5,5,1,0,2021-02-20 12:38:49.910000,2021-02-20 12:38:49.910000,0
18,5,5,6,0,2021-06-07 15:50:11.970000,2021-06-07 15:50:11.970000,0
19,5,6,2,0,2022-01-08 18:42:15.677000,2022-01-08 18:42:15.677000,0
20,5,7,4,0,2023-04-02 12:03:33.247000,2023-04-02 12:03:33.247000,0
21,5,9,1,0,2024-03-02 17:25:47.413000,2024-03-02 17:25:47.413000,0
22,5,9,7,0,2024-06-19 10:38:30.750000,2024-06-19 10:38:30.750000,0
23,5,9,9,0,2024-08-29 11:00:10.810000,2024-08-29 11:00:10.810000,0
24,6,0,0,0,2024-10-30 13:13:46.073000,2024-10-30 13:13:46.073000,0
25,6,0,1,0,2024-12-30 14:11:38.300000,2024-12-30 14:11:38.300000,0
26,6,0,5,0,2025-03-13 09:47:29.880000,2025-03-13 09:47:29.880000,0
27,6,0,6,0,2025-04-27 16:45:40.507000,2025-04-27 16:45:40.507000,0
28,6,0,7,0,2025-05-21 09:31:05.237000,2025-05-21 09:31:05.237000,0
29,6,0,8,0,2025-06-09 12:14:55.280000,2025-06-09 12:14:55.280000,0
30,6,1,0,0,2025-07-17 09:45:11.060000,2025-07-17 09:45:11.060000,0
31,6,1,2,0,2025-09-21 14:57:40.630000,2025-09-21 14:57:40.630000,0
32,6,2,1,0,2026-05-12 11:10:20.960000,2026-05-12 11:10:20.960000,0
