DebitCreditNoteItemID,DebitCreditNoteRef,RowID,DebitSLRef,CreditSLRef,DebitDLRef,CreditDLRef,DebitType,CreditType,Amount,Rate,AmountInBaseCurrency,Description,Description_En,Version
2,4,1,784,838,111,,1,3,100290904.0000,1.0000000000000000,100290904.0000,تخفيف خريد بابت 7 كارتن سيب زميني اشانتيون از حيدري پخش بازرگان,تخفيف خريد بابت 7 كارتن سيب زميني اشانتيون از حيدري پخش بازرگان,1
3,5,1,784,838,111,,1,3,2777273.0000,1.0000000000000000,2777273.0000,تخفيف خريد خامه از پخش بازرگان حيدري,تخفيف خريد خامه از پخش بازرگان حيدري,1
4,6,1,784,838,122,,1,3,42572500.0000,1.0000000000000000,42572500.0000,بابت تخفيف اخر سال 1404 و فروردين ماه پوردانا,بابت تخفيف اخر سال 1404 و فروردين ماه پوردانا,1
5,7,1,784,838,111,,1,3,27094000.0000,1.0000000000000000,27094000.0000,بابت تخفيف خريد 4 كيلو پنير كاراجان اشانتيون پخش بازرگان,بابت تخفيف خريد 4 كيلو پنير كاراجان اشانتيون پخش بازرگان,1
13,17,1,784,697,95,43,1,3,1120000.0000,1.0000000000000000,1120000.0000,سس فلفل اصالت,سس فلفل اصالت,1
14,18,1,784,697,95,43,1,3,1120000.0000,1.0000000000000000,1120000.0000,سس فلفل اصالت,سس فلفل اصالت,1
15,19,1,784,697,95,82,1,3,11745000.0000,1.0000000000000000,11745000.0000,شير پاستوريزه,شير پاستوريزه,1
16,20,1,784,697,95,56,1,3,321300000.0000,1.0000000000000000,321300000.0000,سس خردل دبه,سس خردل دبه,1
17,21,1,784,697,95,159,1,3,1845000.0000,1.0000000000000000,1845000.0000,شير پاستوريزه,شير پاستوريزه,1
18,22,1,784,697,95,43,1,3,615000.0000,1.0000000000000000,615000.0000,شير پاستوريزه,شير پاستوريزه,1
19,23,1,784,697,95,56,1,3,266000000.0000,1.0000000000000000,266000000.0000,ماما سيتا,ماما سيتا,1
20,24,1,784,697,95,56,1,3,172800000.0000,1.0000000000000000,172800000.0000,سس سويا كيكومن,سس سويا كيكومن,1
21,25,1,784,697,95,43,1,3,690000.0000,1.0000000000000000,690000.0000,شير پاستوريزه,شير پاستوريزه,1
22,26,1,784,697,95,43,1,3,100000.0000,1.0000000000000000,100000.0000,اسكاچ,اسكاچ,1
23,27,1,784,697,95,43,1,3,1230000.0000,1.0000000000000000,1230000.0000,شير پاستوريزه,شير پاستوريزه,1
24,28,1,784,697,95,43,1,3,1438000.0000,1.0000000000000000,1438000.0000,شير پاستوريزه,شير پاستوريزه,1
25,29,1,784,697,95,43,1,3,5300000.0000,1.0000000000000000,5300000.0000,ماست چكيده,ماست چكيده,1
26,30,1,784,697,95,37,1,3,2650000.0000,1.0000000000000000,2650000.0000,فلفل قرمز,فلفل قرمز,1
27,31,1,784,697,95,37,1,3,3455000.0000,1.0000000000000000,3455000.0000,فلفل دلمه رنگي,فلفل دلمه رنگي,1
28,32,1,784,697,95,37,1,3,1045000.0000,1.0000000000000000,1045000.0000,ريحان,ريحان,1
29,33,1,784,697,95,159,1,3,750000.0000,1.0000000000000000,750000.0000,ريحان,ريحان,1
30,34,1,784,697,95,43,1,3,3000000.0000,1.0000000000000000,3000000.0000,هويج,هويج,1
31,36,1,784,838,252,,1,3,139714483.0000,1.0000000000000000,139714483.0000,اشانتيون خريد قوطي زيرو,اشانتيون خريد قوطي زيرو,1
