ShredID,Number,Key,TargetRef,DLRef,Date,Amount,InterestAmount,TotalAmount,RemainedAmount,PenaltyRate,Creator,CreationDate,LastModifier,LastModificationDate,Version,CurrencyRef,RPType,InterestAccountSLRef,PenaltyAccountSLRef
3,1,5,199,199,2026-03-21 00:00:00,27500000000.0000,3546712357.0000,31046712357.0000,22579428357.0000,0.0000,11,2026-04-22 17:20:29,11,2026-06-29 13:30:27,8,1,1,,
5,2,5,200,200,2026-03-21 00:00:00,10833332000.0000,733637947.0000,11566969947.0000,4626784947.0000,,11,2026-04-22 18:19:30,11,2026-06-21 15:47:51,4,1,1,,
6,3,5,202,202,2026-03-21 00:00:00,4123330556.0000,319335844.0000,4442666400.0000,2776666317.0000,,11,2026-04-26 16:04:30,11,2026-06-11 09:55:21,16,1,1,,
9,4,5,204,204,2026-03-21 00:00:00,438570000.0000,0.0000,438570000.0000,0.0000,,11,2026-04-26 18:09:20,11,2026-06-07 15:49:43,3,1,1,,
10,5,5,211,211,2026-03-21 00:00:00,1824611398.0000,471092000.0000,2295703398.0000,1826260705.0000,,11,2026-05-02 17:29:34,11,2026-06-03 15:16:55,8,1,1,,
14,6,5,232,232,2026-05-24 00:00:00,32000000000.0000,2212956585.0000,34212956585.0000,34212956585.0000,,11,2026-05-25 16:54:06,11,2026-05-25 16:54:13,2,1,1,,
17,7,5,236,236,2026-03-21 00:00:00,2500000000.0000,217634353.0000,2717634353.0000,0.0000,,11,2026-05-31 11:35:12,11,2026-05-31 11:53:57,10,1,1,,
18,8,5,238,238,2026-03-21 00:00:00,14666662356.0000,1890768000.0000,16557430356.0000,16557430356.0000,,11,2026-06-04 10:49:27,11,2026-06-04 10:49:27,1,1,1,,
19,9,5,239,239,2026-03-21 00:00:00,3645999999.0000,470027219.0000,4116027218.0000,3773024952.0000,,11,2026-06-04 10:58:18,11,2026-06-04 11:02:17,2,1,1,,
20,10,5,241,241,2026-05-11 00:00:00,712000000.0000,42721600.0000,754721600.0000,726241600.0000,,11,2026-06-07 16:11:17,11,2026-07-01 10:46:45,2,1,1,,
21,11,5,242,242,2026-03-21 00:00:00,4176229758.0000,0.0000,4176229758.0000,0.0000,,11,2026-06-08 14:04:44,11,2026-06-08 14:26:10,22,1,1,,
22,12,5,243,243,2026-03-21 00:00:00,7000000000.0000,902410997.0000,7902410997.0000,6585342497.0000,,11,2026-06-10 11:43:57,11,2026-06-10 16:32:02,3,1,1,,
23,13,5,244,244,2026-03-21 00:00:00,7000000000.0000,902410997.0000,7902410997.0000,6585342497.0000,,11,2026-06-10 12:32:33,11,2026-06-10 16:32:36,3,1,1,,
25,14,5,245,245,2026-03-21 00:00:00,7000000000.0000,902410997.0000,7902410997.0000,6585342497.0000,,11,2026-06-10 12:41:05,11,2026-06-10 16:33:09,3,1,1,,
27,15,5,246,246,2026-03-21 00:00:00,7000000000.0000,902410997.0000,7902410997.0000,6585342497.0000,,11,2026-06-10 13:44:01,11,2026-06-10 16:33:36,5,1,1,,
