TaxPayerItemMappingID,ItemRef,Serial,Version,TaxPayerCurrencyRef
364,1859,,0,
365,1860,,0,
366,1861,,0,
367,1862,,0,
368,1863,,0,
369,1864,,0,
370,1865,,0,
371,1866,,0,
372,1867,,0,
373,1868,,0,
374,1869,,0,
375,1870,,0,
376,1871,,0,
377,1872,,0,
378,1873,,0,
379,1875,,0,
380,1876,,0,
381,1877,,0,
382,1878,,0,
383,1879,,0,
384,1880,,0,
385,1881,,0,
386,1882,,0,
387,1883,,0,
388,1884,,0,
389,1885,,0,
390,1886,,0,
391,1887,,0,
392,1888,,0,
393,1889,,0,
394,1890,,0,
395,1891,,0,
396,1892,,0,
397,1893,,0,
398,1894,,0,
399,1895,,0,
400,1896,,0,
401,1897,,0,
402,1898,,0,
403,1899,,0,
404,1900,,0,
405,1901,,0,
406,1902,,0,
407,1903,,0,
408,1905,,0,
409,1906,,0,
410,1907,,0,
411,1908,,0,
412,1909,,0,
413,1910,,0,
414,1911,,0,
415,1912,,0,
416,1914,,0,
417,1915,,0,
418,1916,,0,
419,1917,,0,
420,1918,,0,
421,1919,,0,
422,1920,,0,
423,1921,,0,
424,1922,,0,
425,1923,,0,
426,1924,,0,
427,1925,,0,
428,1926,,0,
429,1927,,0,
430,1928,,0,
431,1929,,0,
432,1930,,0,
433,1931,,0,
434,1932,,0,
435,1933,,0,
436,1937,,0,
437,1938,,0,
438,1939,,0,
439,1940,,0,
440,1941,,0,
441,1942,,0,
442,1943,,0,
443,1944,,0,
444,1945,,0,
445,1946,,0,
446,1947,,0,
447,1948,,0,
449,1950,,0,
450,1951,,0,
451,1952,,0,
452,1953,,0,
453,1954,,0,
454,1955,,0,
455,1956,,0,
456,1957,,0,
457,1958,,0,
458,1960,,0,
459,1961,,0,
460,1962,,0,
461,1963,,0,
462,1964,,0,
463,1965,,0,
464,1966,,0,
465,1967,,0,
466,1968,,0,
467,1969,,0,
468,1970,,0,
469,1971,,0,
470,1972,,0,
471,1973,,0,
472,1974,,0,
473,1975,,0,
474,1976,,0,
475,1977,,0,
476,1978,,0,
477,1979,,0,
478,1980,,0,
479,1981,,0,
480,1982,,0,
481,1985,,0,
482,1986,,0,
483,1987,,0,
484,1988,,0,
485,1989,,0,
486,1990,,0,
487,1991,,0,
488,1992,,0,
489,1993,,0,
490,1994,,0,
491,1995,,0,
492,1996,,0,
493,1997,,0,
494,1998,,0,
495,1999,,0,
496,2000,,0,
497,2001,,0,
498,2002,,0,
499,2003,,0,
500,2004,,0,
501,2005,,0,
502,2006,,0,
503,2007,,0,
504,2008,,0,
505,2009,,0,
506,2010,,0,
507,2011,,0,
508,2012,,0,
509,2013,,0,
510,2014,,0,
511,2015,,0,
512,2016,,0,
513,2017,,0,
514,2018,,0,
515,2019,,0,
516,2020,,0,
517,2021,,0,
518,2022,,0,
519,2023,,0,
520,2024,,0,
521,2025,,0,
522,2026,,0,
523,2027,,0,
524,2028,,0,
525,2029,,0,
526,2030,,0,
527,2031,,0,
528,2032,,0,
529,2033,,0,
530,2034,,0,
531,2035,,0,
532,2036,,0,
533,2037,,0,
534,2038,,0,
535,2039,,0,
536,2040,,0,
537,2041,,0,
538,2042,,0,
539,2043,,0,
540,2044,,0,
541,2045,,0,
542,2046,,0,
543,2047,,0,
544,2048,,0,
545,2049,,0,
546,2050,,0,
547,2051,,0,
548,2052,,0,
549,2053,,0,
550,2054,,0,
551,2055,,0,
552,2056,,0,
553,2057,,0,
554,2058,,0,
555,2061,,0,
556,2062,,0,
557,2063,,0,
558,2064,,0,
559,2065,,0,
560,2066,,0,
561,2067,,0,
562,2068,,0,
563,2069,,0,
564,2070,,0,
565,2071,,0,
566,2072,,0,
567,2073,,0,
568,2074,,0,
569,2075,,0,
570,2076,,0,
571,2077,,0,
