InventoryPurchaseInvoiceItemID,InventoryPurchaseInvoiceRef,RowNumber,ItemRef,Quantity,SecondaryQuantity,RemainingQuantity,RemainingSecondaryQuantity,CurrencyRate,Price,Discount,Addition,Tax,Duty,TransportPrice,TransportPriceInBaseCurrency,TransportTax,TransportTaxInBaseCurrency,TransportDuty,TransportDutyInBaseCurrency,TransportDescription,Description,Description_En,Version,CostServiceAccountSLRef,InsuranceAmount,WithHoldingTaxAmount,TracingRef,Fee,AdditionInBaseCurrency,FeeInBaseCurrency,PriceInBaseCurrency,NetPriceInBaseCurrency,DiscountInBaseCurrentcy,TaxInBaseCurrency,DutyInBaseCurrency,InsuranceAmountInBaseCurrency,WithHoldingTaxAmountInBaseCurrency,PurchaseOrderItemRef,NetPrice
7,14,1,2128,600.0000,,0.0000,,1.0000000000000000,254019000.0000,477.0000,,40642964.0000,0.0000,,,,,,,,,,1,,,,,423365.0000,,423365.0000,254019000.0000,294661487.0000,477.0000,40642964.0000,0.0000,,,,294661487.0000
8,15,1,2110,1200.0000,,0.0000,,1.0000000000000000,91285426.0000,,,9128543.0000,0.0000,,,,,,,,,,1,,,,,76071.1883,,76071.0000,91285426.0000,100413969.0000,,9128543.0000,0.0000,,,,100413969.0000
9,15,2,2132,1680.0000,,0.0000,,1.0000000000000000,538880698.0000,,,86220912.0000,0.0000,,,,,,,,,,1,,,,,320762.3202,,320762.0000,538880698.0000,625101610.0000,,86220912.0000,0.0000,,,,625101610.0000
10,15,3,2135,240.0000,,0.0000,,1.0000000000000000,76982957.0000,,,12317273.0000,0.0000,,,,,,,,,,1,,,,,320762.3208,,320762.0000,76982957.0000,89300230.0000,,12317273.0000,0.0000,,,,89300230.0000
11,15,4,2133,480.0000,,0.0000,,1.0000000000000000,153965914.0000,,,24634546.0000,0.0000,,,,,,,,,,1,,,,,320762.3208,,320762.0000,153965914.0000,178600460.0000,,24634546.0000,0.0000,,,,178600460.0000
12,15,5,2138,120.0000,,0.0000,,1.0000000000000000,41778653.0000,,,6684584.0000,0.0000,,,,,,,,,,1,,,,,348155.4417,,348155.0000,41778653.0000,48463237.0000,,6684584.0000,0.0000,,,,48463237.0000
13,15,6,2136,120.0000,,0.0000,,1.0000000000000000,41778653.0000,,,6684584.0000,0.0000,,,,,,,,,,1,,,,,348155.4417,,348155.0000,41778653.0000,48463237.0000,,6684584.0000,0.0000,,,,48463237.0000
14,15,7,2137,240.0000,,0.0000,,1.0000000000000000,83557305.0000,,,13369169.0000,0.0000,,,,,,,,,,1,,,,,348155.4375,,348155.0000,83557305.0000,96926474.0000,,13369169.0000,0.0000,,,,96926474.0000
16,16,1,2129,720.0000,,0.0000,,1.0000000000000000,304822227.0000,,,48771556.0000,0.0000,,,,,,,,,,1,,,,,423364.2042,,423364.0000,304822227.0000,353593783.0000,,48771556.0000,0.0000,,,,353593783.0000
17,17,1,2128,2040.0000,,0.0000,,1.0000000000000000,863662977.0000,,,138186076.0000,0.0000,,,,,,,,,,1,,,,,423364.2044,,423364.0000,863662977.0000,1001849053.0000,,138186076.0000,0.0000,,,,1001849053.0000
18,17,2,2130,420.0000,,0.0000,,1.0000000000000000,177812966.0000,,,28450075.0000,0.0000,,,,,,,,,,1,,,,,423364.2048,,423364.0000,177812966.0000,206263041.0000,,28450075.0000,0.0000,,,,206263041.0000
19,18,1,2128,2100.0000,,0.0000,,1.0000000000000000,889064829.0000,,,142250373.0000,0.0000,,,,,,,,,,1,,,,,423364.2043,,423364.0000,889064829.0000,1031315202.0000,,142250373.0000,0.0000,,,,1031315202.0000
20,18,2,2131,60.0000,,0.0000,,1.0000000000000000,25401853.0000,,,4064296.0000,0.0000,,,,,,,,,,1,,,,,423364.2167,,423364.0000,25401853.0000,29466149.0000,,4064296.0000,0.0000,,,,29466149.0000
21,18,3,2130,300.0000,,0.0000,,1.0000000000000000,127009261.0000,,,20321482.0000,0.0000,,,,,,,,,,1,,,,,423364.2033,,423364.0000,127009261.0000,147330743.0000,,20321482.0000,0.0000,,,,147330743.0000
22,18,4,2132,2400.0000,,0.0000,,1.0000000000000000,769829568.0000,,,123172731.0000,0.0000,,,,,,,,,,1,,,,,320762.3200,,320762.0000,769829568.0000,893002299.0000,,123172731.0000,0.0000,,,,893002299.0000
23,18,5,2135,240.0000,,0.0000,,1.0000000000000000,76982957.0000,1.0000,,12317273.0000,0.0000,,,,,,,,,,1,,,,,320762.3208,,320762.0000,76982957.0000,89300229.0000,1.0000,12317273.0000,0.0000,,,,89300229.0000
24,20,1,2134,360.0000,,0.0000,,1.0000000000000000,115474680.0000,245.0000,,18475910.0000,0.0000,,,,,,,,,,1,,,,,320763.0000,,320763.0000,115474680.0000,133950345.0000,245.0000,18475910.0000,0.0000,,,,133950345.0000
25,21,1,2128,2700.0000,,0.0000,,1.0000000000000000,1143085500.0000,,,182893680.0000,0.0000,,,,,,,,,,1,,,,,423365.0000,,423365.0000,1143085500.0000,1325979180.0000,,182893680.0000,0.0000,,,,1325979180.0000
26,21,2,2131,180.0000,,0.0000,,1.0000000000000000,76205700.0000,,,12192912.0000,0.0000,,,,,,,,,,1,,,,,423365.0000,,423365.0000,76205700.0000,88398612.0000,,12192912.0000,0.0000,,,,88398612.0000
27,21,3,2129,360.0000,,0.0000,,1.0000000000000000,152411400.0000,,,24385824.0000,0.0000,,,,,,,,,,1,,,,,423365.0000,,423365.0000,152411400.0000,176797224.0000,,24385824.0000,0.0000,,,,176797224.0000
28,21,4,2247,30.0000,,0.0000,,1.0000000000000000,16585920.0000,,,2653747.0000,0.0000,,,,,,,,,,1,,,,,552864.0000,,552864.0000,16585920.0000,19239667.0000,,2653747.0000,0.0000,,,,19239667.0000
29,21,5,2248,30.0000,,0.0000,,1.0000000000000000,12835380.0000,,,2053661.0000,0.0000,,,,,,,,,,1,,,,,427846.0000,,427846.0000,12835380.0000,14889041.0000,,2053661.0000,0.0000,,,,14889041.0000
30,21,6,2130,300.0000,,0.0000,,1.0000000000000000,127009500.0000,2839.0000,,20321066.0000,0.0000,,,,,,,,,,1,,,,,423365.0000,,423365.0000,127009500.0000,147327727.0000,2839.0000,20321066.0000,0.0000,,,,147327727.0000
31,22,1,2026,524.0000,,0.0000,,1.0000000000000000,77000228.0000,228.0000,,0.0000,0.0000,,,,,,,,,,2,,,,,146947.0000,,146947.0000,77000228.0000,77000000.0000,228.0000,0.0000,0.0000,,,,77000000.0000
32,24,1,1859,100000.0000,,100000.0000,,1.0000000000000000,1627200000.0000,,,0.0000,0.0000,,,,,,,,اماني,,1,,,,,16272.0000,,16272.0000,1627200000.0000,1627200000.0000,,0.0000,0.0000,,,,1627200000.0000
33,24,2,2221,60000.0000,,40000.0000,,1.0000000000000000,1145400000.0000,,,0.0000,0.0000,,,,,,,,اماني,,1,,,,,19090.0000,,19090.0000,1145400000.0000,1145400000.0000,,0.0000,0.0000,,,,1145400000.0000
34,24,3,2058,1700.0000,,1700.0000,,1.0000000000000000,3964400000.0000,,,0.0000,0.0000,,,,,,,,اماني,,2,,,,,2332000.0000,,2332000.0000,3964400000.0000,3964400000.0000,,0.0000,0.0000,,,,3964400000.0000
36,25,1,2216,1000.0000,,1000.0000,,1.0000000000000000,130000000.0000,,,0.0000,0.0000,,,,,,,,اماني,,1,,,,,130000.0000,,130000.0000,130000000.0000,130000000.0000,,0.0000,0.0000,,,,130000000.0000
38,24,4,2058,5000.0000,,5000.0000,,1.0000000000000000,18250000000.0000,,,0.0000,0.0000,,,,,,,,اماني,,1,,,,,3650000.0000,,3650000.0000,18250000000.0000,18250000000.0000,,0.0000,0.0000,,,,18250000000.0000
39,27,1,2061,1.0000,,0.0000,,1.0000000000000000,2777273.0000,0.0000,,0.0000,0.0000,,,,,,,,,,3,,,,,2777273.0000,,2777273.0000,2777273.0000,2777273.0000,0.0000,0.0000,0.0000,,,,2777273.0000
40,28,1,2110,2400.0000,,0.0000,,1.0000000000000000,182570853.0000,,,18257085.0000,0.0000,,,,,,,,,,1,,,,,76071.1888,,76071.0000,182570853.0000,200827938.0000,,18257085.0000,0.0000,,,,200827938.0000
41,28,2,2133,600.0000,,0.0000,,1.0000000000000000,192457393.0000,,,30793183.0000,0.0000,,,,,,,,,,1,,,,,320762.3217,,320762.0000,192457393.0000,223250576.0000,,30793183.0000,0.0000,,,,223250576.0000
42,28,3,2136,600.0000,,0.0000,,1.0000000000000000,208893263.0000,,,33422922.0000,0.0000,,,,,,,,,,1,,,,,348155.4383,,348155.0000,208893263.0000,242316185.0000,,33422922.0000,0.0000,,,,242316185.0000
43,28,4,2135,360.0000,,0.0000,,1.0000000000000000,115474436.0000,,,18475910.0000,0.0000,,,,,,,,,,1,,,,,320762.3222,,320762.0000,115474436.0000,133950346.0000,,18475910.0000,0.0000,,,,133950346.0000
44,28,5,2138,600.0000,,0.0000,,1.0000000000000000,208893263.0000,,,33422922.0000,0.0000,,,,,,,,,,1,,,,,348155.4383,,348155.0000,208893263.0000,242316185.0000,,33422922.0000,0.0000,,,,242316185.0000
45,28,6,2137,600.0000,,0.0000,,1.0000000000000000,208893263.0000,,,33422922.0000,0.0000,,,,,,,,,,1,,,,,348155.4383,,348155.0000,208893263.0000,242316185.0000,,33422922.0000,0.0000,,,,242316185.0000
46,28,7,2113,480.0000,,0.0000,,1.0000000000000000,152235232.0000,,,15223523.0000,0.0000,,,,,,,,,,1,,,,,317156.7333,,317157.0000,152235232.0000,167458755.0000,,15223523.0000,0.0000,,,,167458755.0000
47,28,8,2134,600.0000,,0.0000,,1.0000000000000000,192457393.0000,3.0000,,30793182.0000,0.0000,,,,,,,,,,1,,,,,320762.3217,,320762.0000,192457393.0000,223250572.0000,3.0000,30793182.0000,0.0000,,,,223250572.0000
48,30,1,2132,1920.0000,,0.0000,,1.0000000000000000,779392141.0000,,,124702743.0000,0.0000,,,,,,,,,,1,,,,,405933.4068,,405933.0000,779392141.0000,904094884.0000,,124702743.0000,0.0000,,,,904094884.0000
