ItemCategoryID,Code,Title,Version
1,1,مواد غذايي ,0
2,2,موجودات زنده ، محصولات خام ، فرآورده هاي حيواني و گياهي ,0
3,6,زيورآلات، اوراق بهادار و اشياي قيمتي ,0
4,7,نخ ، الياف ، چوب ، كاغذ ، مقوا ، پوست ، چرم و محصولات وابسته به آنها ,0
5,8,مواد اوليه شيميايي ، كاني ها ، سوخت ها و روغن ها ,0
6,9,ماشين آلات راه سازي ، مصالح ساختماني ، فضا هاي پيش ساخته ، تاسيسات ، شيرآلات و ملزومات لوله كشي ,0
7,11,مبلمان ، اثاثيه ، لوازم التحرير ، منسوجات ، پوشاك و ملزومات خدماتي ,0
8,12,لوازم سرگرمي ، بازي ، موسيقي و ورزشي ,0
9,17,تجهيزات حمل و نقل ريلي و كابلي ,0
10,18,وسايل نقليه هوايي و تجهيزات ناوبري و فرودگاهي ,0
11,19,وسايل نقليه دريايي و تجهيزات ناوبري و اسكله اي و سكو ها و حوضچه ها ,0
12,20,تجهيزات نظامي ,0
13,21,اقلام دارو يي ، پزشكي ، دندانپزشكي ، دامپزشكي ، آرايشي و بهداشتي ,0
14,22,تجهيزات سيستم هاي مخابرات ، برق ، الكترونيك و ارتباط جمعي ,0
15,23,تجهيزات حمل و نقل جاده اي و راهداري ,0
16,24,محصولات انتشاري ، لوازم آموزشي و كمك آموزشي ,0
17,25,ابزارآلات و تجهيزات كارگاهي ,0
18,27,تجهيزات آتش نشاني و ... ,0
19,28,تجهيزات اندازه گيري و مشاهده و آزمايشگاهي ,0
20,35,ملزومات صنايع زراعي ، دامپروري ، باغباني و جنگل داري ,0
21,36,ملزومات صنايع نفت ، گاز ، پتروشيمي و معدني ,0
22,37,ملزومات صنايع خاص ,0
23,38,ملزومات عام صنايع,0
24,40,قطعات خودرو,0
25,41,قطعات تجهيزات حمل و نقل جاده اي و راهداري,0
26,42,قطعات تجهيزات سيستم هاي مخابرات ، برق ، الكترونيك و ارتباط جمعي ,0
27,43,قطعات تجهيزات و ادوات ريلي و كابلي ,0
28,45,قطعات تجهيزات اندازه گيري و مشاهده و آزمايشگاهي ,0
29,47,قطعات ادوات موسيقي ، وسايل ورزشي ، اسباب بازي ، سرگرمي و آموزشي و كمك آموزشي ,0
30,50,قطعات تجهيزات نظامي,0
31,52,قطعات جنرال مكانيكي ، هيدروليكي ، پنوماتيكي ، الكتريكي و الكترونيكي ,0
32,53,قطعات اقلام پزشكي و دندانپزشكي و دامپزشكي و بهداشت ,0
33,54,قطعات مبلمان ، اثاثيه ، لوازم التحرير ، منسوجات و پوشاك,0
34,55,ماشين آلات راه سازي ، مصالح ساختماني ، فضا هاي پيش ساخته ، تاسيسات ، شيرآلات و ملزومات لوله كشي ,0
35,56,قطعات ابزارآلات ,0
36,57,قطعات تجهيزات آتش نشاني و ... ,0
37,61,قطعات ملزومات صنايع زراعي ، دامپروري ، باغباني و جنگل داري ,0
38,62,قطعات ملزومات صنايع نفت ، گاز و پتروشيمي و معدني ,0
39,63,قطعات ملزومات صنايع خاص ,0
40,64,قطعات ملزومات عام صنايع ,0
41,65,قطعات وسايل نقليه هوايي و تجهيزات ناوبري و فرودگاهي ,0
42,66,قطعات وسايل نقليه دريايي و تجهيزات ناوبري و اسكله اي و سكو ها و حوضچه ها ,0
