PropertyID,Title,Title_En,IsSelectable,IsActive,Number,Creator,CreationDate,LastModifier,LastModificationDate,Version
1,عنوان 1,عنوان 1,False,False,1,1,2018-08-06 01:17:35,1,2026-02-23 14:58:09,9
2,عنوان 2,عنوان 2,False,False,2,1,2018-08-06 01:17:35,1,2026-02-23 14:58:09,9
3,عنوان 3,عنوان 3,False,False,3,1,2018-08-06 01:17:35,1,2026-02-23 14:58:09,9
4,عنوان 4,عنوان 4,False,False,4,1,2018-08-06 01:17:35,1,2026-02-23 14:58:09,9
5,عنوان 5,عنوان 5,False,False,5,1,2018-08-06 01:17:35,1,2026-02-23 14:58:09,9
6,عنوان 6,عنوان 6,False,False,6,1,2018-08-06 01:17:35,1,2026-02-23 14:58:09,9
7,عنوان مشخصه 7,عنوان مشخصه 7,False,False,7,1,2018-08-06 01:17:35,1,2026-02-23 14:58:09,9
8,عنوان مشخصه 8,عنوان مشخصه 8,False,False,8,1,2018-08-06 01:17:35,1,2026-02-23 14:58:09,9
9,عنوان مشخصه 9,عنوان مشخصه 9,False,False,9,1,2018-08-06 01:17:35,1,2026-02-23 14:58:09,9
10,عنوان مشخصه 10,عنوان مشخصه 10,False,False,10,1,2018-08-06 01:17:35,1,2026-02-23 14:58:09,9
