ElementItemId,ElementRef,RelatedElementRef,Coefficient,Type
7287,97,97,1.0000,4
7288,97,118,1.0000,1
7289,97,121,-1.0000,1
7290,98,98,1.0000,4
7291,98,119,1.0000,2
7292,99,99,1.0000,4
7293,99,118,1.0000,1
7294,99,121,-1.0000,1
7295,137,137,1.0000,4
7296,137,118,1.0000,1
7297,137,121,-1.0000,1
7298,138,138,1.0000,4
7299,138,118,1.0000,1
7300,138,121,-1.0000,1
7301,139,139,1.0000,4
7302,139,118,1.0000,1
7303,139,121,-1.0000,1
7304,100,100,1.0000,4
7305,100,118,1.0000,1
7306,100,121,-1.0000,1
7307,100,129,1.0000,1
7308,140,140,1.0000,4
7309,140,118,1.0000,1
7310,140,121,-1.0000,1
7311,141,141,1.0000,4
7312,141,118,1.0000,1
7313,141,121,-1.0000,1
7314,101,101,1.0000,4
7315,101,118,1.0000,1
7316,101,121,-1.0000,1
7317,102,97,1.0000,4
7318,102,98,1.0000,4
7319,102,99,1.0000,4
7320,102,137,1.0000,4
7321,102,138,1.0000,4
7322,102,139,1.0000,4
7323,102,141,1.0000,4
7324,102,122,1.0000,2
7325,103,97,1.0000,4
7326,103,98,1.0000,4
7327,103,99,1.0000,4
7328,103,137,1.0000,4
7329,103,138,1.0000,4
7330,103,139,1.0000,4
7331,103,141,1.0000,4
7332,103,123,1.0000,2
7333,142,97,1.0000,4
7334,142,98,1.0000,4
7335,142,99,1.0000,4
7336,142,137,1.0000,4
7337,142,138,1.0000,4
7338,142,139,1.0000,4
7339,142,141,1.0000,4
7340,142,124,1.0000,1
7341,143,97,1.0000,4
7342,143,98,1.0000,4
7343,143,99,1.0000,4
7344,143,137,1.0000,4
7345,143,138,1.0000,4
7346,143,139,1.0000,4
7347,143,141,1.0000,4
7348,143,125,1.0000,2
7349,105,97,1.0000,4
7350,105,98,1.0000,4
7351,105,99,1.0000,4
7352,105,137,1.0000,4
7353,105,138,1.0000,4
7354,105,139,1.0000,4
7355,105,141,1.0000,4
7356,105,126,0.0000,1
7357,105,127,0.0000,1
7358,105,128,0.0000,1
7359,144,97,1.0000,4
7360,144,98,1.0000,4
7361,144,99,1.0000,4
7362,144,137,1.0000,4
7363,144,138,1.0000,4
7364,144,139,1.0000,4
7365,144,141,1.0000,4
7366,144,151,1.0000,3
7367,107,97,1.0000,4
7368,107,98,1.0000,4
7369,107,99,1.0000,4
7370,107,137,1.0000,4
7371,107,138,1.0000,4
7372,107,139,1.0000,4
7373,107,141,1.0000,4
7374,107,131,1.0000,3
7375,108,132,1.0000,1
7376,147,150,1.0000,1
7377,110,110,1.0000,4
7378,149,149,1.0000,4
7379,112,112,1.0000,4
7380,113,97,1.0000,4
7381,113,98,1.0000,4
7382,113,99,1.0000,4
7383,113,137,1.0000,4
7384,113,138,1.0000,4
7385,113,139,1.0000,4
7386,113,141,1.0000,4
7387,113,120,1.0000,2
7388,115,115,1.0000,4
7389,116,116,1.0000,4
7390,117,117,1.0000,4
7391,117,118,1.0000,1
7392,117,121,-1.0000,1
8000,500,500,1.0000,4
8003,501,501,1.0000,4
8006,502,502,1.0000,4
8009,503,503,1.0000,4
8012,504,504,1.0000,4
8015,505,505,1.0000,4
8018,512,512,1.0000,4
8019,513,513,1.0000,4
8020,514,514,1.0000,4
8021,515,515,1.0000,4
8022,516,516,1.0000,4
8023,517,517,1.0000,4
8025,524,524,1.0000,4
8027,525,525,1.0000,4
8029,526,526,1.0000,4
8031,105,152,0.0000,1
9000,603,603,1.0000,4
9001,603,600,1.0000,1
9002,604,604,1.0000,4
9003,604,601,1.0000,1
9004,605,605,1.0000,4
9005,605,602,1.0000,1
9006,606,606,1.0000,4
9007,607,607,1.0000,4
9008,608,608,1.0000,4
9100,154,154,1.0000,4
9101,154,118,1.0000,1
9102,154,121,-1.0000,1
9103,155,155,1.0000,4
9104,155,118,1.0000,1
9105,155,121,-1.0000,1
