PayrollCalendarId,Year,Month,Day,HourMinute,TotalHourMinute,PayrollConfigurationRef
1,1388,1,31,440,13640,7
2,1388,2,31,440,13640,7
3,1388,3,31,440,13640,7
4,1388,4,31,440,13640,7
5,1388,5,31,440,13640,7
6,1388,6,31,440,13640,7
7,1388,7,30,440,13200,7
8,1388,8,30,440,13200,7
9,1388,9,30,440,13200,7
10,1388,10,30,440,13200,7
11,1388,11,30,440,13200,7
12,1388,12,29,440,12760,7
13,1389,1,31,440,13640,7
14,1389,2,31,440,13640,7
15,1389,3,31,440,13640,7
16,1389,4,31,440,13640,7
17,1389,5,31,440,13640,7
18,1389,6,31,440,13640,7
19,1389,7,30,440,13200,7
20,1389,8,30,440,13200,7
21,1389,9,30,440,13200,7
22,1389,10,30,440,13200,7
23,1389,11,30,440,13200,7
24,1389,12,29,440,12760,7
25,1390,1,31,440,13640,7
26,1390,2,31,440,13640,7
27,1390,3,31,440,13640,7
28,1390,4,31,440,13640,7
29,1390,5,31,440,13640,7
30,1390,6,31,440,13640,7
31,1390,7,30,440,13200,7
32,1390,8,30,440,13200,7
33,1390,9,30,440,13200,7
34,1390,10,30,440,13200,7
35,1390,11,30,440,13200,7
36,1390,12,29,440,12760,7
37,1391,1,31,440,13640,7
38,1391,2,31,440,13640,7
39,1391,3,31,440,13640,7
40,1391,4,31,440,13640,7
41,1391,5,31,440,13640,7
42,1391,6,31,440,13640,7
43,1391,7,30,440,13200,7
44,1391,8,30,440,13200,7
45,1391,9,30,440,13200,7
46,1391,10,30,440,13200,7
47,1391,11,30,440,13200,7
48,1391,12,29,440,12760,7
49,1392,1,31,440,13640,7
50,1392,2,31,440,13640,7
51,1392,3,31,440,13640,7
52,1392,4,31,440,13640,7
53,1392,5,31,440,13640,7
54,1392,6,31,440,13640,7
55,1392,7,30,440,13200,7
56,1392,8,30,440,13200,7
57,1392,9,30,440,13200,7
58,1392,10,30,440,13200,7
59,1392,11,30,440,13200,7
60,1392,12,29,440,12760,7
62,1395,1,31,440,13640,7
63,1395,2,31,440,13640,7
64,1395,3,31,440,13640,7
65,1395,4,31,440,13640,7
66,1395,5,31,440,13640,7
67,1395,6,31,440,13640,7
68,1395,7,30,440,13200,7
69,1395,8,30,440,13200,7
70,1395,9,30,440,13200,7
71,1395,10,30,440,13200,7
72,1395,11,30,440,13200,7
73,1395,12,30,440,13200,7
75,1396,1,31,440,13640,7
76,1396,2,31,440,13640,7
77,1396,3,31,440,13640,7
78,1396,4,31,440,13640,7
79,1396,5,31,440,13640,7
80,1396,6,31,440,13640,7
81,1396,7,30,440,13200,7
82,1396,8,30,440,13200,7
83,1396,9,30,440,13200,7
84,1396,10,30,440,13200,7
85,1396,11,30,440,13200,7
86,1396,12,29,440,12760,7
