FormulaBomItemID,ProductFormulaRef,ItemRef,Quantity,SecondaryQuantity,Description,ItemTracingRef
4,10,1958,1.5000,,,
5,11,1954,1.5000,,,
6,12,1956,0.5000,,,
7,12,1976,0.5000,,,
8,13,1966,1.2000,,,
9,13,1893,0.1000,100.0000,,
10,13,2041,0.1500,,,
12,14,1885,0.0030,3.0000,,
13,14,1893,0.0470,47.0000,,
14,14,1906,0.0070,7.0000,,
15,14,1917,0.0130,13.0000,,
16,14,2162,0.1170,117.0000,,
17,14,2039,0.1330,,,
18,14,2040,0.0130,13.0000,,
19,14,1986,0.0130,13.0000,,
20,14,1861,0.0530,53.0000,,
21,14,1862,0.0670,67.0000,,
22,14,1864,0.2000,,,
23,15,1885,0.0020,2.0000,,
24,15,1888,0.0060,,,
25,15,1893,0.0100,10.0000,,
26,15,2164,0.0380,,,
27,15,1972,0.0600,60.0000,,
28,15,2039,0.2200,,,
29,15,2044,0.0560,56.0000,,
30,15,2056,0.0240,,,
31,15,2062,0.1400,,,
32,15,1864,0.3360,,,
33,15,1875,0.1080,,,
34,16,1940,0.0700,,,
35,16,2154,0.0100,,,
37,17,1919,0.0010,,,
38,17,1922,0.3040,,,
39,17,1925,0.4660,,,
40,17,1926,0.2300,,,
41,17,1923,0.0010,,,
42,17,1924,0.0010,,,
46,19,1879,0.0012,1.2000,,
47,19,1885,0.0012,1.2000,,
48,19,1886,0.0028,2.8000,,
49,19,1889,0.0012,1.2000,,
50,19,1893,0.0045,4.5000,,
51,19,1900,0.0006,0.6000,,
52,19,1903,0.0012,1.2000,,
53,19,1916,0.0020,2.0000,,
54,19,1918,0.0030,,,
55,19,2169,0.0045,4.5000,,
56,19,1957,0.0220,22.0000,,
57,19,1960,0.2000,200.0000,,
58,19,1972,0.0220,22.0000,,
59,19,2170,0.0220,22.0000,,
60,19,1930,1.9500,,خام قبل از پخت,
61,19,1863,0.0570,,,
62,19,2000,1.0000,,,
64,20,2253,0.0008,0.8000,,
65,20,1885,0.0008,0.8000,,
66,20,1886,0.0019,1.9000,,
67,20,1889,0.0008,0.8000,,
68,20,1893,0.0030,3.0000,,
69,20,1900,0.0004,0.4000,,
70,20,1903,0.0008,0.8000,,
71,20,1916,0.0014,1.4000,,
72,20,1918,0.0020,,,
73,20,2169,0.0030,3.0000,,
74,20,1957,0.0147,14.7000,,
75,20,1960,0.1334,133.4000,,
76,20,1972,0.0147,14.7000,,
77,20,2170,0.0147,14.7000,,
78,20,1930,0.1300,,خام قبل از پخت/ 40 درصد پرت بعد از پخت,
79,20,1863,0.0380,,,
80,20,2000,1.0000,,,
81,21,1929,1.0000,,,
82,21,2163,0.1500,,,
83,22,1929,1.0000,,,
84,22,2163,0.1500,,,
85,24,2114,0.2000,200.0000,,
86,24,1879,0.0050,5.0000,,
87,24,1883,0.0040,4.0000,,
88,24,1885,0.0150,15.0000,,
89,24,1886,0.0050,5.0000,,
90,24,1887,0.0060,6.0000,,
91,24,1892,0.0420,42.0000,,
92,24,1893,0.1080,108.0000,,
93,24,1895,0.0050,5.0000,,
94,24,1898,0.0500,,,
95,24,1901,0.0050,5.0000,,
96,24,1906,0.0120,12.0000,,
97,24,1972,0.0300,30.0000,,
98,24,1976,0.3500,,,
99,24,2040,0.0690,69.0000,,
100,24,2041,0.0600,,,
101,24,1864,0.4000,,,
102,24,1865,0.0500,,,
103,24,1875,0.0400,,,
105,25,1938,1.0000,,,
106,25,2203,0.1500,,,
107,26,1886,0.0020,2.0000,,
108,26,1893,0.0040,4.0000,,
109,26,1916,0.0020,2.0000,,
110,26,2204,0.0180,,,
111,26,1953,0.7500,,,
112,26,1960,0.1050,105.0000,,
113,26,2044,0.0080,8.0000,,
114,26,2047,0.0630,,,
115,26,2062,0.0180,,,
116,26,2064,0.0850,,,
117,26,2205,0.0580,,,
118,26,2206,0.2130,213.0000,,
119,26,1864,0.0380,,,
120,26,1865,0.0580,,,
121,27,2207,1.0000,,,
122,28,2207,0.3330,,,
123,28,2208,0.6670,,,
124,29,1941,0.1000,,,
125,29,1864,0.0030,,,
126,29,2154,0.0150,,,
127,30,2051,1.0000,,,
128,31,2053,0.5880,,,
129,31,2114,0.1180,118.0000,,
130,31,1893,0.0100,10.0000,,
131,31,2190,0.1470,,,
133,31,2061,0.1410,,,
134,33,1877,0.0001,0.1000,,
135,33,1878,0.0020,2.0000,,
136,33,1955,0.5900,,,
137,33,1957,0.0340,34.0000,,
138,33,1860,0.4200,,,
140,34,1879,0.0001,0.1000,,
141,34,1885,0.0001,0.1000,,
142,34,1886,0.0003,0.3000,,
143,34,1889,0.0001,0.1000,,
144,34,1893,0.0005,0.5000,,
145,34,1900,0.0001,0.1000,,
146,34,1903,0.0001,0.1000,,
147,34,1916,0.0002,0.2000,,
148,34,1918,0.0003,,,
149,34,2169,0.0005,0.5000,,
150,34,1957,0.0020,2.0000,,
151,34,1960,0.0020,2.0000,,
152,34,1972,0.0020,2.0000,,
153,34,2170,0.0022,2.2000,,
154,34,1931,0.1420,,,
155,34,1863,0.0060,,,
157,34,2000,1.0000,,,
158,32,1978,1.0000,,,
159,32,2041,0.3000,,,
160,36,1893,0.0840,84.0000,,
161,36,1953,1.6670,,,
162,36,2040,0.0840,84.0000,,
163,36,2047,0.0170,,,
164,36,1864,0.0170,,,
165,36,1865,0.0150,,,
167,37,1893,0.0110,11.0000,,
168,37,2169,0.0120,12.0000,,
169,37,1960,0.2600,260.0000,,
170,37,1930,1.0000,,,
171,37,1863,0.0570,,,
172,38,1886,0.0010,1.0000,,
173,38,1892,0.0040,4.0000,,
174,38,1893,0.0050,5.0000,,
175,38,1967,0.0060,,,
176,38,2040,0.0080,8.0000,,
177,38,2044,0.0240,24.0000,,
178,38,1985,0.0110,,,
179,38,2055,0.0050,,,
180,38,2056,0.0180,,,
181,38,2057,0.0050,5.0000,,
182,38,1864,0.0250,,,
183,38,1875,0.0060,,,
184,38,2000,1.0000,,,
185,39,2162,0.0066,6.6000,,
186,39,2209,0.3500,,,
187,39,2040,0.0040,4.0000,,
188,39,2041,0.0060,,,
190,40,2114,0.1400,140.0000,,
191,40,1884,0.0030,,,
192,40,1905,0.0100,,,
193,40,1907,0.0100,,,
194,40,1908,0.0100,,,
