Database: Sepidar01
============================================================
Schema.Table                             | Records
------------------------------------------------------------
DST.vwHotDistributionInventoryDeliveryIds | 0
SLS.vwInvoiceCommissionBroker            | 0
MSG.vwInbox                              | 0
DST.vwHotDistributionInventoryDeliveryReturn | 0
SLS.vwInvoiceItem                        | 44663
MSG.vwMessage                            | 0
DST.vwHotDistributionItem                | 0
SLS.vwInvoiceItemAdditionFactor          | 0
MSG.vwMessageContact                     | 0
DST.vwHotDistributionPath                | 0
SLS.vwInvoiceItemForCommission           | 0
MSG.vwOutgoingMessage                    | 0
DST.vwHotDistributionReceipt             | 0
SLS.vwInvoiceItemSerial                  | 0
MSG.vwPhoneLine                          | 0
DST.vwHotDistributionSaleDocument        | 0
SLS.vwInvoiceReceiptChequeInfo           | 0
MSG.vwSentScheduledTemplateSchedulingDate | 0
DST.vwHotDistributionUnexecutedAct       | 0
SLS.vwInvoiceReceiptInfo                 | 0
MSG.vwTemplate                           | 11
DST.vwOrder                              | 0
SLS.vwInvoiceReceiptPosInfo              | 0
MSG.vwTemplateContact                    | 11
DST.vwOrderingFailure                    | 0
SLS.vwInvoiceSettlementedStatus          | 17063
MSG.vwTemplateEvent                      | 0
DST.vwOrderingFailureItem                | 0
SLS.vwItemAdditionFactor                 | 0
MSG.vwTemplateFilter                     | 4
DST.vwOrderingSchedule                   | 0
SLS.vwItemAdditionFactorInfo             | 0
MSG.vwTemplateScheduling                 | 2
DST.vwOrderingScheduleRecurrence         | 0
SLS.vwItemDiscount                       | 0
PAY.vwBranch                             | 2
DST.vwOrderingScheduleRelatedActivities  | 0
SLS.vwItemDiscountInfo                   | 0
PAY.vwCalculation                        | 0
DST.vwOrderItemAdditionFactor            | 0
SLS.vwPriceNoteItem                      | 1
PAY.vwContract                           | 1
DST.vwPathPartyAddress                   | 0
SLS.vwPriceNoteItemDiscount              | 0
FMK.vwUser                               | 6
PAY.vwContractElementBonus               | 5
DST.vwPriorityItemItem                   | 0
SLS.vwProductPack                        | 0
PAY.vwContractElementOther               | 0
DST.vwPriorityItemParty                  | 0
SLS.vwProductPackDiscount                | 0
PAY.vwDailyHourMinute                    | 16
DST.vwPriorityItem                       | 0
SLS.vwProductPackItem                    | 0
PAY.vwElement                            | 90
DST.vwProductSaleLine                    | 0
SLS.vwQuotation                          | 0
PAY.vwElementItem                        | 81
DST.vwProductSaleLineItem                | 0
SLS.vwQuotationCommissionBroker          | 0
PAY.vwLeave                              | 0
DST.vwProductSaleLineParty               | 0
SLS.vwQuotationItem                      | 0
PAY.vwMonthlyDataPersonnelElement        | 0
DST.vwProductSaleLineStock               | 0
SLS.vwQuotationItemAdditionFactor        | 0
PAY.vwPayrollConfiguration               | 1
DST.vwReturnOrder                        | 0
SLS.vwReturnedInvoice                    | 0
PAY.vwPayrollConfigurationElement        | 34
DST.vwReturnOrderItemAdditionFactor      | 0
SLS.vwReturnedInvoiceBroker              | 0
PAY.vwPersonnel                          | 52
DST.vwReturnReason                       | 0
SLS.vwReturnedInvoiceCommissionBroker    | 0
PAY.vwPersonnelInitiate                  | 0
DST.vwSalesLimit                         | 0
SLS.vwReturnedInvoiceItem                | 0
PAY.vwPersonnelInitiateElement           | 0
DST.vwSalesLimitItem                     | 0
SLS.vwReturnedInvoiceItemAdditionFactor  | 0
